"","t63","t65","t66","t30","t105","t106","t102","t82","t83","t10","t11","t3","t60","t69","t70","t14","t19","t22","t112","t113","t84","t122","t123","t41","t26","t40","t49","t50","t20","t32","t33","t71","t72","t39","t31","t24","t43","t44","t85","t86","t27","t28","t58","t59","t51","t54","t55","t5","t2","t12","t13","t35","t36","t9","t98","t99","t126","t127","t29","t114","t115","t91","t21","t6","t17","t18","t37","t56","t57","t124","t125","t67","t16","t81","t100","t101","t109","t110","t42","t89","t90","t92","t93","t25","t116","t117","t46","t38","t96","t97","t52","t103","t104","t76","t7","t87","t88","t68","t74","t75","t23","t34","t79","t80","t107","t108","t47","t48","t45","t8","t77","t78","t120","t121","t94","t95","t64","t15","t61","t62","t4","t73","t118","t119","t111","t53","t1"
"t63",0,1.13118960434,1.13118960434,1.454567805,2.41224124112,2.41224124112,2.4122412411,2.4122412411,2.4122412411,5.6206429409,3.4368332871,4.03072016711,6.62674416013,7.1560068901,7.1560068901,6.72503302565,7.15600688995,7.15600689049,7.15600689035,7.15600689035,7.15600689029,7.15600689027,7.15600689027,7.15600689029,6.55859461085,6.62325848055,7.15600689035,7.15600689035,7.1560068898,7.15600689034,6.42197655534,6.74476428189,7.15600689029,7.15600689039,7.15600689029,7.15600689059,7.15600689,7.15600689,7.15600689,7.15600689,6.28623944932,7.15600689012,7.1560068899,7.1560068899,6.6729968392,7.15600688986,7.15600688986,4.8467046052,4.5305708795,7.2255326103,7.2255326103,7.9949385114,7.9949385114,6.5034361485,7.99493851167,7.99493851167,7.99493851169,7.99493851169,7.13573383227,7.99493851132,7.99493851132,7.99493851127,7.99493851147,7.07025396037,6.81515353187,7.56034283207,7.994938510807,7.994938510807,7.994938510807,7.994938510947,7.994938510947,7.994938510877,7.372722418877,7.994938511277,7.994938511277,7.994938511277,7.994938511033,7.994938511033,7.994938510833,7.994938510833,7.994938510833,7.994938510877,7.994938510877,6.963953416537,7.994938511557,7.994938511557,7.616363312787,7.245586828887,7.994938511637,7.994938511637,7.632159175137,7.994938511737,7.994938511737,7.994938511737,7.994938511137,7.994938511337,7.994938511337,7.994938511247,7.994938511277,7.994938511277,7.994938511347,7.994938511337,7.832102188237,7.994938511237,7.994938511337,7.994938511337,7.994938511307,7.994938511307,7.994938511337,6.675886339847,7.994938511447,7.994938511447,7.994938511497,7.994938511497,7.994938511247,7.994938511247,7.994938511347,7.994938511547,7.994938511047,7.994938511047,5.439238284707,7.994938511307,7.994938511287,7.994938511287,7.994938511287,7.994938511307,4.801458496107
"t65",1.13118960434,0,1.0573807138,1.45456780494,2.41224124106,2.41224124106,2.41224124104,2.41224124104,2.41224124104,5.62064294084,3.43683328704,4.03072016705,6.62674416007,7.15600689004,7.15600689004,6.72503302559,7.15600688989,7.15600689043,7.15600689029,7.15600689029,7.15600689023,7.15600689021,7.15600689021,7.15600689023,6.55859461079,6.62325848049,7.15600689029,7.15600689029,7.15600688974,7.15600689028,6.42197655528,6.74476428183,7.15600689023,7.15600689033,7.15600689023,7.15600689053,7.15600688994,7.15600688994,7.15600688994,7.15600688994,6.28623944926,7.15600689006,7.15600688984,7.15600688984,6.67299683914,7.1560068898,7.1560068898,4.84670460514,4.53057087944,7.22553261024,7.22553261024,7.99493851134,7.99493851134,6.50343614844,7.99493851161,7.99493851161,7.99493851163,7.99493851163,7.13573383221,7.99493851126,7.99493851126,7.99493851121,7.99493851141,7.07025396031,6.81515353181,7.56034283201,7.994938510747,7.994938510747,7.994938510747,7.994938510887,7.994938510887,7.994938510817,7.372722418817,7.994938511217,7.994938511217,7.994938511217,7.994938510973,7.994938510973,7.994938510773,7.994938510773,7.994938510773,7.994938510817,7.994938510817,6.963953416477,7.994938511497,7.994938511497,7.616363312727,7.245586828827,7.994938511577,7.994938511577,7.632159175077,7.994938511677,7.994938511677,7.994938511677,7.994938511077,7.994938511277,7.994938511277,7.994938511187,7.994938511217,7.994938511217,7.994938511287,7.994938511277,7.832102188177,7.994938511177,7.994938511277,7.994938511277,7.994938511247,7.994938511247,7.994938511277,6.675886339787,7.994938511387,7.994938511387,7.994938511437,7.994938511437,7.994938511187,7.994938511187,7.994938511287,7.994938511487,7.994938510987,7.994938510987,5.439238284647,7.994938511247,7.994938511227,7.994938511227,7.994938511227,7.994938511247,4.801458496047
"t66",1.13118960434,1.0573807138,0,1.45456780494,2.41224124106,2.41224124106,2.41224124104,2.41224124104,2.41224124104,5.62064294084,3.43683328704,4.03072016705,6.62674416007,7.15600689004,7.15600689004,6.72503302559,7.15600688989,7.15600689043,7.15600689029,7.15600689029,7.15600689023,7.15600689021,7.15600689021,7.15600689023,6.55859461079,6.62325848049,7.15600689029,7.15600689029,7.15600688974,7.15600689028,6.42197655528,6.74476428183,7.15600689023,7.15600689033,7.15600689023,7.15600689053,7.15600688994,7.15600688994,7.15600688994,7.15600688994,6.28623944926,7.15600689006,7.15600688984,7.15600688984,6.67299683914,7.1560068898,7.1560068898,4.84670460514,4.53057087944,7.22553261024,7.22553261024,7.99493851134,7.99493851134,6.50343614844,7.99493851161,7.99493851161,7.99493851163,7.99493851163,7.13573383221,7.99493851126,7.99493851126,7.99493851121,7.99493851141,7.07025396031,6.81515353181,7.56034283201,7.994938510747,7.994938510747,7.994938510747,7.994938510887,7.994938510887,7.994938510817,7.372722418817,7.994938511217,7.994938511217,7.994938511217,7.994938510973,7.994938510973,7.994938510773,7.994938510773,7.994938510773,7.994938510817,7.994938510817,6.963953416477,7.994938511497,7.994938511497,7.616363312727,7.245586828827,7.994938511577,7.994938511577,7.632159175077,7.994938511677,7.994938511677,7.994938511677,7.994938511077,7.994938511277,7.994938511277,7.994938511187,7.994938511217,7.994938511217,7.994938511287,7.994938511277,7.832102188177,7.994938511177,7.994938511277,7.994938511277,7.994938511247,7.994938511247,7.994938511277,6.675886339787,7.994938511387,7.994938511387,7.994938511437,7.994938511437,7.994938511187,7.994938511187,7.994938511287,7.994938511487,7.994938510987,7.994938510987,5.439238284647,7.994938511247,7.994938511227,7.994938511227,7.994938511227,7.994938511247,4.801458496047
"t30",1.454567805,1.45456780494,1.45456780494,0,1.84938492412,1.84938492412,1.8493849241,1.8493849241,1.8493849241,5.0577866239,2.8739769701,3.46786385011,6.06388784313,6.5931505731,6.5931505731,6.16217670865,6.59315057295,6.59315057349,6.59315057335,6.59315057335,6.59315057329,6.59315057327,6.59315057327,6.59315057329,5.99573829385,6.06040216355,6.59315057335,6.59315057335,6.5931505728,6.59315057334,5.85912023834,6.18190796489,6.59315057329,6.59315057339,6.59315057329,6.59315057359,6.593150573,6.593150573,6.593150573,6.593150573,5.72338313232,6.59315057312,6.5931505729,6.5931505729,6.1101405222,6.59315057286,6.59315057286,4.2838482882,3.9677145625,6.6626762933,6.6626762933,7.4320821944,7.4320821944,5.9405798315,7.43208219467,7.43208219467,7.43208219469,7.43208219469,6.57287751527,7.43208219432,7.43208219432,7.43208219427,7.43208219447,6.50739764337,6.25229721487,6.99748651507,7.432082193807,7.432082193807,7.432082193807,7.432082193947,7.432082193947,7.432082193877,6.809866101877,7.432082194277,7.432082194277,7.432082194277,7.432082194033,7.432082194033,7.432082193833,7.432082193833,7.432082193833,7.432082193877,7.432082193877,6.401097099537,7.432082194557,7.432082194557,7.053506995787,6.682730511887,7.432082194637,7.432082194637,7.069302858137,7.432082194737,7.432082194737,7.432082194737,7.432082194137,7.432082194337,7.432082194337,7.432082194247,7.432082194277,7.432082194277,7.432082194347,7.432082194337,7.269245871237,7.432082194237,7.432082194337,7.432082194337,7.432082194307,7.432082194307,7.432082194337,6.113030022847,7.432082194447,7.432082194447,7.432082194497,7.432082194497,7.432082194247,7.432082194247,7.432082194347,7.432082194547,7.432082194047,7.432082194047,4.876381967707,7.432082194307,7.432082194287,7.432082194287,7.432082194287,7.432082194307,4.238602179107
"t105",2.41224124112,2.41224124106,2.41224124106,1.84938492412,0,0.2474048202,0.31833948362,1.68345005742,1.68345005742,5.62064294082,3.43683328702,4.03072016703,6.62674416005,7.15600689002,7.15600689002,6.72503302557,7.15600688987,7.15600689041,7.15600689027,7.15600689027,7.15600689021,7.15600689019,7.15600689019,7.15600689021,6.55859461077,6.62325848047,7.15600689027,7.15600689027,7.15600688972,7.15600689026,6.42197655526,6.74476428181,7.15600689021,7.15600689031,7.15600689021,7.15600689051,7.15600688992,7.15600688992,7.15600688992,7.15600688992,6.28623944924,7.15600689004,7.15600688982,7.15600688982,6.67299683912,7.15600688978,7.15600688978,4.84670460512,4.53057087942,7.22553261022,7.22553261022,7.99493851132,7.99493851132,6.50343614842,7.99493851159,7.99493851159,7.99493851161,7.99493851161,7.13573383219,7.99493851124,7.99493851124,7.99493851119,7.99493851139,7.07025396029,6.81515353179,7.56034283199,7.994938510727,7.994938510727,7.994938510727,7.994938510867,7.994938510867,7.994938510797,7.372722418797,7.994938511197,7.994938511197,7.994938511197,7.994938510953,7.994938510953,7.994938510753,7.994938510753,7.994938510753,7.994938510797,7.994938510797,6.963953416457,7.994938511477,7.994938511477,7.616363312707,7.245586828807,7.994938511557,7.994938511557,7.632159175057,7.994938511657,7.994938511657,7.994938511657,7.994938511057,7.994938511257,7.994938511257,7.994938511167,7.994938511197,7.994938511197,7.994938511267,7.994938511257,7.832102188157,7.994938511157,7.994938511257,7.994938511257,7.994938511227,7.994938511227,7.994938511257,6.675886339767,7.994938511367,7.994938511367,7.994938511417,7.994938511417,7.994938511167,7.994938511167,7.994938511267,7.994938511467,7.994938510967,7.994938510967,5.439238284627,7.994938511227,7.994938511207,7.994938511207,7.994938511207,7.994938511227,4.801458496027
"t106",2.41224124112,2.41224124106,2.41224124106,1.84938492412,0.2474048202,0,0.31833948362,1.68345005742,1.68345005742,5.62064294082,3.43683328702,4.03072016703,6.62674416005,7.15600689002,7.15600689002,6.72503302557,7.15600688987,7.15600689041,7.15600689027,7.15600689027,7.15600689021,7.15600689019,7.15600689019,7.15600689021,6.55859461077,6.62325848047,7.15600689027,7.15600689027,7.15600688972,7.15600689026,6.42197655526,6.74476428181,7.15600689021,7.15600689031,7.15600689021,7.15600689051,7.15600688992,7.15600688992,7.15600688992,7.15600688992,6.28623944924,7.15600689004,7.15600688982,7.15600688982,6.67299683912,7.15600688978,7.15600688978,4.84670460512,4.53057087942,7.22553261022,7.22553261022,7.99493851132,7.99493851132,6.50343614842,7.99493851159,7.99493851159,7.99493851161,7.99493851161,7.13573383219,7.99493851124,7.99493851124,7.99493851119,7.99493851139,7.07025396029,6.81515353179,7.56034283199,7.994938510727,7.994938510727,7.994938510727,7.994938510867,7.994938510867,7.994938510797,7.372722418797,7.994938511197,7.994938511197,7.994938511197,7.994938510953,7.994938510953,7.994938510753,7.994938510753,7.994938510753,7.994938510797,7.994938510797,6.963953416457,7.994938511477,7.994938511477,7.616363312707,7.245586828807,7.994938511557,7.994938511557,7.632159175057,7.994938511657,7.994938511657,7.994938511657,7.994938511057,7.994938511257,7.994938511257,7.994938511167,7.994938511197,7.994938511197,7.994938511267,7.994938511257,7.832102188157,7.994938511157,7.994938511257,7.994938511257,7.994938511227,7.994938511227,7.994938511257,6.675886339767,7.994938511367,7.994938511367,7.994938511417,7.994938511417,7.994938511167,7.994938511167,7.994938511267,7.994938511467,7.994938510967,7.994938510967,5.439238284627,7.994938511227,7.994938511207,7.994938511207,7.994938511207,7.994938511227,4.801458496027
"t102",2.4122412411,2.41224124104,2.41224124104,1.8493849241,0.31833948362,0.31833948362,0,1.6834500574,1.6834500574,5.6206429408,3.436833287,4.03072016701,6.62674416003,7.15600689,7.15600689,6.72503302555,7.15600688985,7.15600689039,7.15600689025,7.15600689025,7.15600689019,7.15600689017,7.15600689017,7.15600689019,6.55859461075,6.62325848045,7.15600689025,7.15600689025,7.1560068897,7.15600689024,6.42197655524,6.74476428179,7.15600689019,7.15600689029,7.15600689019,7.15600689049,7.1560068899,7.1560068899,7.1560068899,7.1560068899,6.28623944922,7.15600689002,7.1560068898,7.1560068898,6.6729968391,7.15600688976,7.15600688976,4.8467046051,4.5305708794,7.2255326102,7.2255326102,7.9949385113,7.9949385113,6.5034361484,7.99493851157,7.99493851157,7.99493851159,7.99493851159,7.13573383217,7.99493851122,7.99493851122,7.99493851117,7.99493851137,7.07025396027,6.81515353177,7.56034283197,7.994938510707,7.994938510707,7.994938510707,7.994938510847,7.994938510847,7.994938510777,7.372722418777,7.994938511177,7.994938511177,7.994938511177,7.994938510933,7.994938510933,7.994938510733,7.994938510733,7.994938510733,7.994938510777,7.994938510777,6.963953416437,7.994938511457,7.994938511457,7.616363312687,7.245586828787,7.994938511537,7.994938511537,7.632159175037,7.994938511637,7.994938511637,7.994938511637,7.994938511037,7.994938511237,7.994938511237,7.994938511147,7.994938511177,7.994938511177,7.994938511247,7.994938511237,7.832102188137,7.994938511137,7.994938511237,7.994938511237,7.994938511207,7.994938511207,7.994938511237,6.675886339747,7.994938511347,7.994938511347,7.994938511397,7.994938511397,7.994938511147,7.994938511147,7.994938511247,7.994938511447,7.994938510947,7.994938510947,5.439238284607,7.994938511207,7.994938511187,7.994938511187,7.994938511187,7.994938511207,4.801458496007
"t82",2.4122412411,2.41224124104,2.41224124104,1.8493849241,1.68345005742,1.68345005742,1.6834500574,0,0.5917282738,5.6206429408,3.436833287,4.03072016701,6.62674416003,7.15600689,7.15600689,6.72503302555,7.15600688985,7.15600689039,7.15600689025,7.15600689025,7.15600689019,7.15600689017,7.15600689017,7.15600689019,6.55859461075,6.62325848045,7.15600689025,7.15600689025,7.1560068897,7.15600689024,6.42197655524,6.74476428179,7.15600689019,7.15600689029,7.15600689019,7.15600689049,7.1560068899,7.1560068899,7.1560068899,7.1560068899,6.28623944922,7.15600689002,7.1560068898,7.1560068898,6.6729968391,7.15600688976,7.15600688976,4.8467046051,4.5305708794,7.2255326102,7.2255326102,7.9949385113,7.9949385113,6.5034361484,7.99493851157,7.99493851157,7.99493851159,7.99493851159,7.13573383217,7.99493851122,7.99493851122,7.99493851117,7.99493851137,7.07025396027,6.81515353177,7.56034283197,7.994938510707,7.994938510707,7.994938510707,7.994938510847,7.994938510847,7.994938510777,7.372722418777,7.994938511177,7.994938511177,7.994938511177,7.994938510933,7.994938510933,7.994938510733,7.994938510733,7.994938510733,7.994938510777,7.994938510777,6.963953416437,7.994938511457,7.994938511457,7.616363312687,7.245586828787,7.994938511537,7.994938511537,7.632159175037,7.994938511637,7.994938511637,7.994938511637,7.994938511037,7.994938511237,7.994938511237,7.994938511147,7.994938511177,7.994938511177,7.994938511247,7.994938511237,7.832102188137,7.994938511137,7.994938511237,7.994938511237,7.994938511207,7.994938511207,7.994938511237,6.675886339747,7.994938511347,7.994938511347,7.994938511397,7.994938511397,7.994938511147,7.994938511147,7.994938511247,7.994938511447,7.994938510947,7.994938510947,5.439238284607,7.994938511207,7.994938511187,7.994938511187,7.994938511187,7.994938511207,4.801458496007
"t83",2.4122412411,2.41224124104,2.41224124104,1.8493849241,1.68345005742,1.68345005742,1.6834500574,0.5917282738,0,5.6206429408,3.436833287,4.03072016701,6.62674416003,7.15600689,7.15600689,6.72503302555,7.15600688985,7.15600689039,7.15600689025,7.15600689025,7.15600689019,7.15600689017,7.15600689017,7.15600689019,6.55859461075,6.62325848045,7.15600689025,7.15600689025,7.1560068897,7.15600689024,6.42197655524,6.74476428179,7.15600689019,7.15600689029,7.15600689019,7.15600689049,7.1560068899,7.1560068899,7.1560068899,7.1560068899,6.28623944922,7.15600689002,7.1560068898,7.1560068898,6.6729968391,7.15600688976,7.15600688976,4.8467046051,4.5305708794,7.2255326102,7.2255326102,7.9949385113,7.9949385113,6.5034361484,7.99493851157,7.99493851157,7.99493851159,7.99493851159,7.13573383217,7.99493851122,7.99493851122,7.99493851117,7.99493851137,7.07025396027,6.81515353177,7.56034283197,7.994938510707,7.994938510707,7.994938510707,7.994938510847,7.994938510847,7.994938510777,7.372722418777,7.994938511177,7.994938511177,7.994938511177,7.994938510933,7.994938510933,7.994938510733,7.994938510733,7.994938510733,7.994938510777,7.994938510777,6.963953416437,7.994938511457,7.994938511457,7.616363312687,7.245586828787,7.994938511537,7.994938511537,7.632159175037,7.994938511637,7.994938511637,7.994938511637,7.994938511037,7.994938511237,7.994938511237,7.994938511147,7.994938511177,7.994938511177,7.994938511247,7.994938511237,7.832102188137,7.994938511137,7.994938511237,7.994938511237,7.994938511207,7.994938511207,7.994938511237,6.675886339747,7.994938511347,7.994938511347,7.994938511397,7.994938511397,7.994938511147,7.994938511147,7.994938511247,7.994938511447,7.994938510947,7.994938510947,5.439238284607,7.994938511207,7.994938511187,7.994938511187,7.994938511187,7.994938511207,4.801458496007
"t10",5.6206429409,5.62064294084,5.62064294084,5.0577866239,5.62064294082,5.62064294082,5.6206429408,5.6206429408,5.6206429408,0,2.5246097242,4.03072016681,6.62674415983,7.1560068898,7.1560068898,6.72503302535,7.15600688965,7.15600689019,7.15600689005,7.15600689005,7.15600688999,7.15600688997,7.15600688997,7.15600688999,6.55859461055,6.62325848025,7.15600689005,7.15600689005,7.1560068895,7.15600689004,6.42197655504,6.74476428159,7.15600688999,7.15600689009,7.15600688999,7.15600689029,7.1560068897,7.1560068897,7.1560068897,7.1560068897,6.28623944902,7.15600688982,7.1560068896,7.1560068896,6.6729968389,7.15600688956,7.15600688956,4.8467046049,4.5305708792,7.22553261,7.22553261,7.9949385111,7.9949385111,6.5034361482,7.99493851137,7.99493851137,7.99493851139,7.99493851139,7.13573383197,7.99493851102,7.99493851102,7.99493851097,7.99493851117,7.07025396007,6.81515353157,7.56034283177,7.994938510507,7.994938510507,7.994938510507,7.994938510647,7.994938510647,7.994938510577,7.372722418577,7.994938510977,7.994938510977,7.994938510977,7.994938510733,7.994938510733,7.994938510533,7.994938510533,7.994938510533,7.994938510577,7.994938510577,6.963953416237,7.994938511257,7.994938511257,7.616363312487,7.245586828587,7.994938511337,7.994938511337,7.632159174837,7.994938511437,7.994938511437,7.994938511437,7.994938510837,7.994938511037,7.994938511037,7.994938510947,7.994938510977,7.994938510977,7.994938511047,7.994938511037,7.832102187937,7.994938510937,7.994938511037,7.994938511037,7.994938511007,7.994938511007,7.994938511037,6.675886339547,7.994938511147,7.994938511147,7.994938511197,7.994938511197,7.994938510947,7.994938510947,7.994938511047,7.994938511247,7.994938510747,7.994938510747,5.439238284407,7.994938511007,7.994938510987,7.994938510987,7.994938510987,7.994938511007,4.801458495807
