,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,264.0,264,264,264,264,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,ARD,mcar,with_extinct,binary,,,,,,,,,,,,,
freq,,264,132,142,264,,,,,,,,,,,,,
mean,190.12121212121212,,,,,0.1127165224331887,0.10404743063465763,0.14989651262904463,0.15538245504692255,0.16200255115965997,0.16145883332549515,0.16477898692844958,0.1659163239253933,0.12850089952384153,0.15453999385580752,0.17732466085202775,0.1455444402797738,0.13926030337992273
std,115.99980531667354,,,,,0.2817400030449394,0.08320883966807761,0.09245554750208677,0.09511268250658321,0.10355268495366053,0.11360222264778917,0.10425356468412651,0.10803457778334555,0.10369415308784494,0.11018118117943274,0.1308181136182441,0.11311722264901516,0.10456204629733935
min,0.0,,,,,-2.19252390637731,5.288850474149575e-05,0.0,1.7195636597124288e-06,1.7804620338711382e-06,2.734018105864347e-07,5.329076557229863e-16,1.667672262285034e-09,4.010912186019234e-06,9.414964075359888e-06,1.108765076309994e-05,1.4798363278975794e-05,5.0839037124999695e-05
25%,89.75,,,,,0.010784024474974424,0.041860988246356104,0.08279202870420678,0.08997116274754058,0.09276049479484592,0.0919174496349808,0.10089971026758952,0.09910965944619213,0.05811011977401208,0.0829296822719589,0.08814779149536897,0.0671578556111665,0.07098068410701137
50%,189.5,,,,,0.1683127918193395,0.08755775674363869,0.15123179454507968,0.15683356961817313,0.15618762287532634,0.1510899844470526,0.1620610043575387,0.16110789444554585,0.1057025644553034,0.1427132657621608,0.1655517305033448,0.12695748031412168,0.12173660809893774
75%,295.25,,,,,0.2873067457378355,0.14525294359388052,0.20730555555555552,0.20830348023973785,0.21598013708943564,0.21711851247918845,0.22682031704218877,0.2225635297232323,0.1796843590408035,0.20236166134425643,0.2403934501676374,0.19948824091957923,0.18947440670881716
max,397.0,,,,,0.399864161626666,0.4005364665925096,0.6223456790123457,0.4937452399075711,0.6649985347123388,0.7261739178262274,0.7980373816621219,0.933671781748092,0.542354507836132,0.7872545988707584,0.7534333492156753,0.8843692413460056,0.7396554158669479
