,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,92.0,92,92,92,92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,BiSSE,mcar,with_extinct,binary,,,,,,,,,,,,,
freq,,92,46,56,92,,,,,,,,,,,,,
mean,174.15217391304347,,,,,0.07716288640322384,0.09942323364177509,0.11934482329650627,0.14728574950005727,0.14715034474857594,0.14711762088887015,0.1397831902491415,0.14867257434867548,0.13322263820871955,0.13627475663183436,0.1614368314580622,0.1256394453415,0.12601823583011273
std,109.27593209797622,,,,,0.7186161592307904,0.08873450367234083,0.09998266530817479,0.0950785470218542,0.10194769668078722,0.11059176391147822,0.09685448218376123,0.10514583481888866,0.1147905260503327,0.11045079491026498,0.14416769335661747,0.11010764558804687,0.11947344543979357
min,8.0,,,,,-4.45628887117237,1.5127694811637044e-05,0.0,0.0011884785344936,4.963047366251133e-12,1.0764189677803249e-07,4.329607527014142e-07,9.334252499173056e-10,4.932597915724554e-06,3.763883850250038e-05,1.5735442559575074e-05,3.763883850250038e-05,3.763883850250038e-05
25%,62.75,,,,,0.120096515937502,0.024652342374906752,0.025580171232541325,0.07557128851064862,0.06966338964555713,0.06321669034661954,0.06956987308988821,0.0787630013355333,0.0533969122446585,0.05393842819662705,0.05346109793009653,0.04342504120607215,0.0411375731652448
50%,168.5,,,,,0.2238718155371185,0.0840770320296737,0.09901818702032986,0.13641728602331935,0.1381317604546489,0.13235638257901322,0.1329862955016119,0.1291306262353894,0.09967371218437729,0.1233541903117496,0.1357866851819999,0.1090523689981934,0.093060386080002
75%,274.25,,,,,0.326404827424396,0.1470249756704959,0.1970687796859676,0.21960790723004991,0.23280765375176177,0.21594086245371386,0.20546675449237262,0.2090640642563389,0.18872379326310934,0.2007417731813848,0.24997587677574457,0.16021646749220933,0.1879569776847883
max,367.0,,,,,0.399800735454924,0.4031456414102132,0.5,0.3491389932341981,0.4638679708922894,0.4909453562126528,0.4993335040968181,0.4951980274061329,0.4914980596419107,0.4900257043112176,0.7934080848207681,0.5372666437995653,0.6016513351144149
