,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,88.0,88,88,88,88,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,HiSSE,mcar,with_extinct,binary,,,,,,,,,,,,,
freq,,88,44,54,88,,,,,,,,,,,,,
mean,205.8181818181818,,,,,0.2465910667640438,0.13495151014344434,0.15609584875922938,0.1644960567217087,0.16422304394735074,0.16884354852360867,0.16871835281096323,0.17145606732964075,0.15661655337998165,0.16970309301063102,0.20109064314448394,0.1576311334174078,0.1556154928080486
std,125.54786104409813,,,,,0.16372326563300935,0.08354763511591559,0.0953988777320222,0.09871966834920473,0.10036495448419062,0.10856795740386262,0.09678409026182451,0.10588231707198772,0.10132025114987604,0.1091588019654904,0.1356041472275698,0.10310302357574538,0.09994806464424127
min,8.0,,,,,-0.563817312931068,0.0002518789509194,0.0005716637702368,0.0016881435773232,1.2175550548619571e-05,1.1526509999126846e-10,0.0001381572853543,0.0004490894979537,1.718689855672302e-05,0.0006865735216923,0.0001912519447957,2.1213263193515425e-05,0.0002608250859121
25%,91.25,,,,,0.18536523435784424,0.0749890986649318,0.08984555149672105,0.08672435041863365,0.08979019451018991,0.08093503264941294,0.0969003998778312,0.09209507449985614,0.07904158548946365,0.08483557167702313,0.10439707674325517,0.08782890028889792,0.08139047784175155
50%,207.5,,,,,0.30073523718558703,0.13857081202334326,0.1545870915610421,0.17510839124664068,0.1780638441731644,0.17050713819898575,0.17774724881252155,0.17804958852220526,0.14859113860650608,0.16756510849169054,0.18117523283892495,0.15883648247768925,0.15080047829323764
75%,323.75,,,,,0.3467875320941125,0.2013858775267136,0.21358173725308433,0.23348949129709234,0.23018238687564838,0.23645906969048913,0.23539445380033666,0.24051240424222287,0.23520469453825193,0.2490159769981766,0.29380933919457664,0.217493215921038,0.21262720888977876
max,397.0,,,,,0.393421221733063,0.4173171522200357,0.4682716049382717,0.5022589762967069,0.5725567863006868,0.5868852345653155,0.524545368518978,0.5657854804478228,0.38573848340041,0.5223037052707601,0.7232209286211267,0.5517473489005595,0.57501765901041
