,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,254.0,254,254,254,254,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,ER,mcar,with_extinct,binary,,,,,,,,,,,,,
freq,,254,127,132,254,,,,,,,,,,,,,
mean,198.42125984251967,,,,,0.07405106562807802,0.11880849804605874,0.18196398197004243,0.1818776120268849,0.18822177729596484,0.18870178084173678,0.1906769696063844,0.18864800298721396,0.1593989110349213,0.17532857447913364,0.20757717038954898,0.16682983616414865,0.16083237067257036
std,115.23020309074951,,,,,0.36222348568823187,0.0821526922320637,0.0834952236089973,0.08840271477888133,0.09368431241109129,0.09812816407951751,0.08642449764036837,0.08020396500642474,0.10268370889735201,0.09740519152926974,0.11870699912125496,0.10582145095406141,0.10369085241928366
min,0.0,,,,,-3.277310654388,9.068093404926729e-05,8.493493195491794e-05,8.114822649153929e-05,3.906630268488279e-06,3.4420814602238896e-06,5.2547859425277945e-08,2.400282252465676e-18,6.235656219414722e-05,3.6962782121896e-05,3.240687562979072e-05,4.9891106758477696e-05,9.3589700627329e-05
25%,99.75,,,,,-0.05585940551179582,0.057159089972076096,0.13335185185185183,0.1238876958182391,0.12649005030619084,0.11725727285462997,0.1332257253292716,0.13872153941946305,0.0811744240960645,0.10096662021111698,0.1135383994583121,0.09042198283089442,0.08602558402524257
50%,198.5,,,,,0.104195721520675,0.1089079220661372,0.1859122328133543,0.18225928297686939,0.1851197286893862,0.18065665914916354,0.18954858078764608,0.19151259950693184,0.14438362764,0.17293869034202086,0.20525657712141404,0.15501174171924353,0.1536588397341193
75%,297.25,,,,,0.2808358911875848,0.169585026392985,0.23298558390002064,0.23679271246421846,0.241672287775529,0.25386283110479196,0.2511309098000316,0.2498582234950134,0.22341424568661394,0.23922907071716243,0.2817053579358504,0.22566721842058662,0.22359473006760905
max,397.0,,,,,0.397310700010874,0.447214775142278,0.5169204400510204,0.5471540575144738,0.7703138554588769,0.5945855478010765,0.6129561839612354,0.4733855594982844,0.5205155707939866,0.5694674005149,0.735006195479641,0.6622989332028313,0.5645335473848723
