,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,358.0,358,358,358,358,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,bBMT,mcar,with_extinct,binary,,,,,,,,,,,,,
freq,,358,179,184,358,,,,,,,,,,,,,
mean,197.4608938547486,,,,,-0.3819507270178378,0.04402745215234779,0.09507183639748241,0.07475325510545903,0.068112723524732,0.06265346428357259,0.06770167143349802,0.06596064017734533,0.056412600007321984,0.055807531594489285,0.06766188266139359,0.05017757336254088,0.04925875672233197
std,115.15347148843338,,,,,0.7427641386526517,0.06250082424098174,0.1117271081814652,0.07887823195769497,0.07633895252776778,0.07713808163062781,0.07922773829412078,0.07873311115901648,0.07436426362252047,0.07010685831096593,0.08934878576919815,0.07043373134605757,0.0659248029619588
min,0.0,,,,,-4.65218350580921,4.182121351996924e-07,0.0,2.5878816693469888e-11,2.638025683406594e-13,1.4557269837801806e-08,2.1385590595895137e-23,1.9083420635475696e-33,2.644462001600132e-07,7.681188803754994e-08,6.648995649999979e-07,3.622817170000593e-09,5.379850362998804e-08
25%,99.25,,,,,-0.47177788612321025,0.00047630487982265,0.0024691358024691,0.0036972965704737,0.005231083337531625,0.001726394657549725,0.00331778617517625,0.0034533859761716997,0.000749940536679825,0.001145336560447225,0.000574652969872525,0.0009538603917081751,0.000711278050892375
50%,196.5,,,,,-0.201865481164176,0.012408799619365751,0.0614666133627549,0.050375766189186696,0.0398831563436537,0.0303902644535869,0.0295795174544353,0.0281504597833847,0.02418321187514175,0.0265880572416234,0.0296391201031315,0.016581175424409747,0.01629047422581325
75%,295.75,,,,,-0.0084064636912226,0.0699907685604577,0.15922891203565231,0.11454010989633757,0.10184883768325835,0.09985433859578785,0.1064680897146532,0.10276323521273345,0.0892231404860211,0.09629953765781098,0.09954938160056283,0.0797890879345929,0.0831019601557286
max,399.0,,,,,0.39381678106867,0.4161214880125022,0.549820379643392,0.3251702047590734,0.3494013791043412,0.3566900227205692,0.3711444985498641,0.3722323393395244,0.3721834818324082,0.3532048848817807,0.5515869698873672,0.3569689820875612,0.3358954884295834
