"accepted_species","I1.1/1"
"t7","1"
"t8","1"
"t1","1"
"t2","1"
"t55","1"
"t56","1"
"t22","1"
"t43","1"
"t6",NA
"t23","1"
"t39",NA
"t44","1"
"t58","1"
"t59","1"
"t48","1"
"t80","1"
"t81","1"
"t36","1"
"t17","1"
"t68",NA
"t31","1"
"t19","1"
"t52","1"
"t53","1"
"t37",NA
"t38",NA
"t88",NA
"t14",NA
"t15",NA
"t4","1"
"t32","1"
"t33","1"
"t18","1"
"t25",NA
"t26",NA
"t3","0"
"t95","0"
"t96","0"
"t82","0"
"t11","0"
"t5","0"
"t30","0"
"t76","0"
"t77","0"
"t27","0"
"t16","0"
"t69","0"
"t50","0"
"t51","0"
"t86","0"
"t87","0"
"t34","0"
"t46","0"
"t57","0"
"t10","0"
"t60","0"
"t61","0"
"t21","0"
"t74","0"
"t75","1"
"t12","0"
"t13","1"
"t9","1"
"t89","1"
"t90","1"
"t99","1"
"t100","1"
"t70","1"
"t54","1"
"t41","1"
"t42","1"
"t35","1"
"t97","1"
"t98","1"
"t94","1"
"t91","1"
"t71","0"
"t72","0"
"t24","1"
"t20","1"
"t28","1"
"t29","1"
"t64","1"
"t65","1"
"t66","1"
"t67","1"
"t49","1"
"t47","1"
"t92","1"
"t93","1"
"t78","1"
"t79","1"
"t73","1"
"t84","1"
"t85","1"
"t83","1"
"t40","0"
"t45","1"
"t62","0"
"t63","0"
