"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126","c127","c128","c129","c130","c131","c132","c133","c134","c135","c136","c137","c138","c139","c140","c141","c142","c143","c144","c145","c146","c147","c148"
"t1",-0.0244341814979562,0.0133696876347047,-0.0683691570911426,0.013451115790883,-0.0427730622380491,7.25683597413572e-05,0.0146368406212301,-0.035146225349003,0.0169102086834134,0.276229911459515,0.0525064786740998,-0.00765477560887754,0.576495284123877,0.00533917648450925,-0.0103794915735358,0.0143205776449759,0.0160484375197885,-0.00355383053958375,0.023421451993716,0.184163414869253,-0.0417343383373242,0.00844557405173043,-0.0223894052972273,-0.000415378544280487,0.00975378967178781,0.0563720188022531,-0.00431194564678513,0.000805969330152443,0.0966404598427886,0.0386801488320302,-0.0407816233805213,0.00107814072746172,0.00678982575335427,-0.0514246363012225,0.0141572862364659,-0.0149134216306651,0.000865420309660436,0.0102411596850401,0.0897452129517131,0.0280073147958514,0.000468988444900172,-0.0021590254578487,0.0398195761746299,-0.00284625978804032,-0.000145766341699103,-0.00497882806010913,0.00199512652513721,-0.00409894993748456,0.00135243382109224,0.029006250355983,-7.30107830217449e-05,-0.00042402043747285,-0.0612749603630317,-0.00200390180666628,-0.000153303672947108,-0.00933008157673222,-0.0043542717747881,3.64515430187644e-05,-1.59403864431136e-06,-0.00100981819789352,0.00556736777710193,0.000115669346836845,6.45557510105058e-06,2.44157739429372e-05,2.74524759203866e-07,-5.41988541983118e-05,4.49295782899959e-06,-0.00310202671955476,-0.000266965043326066,0.00154021122523019,-0.000871908887335228,0.00176442649348272,-0.00464890236336072,-0.000312412175164161,-0.00763721672315611,-0.00149341239468593,-3.7537056524188e-08,-0.00364333954735391,0.000294887178010455,0.00153138421055484,-3.66632296526429e-07,6.2259225881366e-05,-1.63034121206328e-15,-7.60906477119751e-05,-9.12942316332501e-06,-6.17724960688075e-15,1.34426872411478e-06,-3.625524025423e-06,-1.58794626378778e-06,1.39716655619635e-07,1.80111494683017e-05,-4.66620778507994e-08,4.76563373674203e-08,-1.42246722680776e-06,0.00086792388811148,0.707702212813456,1.39684947913972e-14,-1.04599189615774e-08,5.47998238273261e-05,-1.20011013110796e-10,3.72120954685906e-06,4.53158951631369e-10,1.01643812917103e-15,5.74713796325264e-10,-1.70053410379935e-05,-0.000138884972625329,-1.73688147349462e-08,1.19700104088931e-06,2.21299225627868e-16,4.35027244885297e-15,0.000226325524551799,-9.70034131705219e-16,2.207195211619e-15,1.86942591323018e-16,1.75276452158031e-15,5.76471999663104e-08,-8.68152560757064e-05,-2.44292687802807e-15,-1.10023744630871e-06,2.82302882469471e-15,2.00467494894214e-06,4.08239316621861e-16,-5.17032781092428e-16,-2.47775511602066e-15,-2.10917795792023e-08,-5.32249353577919e-16,2.34675762739141e-09,3.43438742206675e-06,-1.33891985546656e-06,-2.71975064220138e-16,5.04900135798795e-16,2.66130890011616e-15,7.62235444626758e-16,-1.63112373404457e-16,2.54734447432311e-16,3.31613942462722e-15,5.59939662632738e-06,-1.40518472388766e-15,1.52805492238672e-15,1.37199803985826e-09,-2.17854464318083e-15,6.42221871637407e-16,6.3862153741706e-15,-3.50205520589548e-15,5.0346465507098e-16,-3.05204362117647e-15,3.83610754120056e-14,-0.0821994936526819
"t2",-0.0244358329980762,0.0133711294699999,-0.0683844943622688,0.013455858469667,-0.0427910127291748,7.25999031512005e-05,0.0146433955941378,-0.0351631719490472,0.0169188729688893,0.27651345888547,0.0525757477281185,-0.00766528429984608,0.577323021625761,0.00534741786085339,-0.010396442113241,0.0143463956169826,0.0160803026629488,-0.00356131181554986,0.0234741834701015,0.1845926665809,-0.0418333282682253,0.0084665479617117,-0.022447393480025,-0.000416640300240768,0.0097836801849556,0.0565593700424027,-0.0043272308253893,0.000808967079255348,0.0970013514701127,0.0388352719903902,-0.0409491506538303,0.00108264074338433,0.00681847147326185,-0.0516669306973293,0.0142277732362326,-0.0149877573804998,0.000869942651787899,0.0102954124682038,0.0902619466935533,0.0281708132115016,0.00047189444022279,-0.00217321771297581,0.0400867545798798,-0.00286800671119493,-0.000146899408620742,-0.00501941106715379,0.0020122493047444,-0.00413539871942935,0.00136472641046126,0.0292728925982368,-7.37099358285002e-05,-0.000428481429816817,-0.0619252035018357,-0.00202518904279125,-0.000154951056656447,-0.00943368889255086,-0.00440677343330899,3.68976818798483e-05,-1.6157081589887e-06,-0.00102522177147085,0.00565530120372564,0.000117540644684438,6.56107342350244e-06,2.48521387167797e-05,2.79757881659857e-07,-5.52331128039613e-05,4.58318601207332e-06,-0.00317606449176374,-0.000273441814334958,0.00157769996688345,-0.000893309001125888,0.00180847562039277,-0.00478783704728797,-0.000321902640301377,-0.00787097041727992,-0.00154364192041807,-3.88144646833679e-08,-0.00382918388879661,0.000310273851272475,0.00161376128249242,-3.91772404161698e-07,6.68192876036251e-05,1.12461540606368e-15,-8.28190295992398e-05,-1.00722519882701e-05,5.85799780248816e-15,1.49841053856897e-06,-4.05034007228578e-06,-1.78318337084166e-06,1.58003208689945e-07,2.20010302912054e-05,-5.86108863145348e-08,6.39770282437112e-08,-1.93657112639913e-06,0.00320840915257074,-0.706508607048431,-1.42020175175338e-14,-5.23615473593543e-09,3.11805195885748e-05,-9.58772515641081e-11,3.12038375548562e-06,3.83873781175096e-10,-8.72314161607239e-16,5.37775889732506e-10,-1.60265405205909e-05,-0.000131260518191725,-1.65033621816616e-08,1.14619163703246e-06,-3.51404058279224e-16,-4.1454339864171e-15,0.000217555741886523,1.69265685650609e-15,-2.92604162911098e-15,-5.39429258843788e-16,-1.74153004542918e-15,5.572264500137e-08,-8.4008420151009e-05,3.33990762902231e-15,-1.06599004082594e-06,-3.27748462075188e-15,1.94662899935637e-06,-5.32063811009397e-16,3.06943346343347e-16,3.14904298896387e-15,-2.05195879492554e-08,5.73940832084513e-16,2.28798987173886e-09,3.34917865402236e-06,-1.30634838004386e-06,1.53300460759591e-15,-9.65125467569307e-16,-2.27617197882804e-15,-6.18055617588646e-16,-7.90533128998297e-16,-3.212045978451e-17,-3.44672892645955e-15,5.48249723525527e-06,8.68872578787653e-16,-2.12868869142371e-15,1.34666002201513e-09,2.35630463133056e-15,-1.83612114309915e-16,3.33741168609318e-15,-2.07887510128974e-16,4.18135944476086e-16,-4.59372594988531e-15,3.87187723980891e-14,-0.0821994936526758
"t6",-0.0464265794208121,-0.00366571155577057,-0.0363068353260362,0.0211821865748298,-0.0237999940791015,0.00369223876875302,0.00833991217189403,-0.023796065498438,0.0327681664253173,0.0815109959460817,0.0184966113190835,-0.00122566108662777,0.0797760116256478,0.000514378890037619,-0.000622915460009608,-0.000160941469187255,-0.0065762547479631,0.000517446012349826,-0.00516176088089602,-0.0522764736417514,-0.00384194579809613,-0.00275348666342044,0.0301053969442546,0.000249305068827607,-0.00605095378856207,-0.0785971686876555,0.00296727872100473,-0.000687853685537569,-0.083704289321945,-0.044815471068454,0.0573823187894564,0.00380654565091381,-0.0501815609646959,0.0618828656137718,-0.0233500160314346,0.0178332519557566,-0.00133336685210793,-0.0162470578619478,-0.170199797746581,-0.0470378176505314,-0.00100712635710646,0.00519070852010864,-0.0995450940560399,0.00919095343322192,0.00267741462116196,0.0185625479834218,-0.00859994873995027,0.0205535716548623,-0.00803145584597314,-0.202632431309754,3.37245257725665e-05,0.00194645730379813,0.28943362125381,0.00943022091962599,0.000752820845540963,0.0502665047073047,0.00960491529607368,-0.000240974575501827,1.43199720771577e-05,0.0172922491142706,0.0686538356593436,-0.000713304235844581,-5.12388591745691e-05,0.000847595899146561,-6.16215599396652e-06,0.00122572966149817,0.000505548373406061,0.0982847702010506,0.047549677351931,-0.0690915849302165,0.0537073608700651,-0.382707993635158,0.195114443329897,0.0200330662612658,0.417685325302814,0.565546962350784,3.53286011823923e-05,0.165384209355641,0.173232890898652,0.111085569230001,3.93303511292618e-05,0.00151781543569664,2.85559763823629e-15,0.0082383941775662,0.00101446513000378,-4.30222223329231e-16,2.45054017626873e-05,-6.55531463223043e-05,-2.8228303758712e-05,-1.6289520885931e-05,-0.00235146977449501,-7.35906681269223e-07,7.52311465354049e-07,0.000205744173018657,0.0251824414120964,-0.000369285256067997,-1.32761363608275e-16,-9.00281575734321e-08,0.000488602239267643,-1.13919545576686e-09,-0.000713952025409086,4.24296566392648e-09,1.75878821475244e-15,4.61421109422915e-09,-0.00013229023216991,-0.00106507589808976,-1.29149342721135e-07,8.41927636470468e-06,3.85442135759829e-16,3.90992802916208e-15,0.00153850488807175,-1.73029450771215e-15,3.13112018982102e-15,3.11715446254338e-16,-1.02811145923696e-15,3.69214901112201e-07,-0.000548612106602677,2.19593704076189e-15,-6.84130869734806e-06,1.86160951728449e-15,1.20774006323587e-05,1.86537233521744e-15,9.08786384651419e-17,2.33813664120569e-15,-1.23394056127885e-07,-5.85234624995361e-16,1.32284993036212e-08,0.000297509289918796,-0.00011177194053309,8.72732667528612e-16,-1.32685824366095e-15,3.36847004944429e-15,-3.1752808605782e-15,-8.72214632927886e-16,-3.6017345321633e-16,7.64408986786458e-16,0.00035629764748278,7.85776732957946e-15,1.22220910217473e-14,6.64523108075396e-09,-1.91392647634426e-14,2.88410777522057e-16,5.85642166823753e-15,-2.70404182213628e-15,2.95804968356039e-16,-3.0364557695253e-15,3.82564997775087e-14,-0.0821994936526807
"t27",-0.0814577441571148,-0.0275623662947463,-0.00891671247236231,0.0651491241441535,-0.0300611913074137,0.0218250011598797,0.013878011768801,-0.0738299036398112,0.261945149287954,-0.0203863122306279,-0.00490898388739261,8.1622660314874e-05,-0.00434242207056242,-1.53239156665505e-05,6.99931223226472e-06,-3.11174982163119e-06,-0.00105794630836932,3.31843361828719e-05,-0.000462545932024579,-0.00631176807084827,-0.00434405161547414,-0.000301095391654264,0.0102753427215013,3.88653583564164e-05,-0.000979912919879118,-0.0292834324220452,0.000224249721999384,-9.93211835363783e-05,-0.0124290769707135,-0.0106633544679319,0.017885142174188,0.00352596876685655,-0.0335591578809226,0.00700872478735115,-0.00630960955980937,0.000655062509601669,-0.000240113601701567,-0.00304674034730612,-0.0407125640269094,-0.00562128594748608,-0.000269630722234459,0.00160599530095628,-0.0324570612155451,0.00450134821157876,0.0040321580098147,0.0122402461840277,-0.00804927092457357,0.0277587427190776,-0.0152250206538478,-0.489368087789994,-0.001668527380018,-0.00158616761746877,-0.213088624670486,-0.0066684750695889,-0.000483454326148529,-0.0235986383624663,0.0085984068765444,4.668968996941e-05,-1.08155158758014e-06,0.00081281930470714,0.0163517804252098,4.1802696491209e-05,4.31341355596253e-07,0.00620361315128783,-1.12192446531169e-06,0.000224678490697397,0.000324630475782907,0.0862970350264467,0.0836744574719689,-0.0702893005266512,0.0641139135905547,-0.600395548311317,-0.182385039664404,-0.0195653046673152,-0.330370877687689,-0.287545769180357,-1.72604152836486e-05,0.03975879667647,0.00941915853309101,-0.00305291285197095,8.8992880308587e-06,-0.000145134822470539,-9.52437714150395e-16,0.0022206802516558,0.000291003130838053,3.74563844088997e-15,-1.89053693050768e-06,5.00725418770954e-06,2.10978794143221e-06,-4.97704179913099e-06,0.0396063520427814,4.46591087962127e-08,-4.20385336476739e-08,7.20919319564137e-05,-0.00117436806833067,1.61522858152449e-05,7.06759760749103e-16,3.50724681495883e-09,-1.85554441093983e-05,3.43311391243681e-11,-0.000282523335327016,-1.09704919231619e-10,-1.44991985746757e-15,-2.02558800084938e-11,8.37276327610041e-08,-1.11801813469765e-06,-5.99136748577118e-10,9.26325882078726e-08,-1.25481029740997e-15,-3.52202793242106e-16,2.28590078334961e-05,-1.96853221721257e-16,-2.51736425777043e-15,-1.29126652997933e-15,2.25075062292966e-16,7.94620491810113e-09,-1.26261584690942e-05,-1.6401974769643e-15,-1.69711271467923e-07,-4.22823228227321e-17,3.41795894023029e-07,-3.83457363610082e-15,-9.82554989017837e-16,-1.55814474456652e-15,-3.89111910215585e-09,7.6400926815882e-17,4.71164702542909e-10,0.000148097859181537,-5.5817873018029e-05,8.89953501444393e-16,-4.49153500775214e-16,6.01128961922799e-16,1.33940385489253e-15,-2.80827324369098e-16,1.18191320097274e-15,-3.92719099909826e-18,0.000182468012696592,1.55821289164245e-15,-1.22070842080409e-15,3.4665275689853e-10,-2.77279025602689e-15,6.17688038235791e-16,5.07070226281844e-15,-2.15621789143742e-15,3.75721549155903e-16,-3.6526144372723e-15,3.8519474337551e-14,-0.0821994936526789
"t51",-0.0849215642726154,-0.0294800437784165,-0.0103098683042408,0.0826829127449446,-0.0401996315958529,0.0295400005909998,0.0189860278801061,-0.103919255431352,0.378295406223524,-0.0525664382995656,-0.0226957035595028,0.000441052162882865,-0.0292584035105966,-0.000178433199288861,0.000205296332859382,4.8836443114629e-05,0.00628403638211375,-0.000140329181766471,0.001448088800503,0.0173281274427691,0.0112134933520352,0.000669057396608458,-0.020162552036757,-5.13360232021376e-05,0.00126965876068499,0.0320906657933646,-0.000217422858295639,8.83491441555653e-05,0.0109788822832996,0.00835136853127986,-0.0134737436769806,-0.00258987932177886,0.0242373123725424,-0.00429075787849898,0.00357547538153598,-0.000370629985758483,0.000127491286551415,0.0015889232106711,0.0191107524584241,0.00259488543414914,0.000116040583120633,-0.000647205520804079,0.0127965555790803,-0.00156397219919142,-0.0013801654270242,-0.00403086329200623,0.00255425887415911,-0.00861678688491786,0.00466996081574746,0.149262329429801,0.000500428081378103,0.000470330912310236,0.0632788107647957,0.0019806934616973,0.000144015515648437,0.00713154970232003,-0.0028522211800184,-1.5960277727884e-05,6.02827373807789e-07,0.000575051462585503,0.00511589328243738,8.74713173151839e-06,7.77711616314438e-08,0.067497286499697,-1.00019428495896e-08,1.94837535678498e-06,-8.27782303075717e-07,-0.006951430909473,-0.207610554023778,-0.0287393717296345,0.00600756824911871,-0.0179335867919935,0.000796484719358944,8.52986398575859e-05,0.00142951086047745,0.000807206257906194,4.33574850756355e-08,0.000577301692487547,0.000148495411686829,-5.33918074830664e-05,2.99465297154515e-07,-5.66258578227029e-06,-1.97917699685281e-15,0.000128775297558514,2.3285762673138e-05,-4.91298883236583e-14,-1.89946565760071e-07,5.28370317670293e-07,2.49087593635245e-07,-6.85672323732087e-07,-0.859358505291354,-3.06858972171869e-08,1.11416726086613e-08,-1.74145673042226e-05,0.000114292823172639,-1.26310157556181e-06,7.58876131943722e-15,-1.98167121271135e-10,9.83893292065244e-07,-1.11875895077882e-12,7.12015289141684e-06,2.54429592093743e-12,5.50001810516132e-15,-1.16563887881306e-13,8.5112529763797e-10,-1.34408520121779e-08,-9.56142299011919e-12,2.11199737568045e-09,-1.60036672654946e-15,-1.96862055036686e-16,6.16295853292218e-07,-8.71255618725024e-16,-2.03841565278469e-16,1.62235743314391e-15,4.51897700531793e-16,2.72091992176751e-10,-4.53273123005763e-07,1.636720971505e-15,-6.43251518091232e-09,2.48108387679487e-15,1.43080840892975e-08,4.99023578092341e-15,1.13687685975812e-15,9.25658471425233e-16,-1.77431337621121e-10,-1.05444381812389e-15,2.37595745183567e-11,7.55280404981308e-06,-2.91572779292145e-06,1.15019061573519e-15,7.41583678188063e-15,2.19643942519e-15,-2.88940375041397e-16,1.18931334199237e-15,3.72907077514169e-16,6.44453840216098e-16,1.14000095467866e-05,-1.68758391327373e-14,-9.70242518459814e-15,2.48204704177665e-11,1.54480185629968e-14,1.14761938203041e-15,4.00263915824544e-15,-3.57716169588608e-15,3.57119729987907e-16,-2.11954021676666e-15,3.9563524418326e-14,-0.082199493652666
"t52",-0.0851197381158105,-0.0295899302730572,-0.0103900616186194,0.0836972858681185,-0.0407877184085674,0.0299877794906668,0.019282651767796,-0.105668929148715,0.385069196897352,-0.0544791613469663,-0.0237657742250662,0.000462724320668981,-0.0307647090589426,-0.000188338929744972,0.000217384860730399,5.2026388784781e-05,0.00673846222060671,-0.000151125009570361,0.00156773736753283,0.0188137602823184,0.0121929954102604,0.000730445392783073,-0.0220978916058143,-5.7191515495644e-05,0.00141587698160116,0.0361295210278498,-0.000246803250094792,0.000100941590220673,0.0125507002564268,0.00964615107056915,-0.0156198314450897,-0.00300986010069919,0.028215582265096,-0.0050893086681313,0.00428452077013678,-0.000444225068357351,0.00015423323806743,0.00192756285080406,0.0236029320566876,0.00321489480153956,0.000145813107022635,-0.000825553429016858,0.0164121750187951,-0.00208314939472367,-0.00184839926738281,-0.00548368129831556,0.00353830779713611,-0.0120943482889103,0.00661004246888508,0.212210193478691,0.000723354585100106,0.000708747390893117,0.0957456657763648,0.00299841923899777,0.000219222107031058,0.0110334913238243,-0.00461155185679395,-2.60268986268416e-05,1.04963791445677e-06,0.0010899011930675,0.00997974881626757,1.74225841888898e-05,1.56308868793368e-07,0.148020545088535,-2.35756169737126e-08,4.5983224881068e-06,-2.08280952787298e-06,-0.0231021292086961,-0.713106195856996,-0.099384633115928,0.0211436091901924,-0.0655076534748644,0.00508784783852673,0.000587470945900493,0.0102152672616829,0.0112375880898969,6.87259728442593e-07,-0.00208950488166924,-0.000499335325606217,0.000163728382802627,-5.27420561747322e-07,8.8882840649373e-06,3.97442831306951e-15,-0.000152897693448551,-2.28833345888123e-05,2.40740842616612e-14,1.669127345826e-07,-4.54299016941485e-07,-2.04357878201252e-07,5.30858790602431e-07,0.453963082906841,1.49767417006489e-08,-4.761417121856e-09,7.28550414849302e-06,-3.32642760443595e-05,3.16076205653104e-07,-3.38159781332648e-15,3.67837377384291e-11,-1.70031451177498e-07,8.86978303325072e-14,-2.57926149899476e-07,-4.97308800534303e-14,-4.01923425948023e-15,-2.52888041037916e-14,1.91064035628957e-10,-3.21100756612213e-09,-2.56179960600001e-12,6.7420482951924e-10,4.86290893218934e-16,-1.13215142905325e-15,2.14583692528157e-07,1.1398994302171e-15,-1.08812559018416e-15,4.90594159535546e-16,1.65385825994987e-16,1.07647080329554e-10,-1.83918381146875e-07,1.8509373754156e-15,-2.68729352038227e-09,-3.8523452196251e-16,6.30332952072912e-09,-6.91447547806225e-16,-6.37964673552053e-16,-4.97720068221425e-16,-8.17749210053613e-11,3.04113318529131e-16,1.1540531908266e-11,3.68920133639021e-06,-1.44173780845893e-06,1.04065151953932e-15,-3.41937931699075e-15,-5.61025868301439e-16,7.30276325553684e-16,-5.58741452706278e-16,3.61757422096807e-16,1.20936582520383e-16,6.1591193320838e-06,4.53920355506665e-15,2.24562390617165e-15,1.42819295103667e-11,-2.42938237941117e-15,-2.66613586900854e-16,6.57903063476007e-15,-9.10469459229085e-16,4.90771096147778e-16,-4.5154589691665e-15,3.87332210086504e-14,-0.082199493652692
"t49",-0.0851958279283396,-0.0296322430562735,-0.0104211990505867,0.0840947885231778,-0.0410192876768977,0.0301642908903377,0.0193996899756381,-0.106361006442383,0.387754396557192,-0.0552663259430065,-0.0242157742689212,0.000471874512555006,-0.031403672916028,-0.00019257479335863,0.000222588890386672,5.34172883817762e-05,0.00693936285119615,-0.000155941450035325,0.00162171779929491,0.0194881151813185,0.0126390168739217,0.000758640393996605,-0.0229941493246902,-5.99999846212855e-05,0.00148615694675764,0.038111205831901,-0.000261477528813297,0.00010732056819768,0.0133479070311829,0.0103178535651609,-0.0167421644679926,-0.00323069915662268,0.0303153201109052,-0.00552860617857129,0.00468360001620235,-0.000485667452906183,0.000169609896474506,0.00212350777383008,0.0263102855407151,0.00359125288993511,0.000164483856137932,-0.000941375909962638,0.0187905056164647,-0.00245695842450071,-0.00219004601001602,-0.00658540867252063,0.00431907368271133,-0.0149471547624041,0.00823635493917791,0.26558603339612,0.00092075784785206,0.000945083070736579,0.128297861696645,0.00402023028411692,0.000295912457098802,0.0152011549851622,-0.00675483719896208,-3.86217636675106e-05,1.74530541469361e-06,0.00221134561879805,0.0220946496388926,4.14419809498884e-05,3.84562064197824e-07,0.574518209837448,-2.09789924934171e-07,4.19429997181251e-05,5.20176633353051e-05,0.0222458917526276,0.587234030913969,0.0793430920608243,-0.0155944119789623,0.0411009613567503,-0.000151600576635345,-6.92097918098379e-07,0.000114571381418627,0.0015167756712505,1.01099558006194e-07,-0.000755806450585079,-0.000183378440383099,6.12481492666926e-05,-2.16086744688938e-07,3.68901972687175e-06,-1.20190634042305e-15,-6.47348311651904e-05,-9.71339171467413e-06,1.02883082074987e-14,7.06113447157126e-08,-1.91972513759386e-07,-8.60995935237311e-08,2.22602559877723e-07,0.178017228771255,5.73652879715949e-09,-1.73606293933684e-09,2.63206350049461e-06,-9.49494451020971e-06,7.63702405759403e-08,-1.96479933754941e-15,4.71689278088026e-12,-1.61319593252091e-08,-4.122673053949e-14,4.65884370709866e-07,1.95108362709448e-13,4.43606974813203e-16,-2.72211946986356e-14,2.03543940171264e-10,-3.35411929079567e-09,-2.58793661919415e-12,6.53189745016058e-10,2.79137547890209e-16,1.99016187154144e-15,2.04356491930201e-07,3.10752094078731e-16,1.18593958601179e-15,-4.62348742492845e-16,-9.53550143890955e-17,1.00429458387611e-10,-1.71011760584513e-07,-1.95449558780936e-15,-2.48969528073274e-09,9.8022298075192e-16,5.80621627783941e-09,-1.44438774182883e-15,-1.00486354486778e-15,5.77164612536579e-16,-7.50209871522828e-11,1.33248319202669e-15,1.05481289482414e-11,3.37063821641283e-06,-1.31633569397281e-06,2.38465262731773e-16,-1.84688280508905e-15,-3.21179016160609e-16,3.60773901399052e-16,-9.94157318131982e-16,-4.28242422935386e-16,-7.71333505666001e-18,5.60570012612415e-06,4.54933726655281e-15,4.17800997572119e-15,1.29977590011928e-11,-6.9287490036479e-15,2.16834928061282e-16,4.89561976984798e-15,-1.33660397738426e-15,5.16950543960399e-16,-4.35643354201548e-15,3.86405624537776e-14,-0.0821994936526787
"t45",-0.0851406487821564,-0.0296015902188036,-0.010398709289481,0.0838086213532549,-0.0408528624150329,0.0300374832320306,0.0193156366108574,-0.105864410032672,0.38582912024317,-0.0547091726528762,-0.0238995646204998,0.000465453247204974,-0.0309559640730067,-0.000189614620755822,0.00021896004953328,5.24513771917348e-05,0.00680045919022935,-0.00015262084624422,0.00158463121522025,0.0190256775248209,0.0123334548267512,0.000739375043011668,-0.0223832709171413,-5.81054564376882e-05,0.00143877682135972,0.0367830489945564,-0.000251691216621125,0.000103082832117629,0.0128184742677774,0.00987445185683627,-0.0160028537099156,-0.00308543274602394,0.0289354598540989,-0.0052428986739105,0.00442546869794422,-0.000458864875832909,0.000159713296494385,0.00199757552054617,0.0245857977624062,0.00335188976365016,0.000152688222417339,-0.000868695018977865,0.0173015879428521,-0.00222644223614625,-0.00197977916956665,-0.0059109781233757,0.00384379349807429,-0.0132168821224686,0.0072520837321135,0.233316527762719,0.000801840139637736,0.00080354778652606,0.108809259932362,0.00340850535224149,0.000250015559052904,0.0127078902482283,-0.00546749927955434,-3.10433824162004e-05,1.31474464470096e-06,0.0014421653427838,0.0131910038513624,2.25006691981205e-05,1.97562522387893e-07,-0.802091039797183,-2.68306038076109e-07,5.31255740165069e-05,4.94435039790728e-05,0.0114423353523508,0.27232841667049,0.0359383891197186,-0.00661356312138884,0.014753236960333,0.0011428893527162,0.000143706890420445,0.00258659337837472,0.003778561467094,2.36454456054286e-07,-0.000958986740121988,-0.000229943033519895,7.5662324524715e-05,-2.42929265518092e-07,4.06035132671759e-06,-1.00068719472546e-15,-6.73634184854216e-05,-9.67110592158721e-06,9.50184040574443e-15,6.82411188071533e-08,-1.84380915395753e-07,-8.15542705255836e-08,2.07033878767941e-07,0.139763300072087,4.27178106214874e-09,-1.15236460016843e-09,1.70811413203695e-06,-2.42668784262469e-06,-4.94829588415513e-09,-2.08683671740438e-15,-8.77728868319192e-12,5.15414683900666e-08,-1.22881382787675e-13,1.00048800380243e-06,3.85744800686493e-13,-1.37418835217724e-16,-3.45058870928471e-14,2.72230218975041e-10,-4.43896142192119e-09,-3.35764904380811e-12,8.22389653584665e-10,9.07929498220766e-16,-1.8037386483205e-17,2.53414393587803e-07,1.12180859558383e-15,-5.20890294047826e-16,-1.43667487865054e-15,-8.43426359121651e-17,1.21760631225928e-10,-2.06396241156292e-07,-8.90256661143625e-16,-2.98919885666139e-09,-1.87492501702553e-15,6.90481158551922e-09,-8.7784598997586e-16,6.29859117848797e-16,9.88018750332204e-16,-8.84858179109863e-11,-1.63668218745841e-15,1.23218474243707e-11,3.93364544486147e-06,-1.5327443032693e-06,2.60133377106464e-16,-1.73467123444155e-15,4.57221159213565e-16,-9.21330133694355e-16,-8.46565863304693e-16,-1.56926284015902e-16,-1.81933923542871e-16,6.42030588291283e-06,4.22447801836933e-15,4.287954811087e-15,1.47081542813215e-11,-5.91782893827706e-15,5.00109436856138e-16,5.2294058170839e-15,-2.21992322431075e-15,3.45250396430113e-16,-4.6746066096424e-15,3.75875224514242e-14,-0.0821994936526751
