,0,1,2,3,4,5,6,7,8,9,10,11,12,13
t2,10.695321,2.9060342,5.738703,7.413919,7.0595803,5.231302,6.5436826,8.942628,3.5790892,6.343876,3.7171056,2.864138,4.8260665,4.44241
t3,10.7532625,3.1343155,5.7094035,7.42956,6.894377,5.2184024,6.3432903,8.865094,3.677547,6.306421,3.7214155,2.9337597,4.8510933,4.34481
t5,10.761869,2.9222803,5.8009768,7.447013,7.0087533,5.1704035,6.530361,8.921497,3.5419762,6.326937,3.7899997,2.8996294,4.8962917,4.3811717
t8,10.70561,2.9926193,5.6994143,7.4341283,7.0169554,5.266914,6.478525,8.92012,3.6470053,6.3195343,3.6923077,2.8722556,4.817627,4.4213676
t9,10.762017,2.9643638,5.717046,7.4870987,7.00031,5.2081094,6.4792743,8.898532,3.6112618,6.2885747,3.7063582,2.8496287,4.8634167,4.4597526
t7,10.652757,2.853347,5.6762643,7.4469166,7.122766,5.2974734,6.600015,8.942341,3.606943,6.3005447,3.6557782,2.8001244,4.7861376,4.4772334
t6,10.712961,2.9515476,5.802403,7.4011445,7.0192566,5.2274227,6.5396233,8.937029,3.5732367,6.3460546,3.795785,2.9255629,4.8784184,4.3047605
t4,10.717577,3.0244155,5.8420696,7.335371,6.936082,5.17187,6.449916,8.9837475,3.5585642,6.4168577,3.8420095,3.0085957,4.891181,4.2388983
t10,10.4069195,5.5809965,4.4440527,7.7413573,6.251316,6.1763215,5.092331,7.4550753,4.788843,5.3570757,3.2382193,2.488544,3.698765,3.7284796
t25,8.200726,7.605753,4.68091,8.315928,6.168188,7.2908444,3.9718516,8.000016,4.805572,3.9558082,2.9618998,1.0581769,2.8718312,3.9805007
t26,10.213713,6.007393,4.405424,7.7912345,6.217559,6.4317265,4.8998847,7.468793,4.8236194,5.1271214,3.3229537,2.30116,3.5394635,3.5934687
t28,8.096037,7.496799,4.7491875,8.253992,6.254507,7.1701627,4.0190687,8.002682,4.6754556,3.913319,3.0821886,0.9889048,2.7750416,3.9660685
t83,8.183711,7.460618,4.805685,8.119971,6.3856587,7.2010436,4.097528,8.035285,4.8233147,3.8369553,3.1583958,1.0219022,2.689513,3.9613647
t84,8.166039,7.473049,4.823306,8.150453,6.360623,7.248672,4.042493,8.066075,4.8578734,3.8742635,3.137719,1.0282525,2.7272182,3.962934
t125,8.040517,7.5553927,4.913329,8.140272,6.3835144,7.268398,4.0227733,8.078282,4.8687806,3.880975,3.1131048,0.9056465,2.7063122,3.970357
t146,8.0451765,7.5299287,4.923019,8.144649,6.413268,7.260264,3.9923384,8.132762,4.90524,3.828886,3.197645,0.9624846,2.704991,3.9341402
t147,7.9921303,7.546012,4.912838,8.075381,6.4346538,7.2461567,4.0747366,8.018231,4.8225937,3.8846416,3.1335351,0.8661317,2.6572182,3.9943259
t55,8.031451,7.541075,4.8681874,8.258223,6.2925715,7.144949,3.9748793,8.10473,4.696566,3.8642945,3.1892085,0.94298923,2.7628539,3.9048045
t56,8.107962,7.575227,4.801139,8.1928425,6.3338485,7.1555605,4.0257497,8.101187,4.741438,3.8029191,3.1547675,0.99884826,2.7314222,3.9046426
t80,8.231779,7.6726556,4.927824,8.168523,6.346274,7.3471894,3.9587085,8.284826,5.0097847,3.7746308,3.07738,0.98945016,2.7455812,3.8650825
t81,8.286961,7.6177607,4.883163,8.20081,6.2938204,7.3686275,3.8888643,8.239135,4.9563212,3.790124,3.1030965,0.93464255,2.8128877,3.835671
t89,8.2224045,7.694967,4.8702574,8.174926,6.296771,7.4239817,3.9272196,8.192318,5.0046325,3.8948653,2.943651,1.0178742,2.7965899,3.9620411
t90,8.293815,7.7375665,4.878466,8.089959,6.3611135,7.3937182,3.9701123,8.265924,4.9373026,3.769303,3.0212429,0.91874427,2.734196,3.8496828
t17,10.399425,5.7097564,4.542018,7.6486135,6.229146,6.290591,4.98146,7.385968,4.72082,5.2511005,3.2655916,2.3728113,3.644659,3.5736005
t18,10.321446,5.7858467,4.39112,7.768057,6.1590085,6.2533383,4.96694,7.5080543,4.852925,5.232519,3.3671963,2.3863115,3.5782623,3.6446414
t19,10.353451,5.913874,4.471501,7.6509104,6.124317,6.377461,4.8847322,7.381471,4.7537737,5.185524,3.3607378,2.328335,3.5441875,3.5339413
t20,10.30431,5.8892713,4.4371486,7.7273293,6.177589,6.3485794,4.928227,7.449043,4.8065834,5.180667,3.3418667,2.3397977,3.5675774,3.5782924
t15,10.4029665,5.7457466,4.3824396,7.770662,6.1785274,6.264236,5.0463314,7.4441633,4.789738,5.312436,3.314261,2.453474,3.6480484,3.6567526
t27,-2.3090003,1.5968926,4.8593135,3.3144715,5.4541216,7.8989873,7.5087605,6.5504904,1.6272541,7.746818,5.2427683,5.407152,-0.04527891,2.8576856
t53,-3.0441992,1.0915316,6.591587,3.9139707,5.366686,6.876823,5.4121842,8.049604,1.6820983,9.319756,4.086705,4.918521,0.26133424,1.517958
t65,-3.1159909,1.1440575,6.641327,3.9523945,5.395583,6.832195,5.461215,8.09486,1.6608393,9.271137,3.9968638,5.0187345,0.3284281,1.4962199
t128,-3.2364287,1.2523502,6.653201,4.0623655,5.383188,6.7379966,5.4956765,8.067717,1.6772337,9.209983,3.8471024,5.119567,0.37010014,1.5314367
t138,-3.1895099,1.2408293,6.619826,4.0123353,5.3671246,6.820568,5.481835,8.06993,1.6897357,9.213572,3.9216907,5.0034046,0.3982887,1.529309
t139,-3.16355,1.1763239,6.727498,3.9996715,5.457545,6.7344203,5.4472303,8.119636,1.6212966,9.306801,3.8815336,5.1526127,0.28464332,1.4418361
t131,-3.1815462,1.1750472,6.7177086,4.0152965,5.4377527,6.750485,5.4793205,8.130748,1.6489403,9.286052,3.8735983,5.151404,0.2885868,1.463409
t72,-3.111582,1.1134719,6.658215,3.9531007,5.4045205,6.833581,5.4930344,8.113075,1.6648546,9.297268,3.973808,5.0456085,0.28782612,1.4832425
t39,-3.078505,0.9580686,6.5519524,3.925735,5.3193007,6.9793997,5.641579,8.122368,1.7511377,9.251195,4.0431995,4.946831,0.19391085,1.5716119
t40,-3.0970454,0.98355645,6.4913926,3.9447072,5.2660966,7.0517883,5.724383,8.107979,1.7987258,9.187168,4.0911627,4.864851,0.26008052,1.6267076
t63,-3.09642,0.8026355,6.577795,3.9279778,5.330838,7.0004516,5.728747,8.170046,1.762169,9.303535,4.0086207,5.051987,0.015155456,1.5650563
t64,-3.0577595,0.90237916,6.5358205,3.9076548,5.3102784,7.0237684,5.7047186,8.15513,1.7600139,9.244379,4.0561433,4.952497,0.18549207,1.580956
t59,-2.4779947,0.5148012,5.0314183,3.3885443,4.996479,8.383011,7.3863096,6.2830153,1.7111807,7.841642,5.678074,5.1221023,-0.3554633,2.9548728
t60,-2.2951393,0.61993426,4.935417,3.432289,5.144097,8.223763,7.352999,6.2978125,1.743318,7.9159408,5.652861,5.137357,-0.3011507,3.041855
t105,-2.3721216,0.3058572,5.038689,3.4000351,4.992234,8.414098,7.4607754,6.0420766,1.683311,7.847323,5.9525924,5.177125,-0.36956623,2.9874911
t106,-2.434537,0.3452213,5.03776,3.3957047,5.023541,8.445012,7.454432,6.0269346,1.659001,7.8248124,5.883208,5.2061334,-0.41033003,2.9076042
t70,-2.3967977,0.40570644,4.957073,3.315084,5.043162,8.486873,7.521443,6.033877,1.6807498,7.732019,5.913298,5.208438,-0.4553289,2.8549044
t77,-2.382437,0.3860535,4.9947214,3.4206731,5.1216435,8.3824005,7.5016465,5.9531975,1.6158016,7.827673,5.9771132,5.298424,-0.452113,2.896814
t78,-2.405948,0.33157393,5.0910087,3.4401662,5.028294,8.363581,7.3662057,6.0374007,1.5686258,7.8168383,5.899423,5.242398,-0.36289328,2.8789384
t58,-2.3759136,0.48493442,4.9999833,3.4474988,5.0442505,8.322943,7.4078403,6.2106376,1.7398584,7.920927,5.7540936,5.134797,-0.3619867,3.060606
t112,-2.3358712,0.38137928,5.0093436,3.488909,5.0725803,8.347858,7.488745,6.0567155,1.7355686,7.9644275,5.8743186,5.2082114,-0.4273177,3.0625381
t113,-2.321269,0.366978,4.983586,3.510123,5.1009564,8.336006,7.472235,6.044049,1.7488589,7.979918,5.8929205,5.2003617,-0.450761,3.0776634
t30,-2.3026648,1.3114697,4.889154,3.290709,5.310897,8.010148,7.51322,6.4380093,1.6470412,7.730895,5.3961353,5.3056374,-0.09932674,2.9032383
t31,-2.4170136,0.7410026,5.004057,3.3649015,5.057977,8.3180275,7.482435,6.272551,1.7728747,7.8599515,5.5382886,5.135435,-0.30849886,2.9959493
t85,-2.3086488,0.90638,4.933039,3.3020854,5.1600685,8.226981,7.683921,6.017963,1.7041547,7.757857,5.6395874,5.3053045,-0.30962273,2.9798148
t86,-2.266116,1.105154,4.899578,3.229737,5.219605,8.193757,7.699675,6.1313233,1.7149038,7.6738286,5.5273376,5.2935863,-0.20624082,2.9191797
