"accepted_species","I1.1/1"
"t49","0"
"t50","0"
"t32","1"
"t87","0"
"t88","0"
"t65","1"
"t66","1"
"t30","0"
"t31","1"
"t26","0"
"t17","1"
"t20","1"
"t21","1"
"t80","1"
"t81","1"
"t71","1"
"t95","1"
"t96","0"
"t67","1"
"t68","1"
"t54","0"
"t55","1"
"t27","1"
"t93","1"
"t94","1"
"t11","0"
"t22","1"
"t25","0"
"t19","1"
"t9","0"
"t45","0"
"t56","1"
"t18","0"
"t14","0"
"t89","1"
"t90","0"
"t97","0"
"t98","0"
"t78","1"
"t79","1"
"t33","0"
"t42","1"
"t43","1"
"t84","1"
"t85","1"
"t41","1"
"t61","1"
"t62","0"
"t91","0"
"t92","1"
"t10","1"
"t46","1"
"t38","0"
"t4","0"
"t5","0"
"t23","0"
"t24","1"
"t7","1"
"t44","1"
"t51","1"
"t52","1"
"t82","1"
"t83","0"
"t60","1"
"t12","1"
"t13","1"
"t16","1"
"t3","0"
"t6","0"
"t99","1"
"t100","1"
"t86","1"
"t57","0"
"t69","1"
"t70","0"
"t53","1"
"t28","0"
"t29","0"
"t15","1"
"t76","0"
"t77","1"
"t47","1"
"t34","0"
"t35","1"
"t1","1"
"t39","1"
"t40","1"
"t36","1"
"t37","1"
"t2","1"
"t63","0"
"t64","1"
"t48","0"
"t58","1"
"t59","1"
"t74","0"
"t75","0"
"t72","1"
"t73","0"
"t8","1"
