"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126","c127","c128","c129","c130","c131","c132","c133","c134","c135","c136","c137","c138","c139","c140","c141","c142","c143","c144","c145","c146","c147","c148","c149","c150","c151","c152","c153","c154"
"t9",0.0335630454084213,0.0236780041725091,-0.174975899596638,-0.0835446987579233,-0.00989905261209441,0.000137000880523834,0.00168940780976444,0.00154734007701819,0.0147618723116232,0.00208466686980355,-0.000340835379619785,0.00665526811983505,-0.164256883274262,-0.0112085470453075,0.016037111076927,0.000814742682101894,-0.00151686173503171,-0.046386353905114,-0.0137997777388409,0.215353844490033,0.0133134465879817,-0.00283225014976032,-0.00472377839959886,0.585121910443436,0.539902115162235,0.038216418761578,0.0105002385539162,-0.0482406641299817,-0.401886271181423,0.035693983649036,-1.59896879382066e-05,-0.00119440314710014,2.00257479131093e-06,9.57919843184854e-05,7.3783399365261e-05,2.81429324225596e-05,7.06820676831028e-06,0.00152665189342155,-3.74305920633423e-05,5.01476619903494e-07,-0.00875362252766818,-6.33462791027366e-05,3.54637732857942e-05,-7.46838327605886e-06,0.000180927236523748,-0.000309022040814687,-0.0457133727754899,5.0674563036205e-08,7.37159510693741e-05,-6.68425397533314e-05,-3.1113833478695e-15,-0.202636479448551,-0.00551675833559147,0.00283254612387735,-0.00124124145721216,-0.00324465441804543,-0.0417026216813009,-0.147809696929859,-7.43506585313025e-06,9.62380909134931e-08,3.61598086004462e-06,-7.68020678159476e-06,-3.77636668742895e-16,-3.58071088173524e-05,-7.95922029089067e-09,-0.000382486847837806,0.0792838144520384,-4.64593597804597e-06,3.44328435505381e-06,3.63973602891029e-06,1.14045437326418e-07,-2.49430785334083e-05,-2.84734391184455e-06,-1.78004613935188e-16,9.42779071891984e-06,-6.31954678367654e-07,3.51066968330682e-06,3.20116761697667e-06,-1.94838047459619e-05,0.0616072491503849,1.55860413026492e-06,-0.000149213901342058,1.29273198789628e-05,-1.26121098483732e-05,-1.10363132059864e-05,-3.77054319017427e-08,-2.36794483684052e-05,-2.9333594606928e-16,9.65734053809471e-05,0.000237409965916673,-0.000112129314439904,3.77498476906675e-05,-2.7104576343881e-06,-3.18090817706023e-05,-7.50139789261666e-16,-0.00103304658970761,2.92838806005201e-06,-4.07156205771837e-07,5.94967067872143e-06,-3.72632656470124e-05,3.34082314547417e-05,7.44803150159261e-07,4.50127431420145e-07,1.56933068781426e-06,-0.00336973224560306,0.000103408132783162,-7.13681729357316e-16,4.23996875998398e-16,3.57061789043731e-07,-6.84929960518204e-06,7.15579410002939e-17,-0.000196648572631993,-2.1075872036305e-05,-0.00011878760331158,-1.71985033119343e-15,-0.00934141832596658,-2.27820956449817e-16,5.87905700761879e-08,-4.78339456452909e-06,-5.03161759683929e-06,1.23188958391848e-06,-4.67944134016595e-07,-3.4392482961937e-07,-0.00222010035866209,-1.66852635751801e-16,-3.89590925802507e-16,4.38415589056359e-07,3.48348740606558e-16,-1.91500359836922e-06,0.000119308166227159,2.46849092619802e-16,1.43967332137338e-16,-5.11151581188501e-16,3.11324454289931e-07,4.28652905200505e-07,-3.47578393596675e-16,1.06801782996598e-05,4.95317720399362e-07,-3.9487663266611e-16,-5.67968621950712e-07,1.71586065159526e-16,-1.55029601288832e-14,-3.1605680333394e-07,-1.0333961005091e-16,-1.49805835109736e-16,-9.88144322968358e-16,-2.21612525686053e-16,-7.41369571569497e-16,1.88109095883007e-15,-2.19399057635855e-15,1.41701375525769e-15,-2.12227195536551e-15,2.05776374176661e-14,-5.35219796165241e-14
"t11",0.0350116500806879,0.0258952324164174,-0.205140411217497,-0.100529146158617,-0.031030542936111,0.0375600486267598,-0.00527197480958203,-0.00305283806143788,-0.0129958471993737,-0.000146043479252936,-1.66375127802861e-06,0.0012012141564307,-0.0337293621546484,-0.00261932628730529,0.0228362419314396,0.000197291721549065,-0.000373430139641163,-0.0113158860290075,-0.00334466182863176,0.0520413903413014,0.00313180315100389,-0.000653967409805796,-0.0010828450581762,0.124828878025954,0.11211390688024,0.00740923144556514,0.00198844069574391,-0.00970713366042444,0.0802891173581725,7.3571737968273e-05,1.16646840858113e-07,1.45176710192391e-05,-7.07635475520748e-08,-3.4648674600609e-06,-3.6967673855446e-06,-2.42944537467371e-06,-7.5436662296097e-07,-0.000183436056181473,5.71072546679779e-06,-9.63738108796077e-08,0.0018032254785202,1.3758412488635e-05,-7.77905408783286e-06,2.75269432149654e-06,-6.89081570540984e-05,0.000121475485684905,0.0241533137106574,-3.14689205476421e-08,-5.00526491926176e-05,4.81204533886836e-05,4.26785473661857e-15,0.212102498098674,0.00582551531309197,-0.00303930435587548,0.00165320382215911,0.00493353361284762,0.0685019199159729,0.437816577930001,4.84713380623295e-05,6.03362009169834e-07,1.82265741810647e-06,3.22241443183534e-07,2.05539638222516e-15,3.29487820344343e-05,9.8818070421577e-09,0.000614698784513636,-0.33303635451147,2.45270890238068e-05,8.99507598139634e-05,2.01440037231209e-05,3.04654367877561e-07,-5.03286808358697e-05,-4.23075220264669e-06,3.20396841497367e-15,-5.75849447521516e-06,6.59111637006046e-07,-1.19642851232645e-05,-1.27262446616085e-05,8.75233827956595e-05,-0.471885946570969,2.33134827667656e-05,-0.00169323871316808,0.000115982896848551,-0.000102740862465281,-7.99281977814285e-05,-2.34393209121982e-07,-7.87857791806244e-05,3.43869154398887e-15,0.000283703103300008,0.000625834685601084,-0.000284950979210454,9.36693782666807e-05,-6.71908240306804e-06,-7.79276141334718e-05,8.57298851622435e-15,0.0174132974770498,6.87544180108656e-06,-8.68034648883601e-07,1.21682878758951e-05,-7.56417206294258e-05,6.51836354430626e-05,1.4489639418695e-06,7.67813047321814e-07,2.61202760176825e-06,-0.00540172483475779,0.000160196534336497,1.8565951077855e-15,1.87890512632516e-15,4.13998905322235e-07,-4.10475399629001e-06,-2.8928036148402e-15,8.05646215733091e-05,2.3451462551395e-05,0.000235117250505011,7.93652706466136e-14,0.567122396945975,1.81668960396369e-14,2.57071394701393e-07,-1.80573246708361e-05,-1.56546588213306e-05,-0.000455694954670873,-1.33873864540708e-06,-9.46527421183803e-07,-0.00561534787227118,6.21735787233467e-15,-4.76038959869607e-15,9.77274204386816e-07,-5.54200172019989e-15,-4.14443728160428e-06,0.000257581872360824,7.16629472510074e-16,3.84877768262547e-15,-5.57095087921192e-15,6.50480941780117e-07,8.83024589200023e-07,-5.43330729266173e-15,2.15145484050568e-05,9.90037379927491e-07,1.52779555936046e-15,-1.10184514991418e-06,3.08835553724172e-15,4.88455102357739e-14,-6.09135565530765e-07,6.01167175299196e-15,8.66518427249485e-15,-5.05568538242454e-15,2.11513566801527e-15,-1.06482696133692e-15,-1.92595213628698e-15,-7.67063624045329e-17,9.65034558584337e-16,-9.39366641238652e-16,2.25398560598269e-14,-5.31844317629169e-14
"t130",0.0374180797302149,0.0295065698550307,-0.253138775098918,-0.127355606932806,-0.0610702061214832,0.0889334474476656,-0.0145851915639283,-0.00913471444723442,-0.0486132899148447,-0.00272137800563352,0.000377528602451851,-0.00374471068170923,0.0727418137791878,0.00253876550545641,0.403068780224913,-0.000490675557062384,0.000782311572251789,0.0175224524147772,0.0050309400046479,-0.0774218927016083,-0.00435474396659168,0.000884252526125346,0.00145187188235464,-0.161249243346085,-0.145108289329613,-0.0100319269366333,-0.00281144442562647,0.0170509217419592,-0.269165336189174,0.00225887229122843,1.24749340754981e-07,1.26332448610196e-05,-2.94000390629654e-08,-1.40647871782338e-06,-1.02806875261605e-06,-2.27497867979936e-07,-2.51154997941493e-08,-4.66504299288383e-07,-3.0304417024707e-07,9.55335849256146e-09,-0.000201260720482963,-1.6610311109315e-06,9.52115189548992e-07,-5.39558117431989e-07,1.37769365370742e-05,-2.47391566825462e-05,-0.00571029189136891,7.97749454093607e-09,1.31614889861858e-05,-1.29540166940335e-05,-2.47482489097048e-15,-0.0660819583603763,-0.00182118273960384,0.000956064758630323,-0.000565566461251328,-0.00177661731015486,-0.0254122509849152,-0.20044762223727,-2.70345415487745e-05,-5.10338430085258e-07,-7.14451310172488e-06,1.43255692994454e-05,1.76059312448306e-15,6.74458406446967e-05,1.545463977912e-08,0.000777192376928581,-0.239478282971303,1.62721049379441e-05,4.16725291013046e-05,7.90251175378861e-06,1.06954664249481e-07,-1.74687038590591e-05,-1.51680754454939e-06,-2.08309503436869e-16,1.69940321035842e-06,-9.7946739409906e-08,3.50802086776481e-07,3.04556835028442e-07,-1.79083055640197e-06,0.00517114420491133,3.53417067799219e-09,-9.45068637261563e-07,9.75685484519348e-08,-9.45132064523431e-08,-7.74435938790342e-08,-2.17138996859916e-10,1.18721527512386e-07,2.36761635139586e-15,-7.27839951987814e-07,-2.26855816624747e-06,1.14085308349841e-06,-3.98218926069092e-07,2.86310997291176e-08,3.41448883329645e-07,-3.22102913406921e-15,6.87495251699077e-05,-3.40070300571327e-08,5.24746260457681e-09,-7.97518210340292e-08,5.02851935682251e-07,-4.66256418749154e-07,-1.04194605276133e-08,-6.92271178094394e-09,-2.45153551991809e-08,5.38638322155061e-05,-1.6863009094582e-06,-3.52169796760272e-15,-6.26228076205742e-15,-6.71355934408708e-09,1.56545546555204e-07,-3.09319159802306e-15,6.07232101438115e-06,7.73371655636845e-07,5.22298449946851e-06,7.92869661668056e-15,0.00512340990445323,2.63374141950441e-15,7.32688281265361e-10,-3.67258170491245e-08,-1.37479351451525e-08,-1.62831786001054e-06,-5.10972409853384e-10,-1.54985292663451e-10,1.45344177375733e-06,5.67899047803832e-15,-1.42933838714654e-14,-6.04815229603277e-10,7.37748890243274e-15,2.57870591435251e-09,-1.59860826637602e-07,5.07854231541272e-14,-2.16278064486455e-14,-1.13345081804122e-13,-3.69337323516531e-10,-4.63677484004013e-10,2.77865130637426e-13,-9.24355003240966e-09,-3.84084473649123e-10,-2.19216309792354e-13,1.99320777336148e-10,-9.31502221476332e-13,-0.707106781186569,7.2915884788183e-11,1.09156168240421e-13,-2.78599694150621e-14,5.40227955462707e-14,-2.04865661142512e-14,-2.11661731256868e-14,-5.11294300887443e-14,-1.2003087335156e-14,1.7365658925135e-14,3.96103459380907e-15,2.61670000415888e-14,-5.5540726247222e-14
"t131",0.0374180797302131,0.0295065698550305,-0.25313877509892,-0.127355606932808,-0.0610702061214837,0.0889334474476664,-0.0145851915639279,-0.00913471444723575,-0.0486132899148449,-0.00272137800563297,0.000377528602453089,-0.0037447106817079,0.0727418137791895,0.00253876550545709,0.403068780224919,-0.000490675557062106,0.000782311572253769,0.0175224524147803,0.00503094000465298,-0.0774218927016125,-0.00435474396659051,0.000884252526126418,0.00145187188235399,-0.161249243346091,-0.145108289329623,-0.0100319269366337,-0.00281144442562672,0.0170509217419644,-0.269165336189183,0.00225887229122653,1.24749340712503e-07,1.26332448612426e-05,-2.94000386365798e-08,-1.40647871996577e-06,-1.02806875431888e-06,-2.27497868962579e-07,-2.51154991060777e-08,-4.66504302003984e-07,-3.03044171397212e-07,9.5533571793195e-09,-0.000201260720473198,-1.66103111374289e-06,9.52115190147555e-07,-5.39558118342943e-07,1.37769365377344e-05,-2.4739156679949e-05,-0.00571029189136071,7.97749582527764e-09,1.31614889916165e-05,-1.29540166923159e-05,-2.63362921934569e-15,-0.0660819583603709,-0.00182118273960279,0.000956064758627048,-0.000565566461249337,-0.00177661731015466,-0.0254122509849202,-0.200447622237309,-2.70345415506731e-05,-5.10338431391583e-07,-7.14451311710538e-06,1.43255693002942e-05,2.04821662754159e-15,6.74458406467651e-05,1.54546405096816e-08,0.000777192376927412,-0.239478282971292,1.62721049360537e-05,4.16725291103775e-05,7.90251175240601e-06,1.06954658799291e-07,-1.74687038693953e-05,-1.51680755302278e-06,1.61776094365299e-15,1.69940320483474e-06,-9.79467366588291e-08,3.50802092226894e-07,3.04556823899858e-07,-1.79083055415001e-06,0.00517114420499204,3.53417111881037e-09,-9.45068637689471e-07,9.7568551877835e-08,-9.45132092202748e-08,-7.74435963254399e-08,-2.17129635300505e-10,1.18721505001518e-07,-1.74595057912413e-15,-7.27839950921e-07,-2.26855816038427e-06,1.14085309263202e-06,-3.98218928918741e-07,2.86311234421855e-08,3.41448897846157e-07,3.54508020103866e-15,6.87495252349088e-05,-3.40070517648372e-08,5.24747272044304e-09,-7.97517937211999e-08,5.02851932476146e-07,-4.66256417048841e-07,-1.04193853067194e-08,-6.92270872326162e-09,-2.45153702508742e-08,5.38638321663874e-05,-1.68630089714562e-06,2.74532368695146e-15,7.05928045209494e-15,-6.71356119589377e-09,1.56545557097948e-07,2.35534422967491e-16,6.07232100660517e-06,7.73371660894471e-07,5.22298446108252e-06,-5.52908965700297e-15,0.00512340990440235,2.30669070509798e-16,7.32705028178906e-10,-3.67258351382288e-08,-1.37479368922313e-08,-1.62831775487897e-06,-5.10896192812191e-10,-1.54929975443246e-10,1.45344171384627e-06,-4.6948469376539e-15,1.28407112300771e-14,-6.04794908967644e-10,-7.80742251016184e-15,2.5786663824558e-09,-1.59860758133074e-07,-5.22739956689381e-14,1.9772528449525e-14,1.0925147109195e-13,-3.69330345259153e-10,-4.63468528400407e-10,-2.8025566022561e-13,-9.24360874832614e-09,-3.83676785331151e-10,2.17026842263524e-13,1.99950917446418e-10,9.31484891792974e-13,0.707106781186527,7.9728026906482e-11,-1.08423461058944e-13,3.04108403548628e-14,-5.4977484309567e-14,1.97371608896105e-14,1.98454543998529e-14,5.31658278191527e-14,6.67966956202524e-15,-1.44622832907866e-14,-6.70854585061465e-15,1.6159404842581e-14,-5.20856474863578e-14
"t42",0.037053551889802,0.0289551028757218,-0.245739702916263,-0.123207895441726,-0.0562317321021107,0.0805529322474642,-0.0130522083904913,-0.0081296059439871,-0.0426697230546069,-0.00227946458226138,0.000312078529845646,-0.00289717681131928,0.0551863374277247,0.00187461264730571,0.285613994700364,-0.00032286404510992,0.000499336912684462,0.0100572304618132,0.00283749761509651,-0.0433498784288847,-0.00230456158966684,0.000452481707432918,0.000733736580256259,-0.0726280886577458,-0.0626397107653954,-0.00383891708311352,-0.00101375670191702,0.0051711651808615,-0.0650608714217908,0.000441666134471698,1.55396028247801e-08,1.43332932563307e-06,-2.01125540627237e-09,-9.41325118959292e-08,-4.42432335746813e-08,3.18661812017087e-09,1.10518884179029e-09,2.94472712394911e-08,3.25956432134183e-08,-1.51993463353914e-09,3.55125293272484e-05,3.16077999150767e-07,-1.83697688272767e-07,1.94674471832425e-07,-5.1447520865883e-06,9.54563011019109e-06,0.00292996103748888,-4.71180501931199e-09,-8.36583826230891e-06,8.62536683761671e-06,4.87456454044616e-15,0.0573802623822628,0.00159021585847499,-0.000843255592430034,0.000565794892633592,0.00190243983362279,0.0282239739901633,0.274261552485631,4.2458752824872e-05,9.66322694652737e-07,1.72095850501587e-05,-3.68478922671256e-05,-6.47589461995626e-15,-0.000192930718939946,-4.57240231659354e-08,-0.00237812167529916,0.837439162709354,-5.84283025126209e-05,-0.000175223269313625,-3.73186238618375e-05,-5.84522356289667e-07,0.000102803125396356,9.70127825305388e-06,-1.06253893168056e-15,-1.83098285060107e-05,1.17913266690776e-06,-6.65872015950181e-06,-6.24937542339965e-06,3.9154218177963e-05,-0.149992527986146,2.39916472458532e-06,-0.000145190979600425,7.92566912797859e-06,-6.20912207535589e-06,-4.01792199163443e-06,-8.50883413169897e-09,1.74491367881696e-06,-1.41221179286336e-15,-9.0318273881997e-06,-2.45843413230672e-05,1.18608978438475e-05,-4.03977243402246e-06,2.90185455046927e-07,3.42383156433827e-06,1.05394005343612e-15,0.000663064392924018,-3.16927542422166e-07,4.49161940035581e-08,-6.5909536689935e-07,4.13066456454966e-06,-3.71540496490047e-06,-8.28509052678589e-08,-5.07576959758353e-08,-1.77588774562292e-07,0.00038366027249955,-1.18471396008753e-05,1.78898245638602e-15,-1.00285666272485e-15,-4.38036682666713e-08,9.66608035472656e-07,2.99659749368202e-15,3.59734087135449e-05,4.51981538021163e-06,3.02154472249249e-05,2.07970649895713e-15,0.0286545645798429,-2.05009026479925e-15,3.87413471213862e-09,-1.9119289626685e-07,-6.93513385595898e-08,-8.06251924611768e-06,-2.52667012632094e-09,-7.57931596400901e-10,6.90640681821984e-06,-9.27292984858699e-16,1.39952893425214e-15,-2.70747512199847e-09,-2.08548819860197e-16,1.13448999429109e-08,-7.02259616507973e-07,2.05182190109608e-15,4.12744698047258e-15,3.64577522766172e-15,-1.58855714366791e-09,-1.97468443000115e-09,-9.20314867105288e-16,-3.87485425985705e-08,-1.59990753775951e-09,6.77585899487625e-16,8.12957716696757e-10,1.5015197087008e-15,-4.31293851790397e-15,3.09170512130878e-10,3.98883930404495e-16,-1.92051447229884e-15,-2.42582959238586e-15,-5.18955509255345e-16,-1.22500791767513e-15,1.54847022311693e-15,-1.23060201274131e-15,2.13772385768124e-15,-3.20841923302969e-15,1.92250907128671e-14,-5.33605913131966e-14
"t23",0.0364270501164117,0.028009927205165,-0.233099263293846,-0.116129280428063,-0.0480907502641985,0.0665158483386683,-0.010492858340047,-0.00645401938298248,-0.0327973257945839,-0.00155401734882111,0.000204975257922265,-0.00153081749488934,0.0270002136936363,0.000814080950173449,0.0995144546872171,-6.02753583110683e-05,5.8559741755366e-05,-0.00141581096079512,-0.000527313281233399,0.00887913058546304,0.000822115584302045,-0.000204320503680802,-0.000357746153749833,0.0613205328456908,0.0618841647619898,0.00551302784729198,0.001705202424315,-0.0129784860051102,0.254457643694364,-0.00249721419353375,-1.78078697785366e-07,-1.88564733099542e-05,5.40300037553729e-08,2.60522663864169e-06,2.19343960599357e-06,8.51002459434044e-07,1.99382926131002e-07,4.00802586361128e-05,-7.47460341878446e-07,4.98913978637603e-09,-5.21812800091997e-05,-1.62497177637714e-07,6.71811196696924e-08,4.09677776710677e-07,-1.09092345797958e-05,2.03391521971853e-05,0.00607737091953482,-9.3543867436166e-09,-1.61432037991472e-05,1.63188212782361e-05,3.91439229562923e-15,0.0946949467230038,0.00261569110366088,-0.00137874428746936,0.000853651814334862,0.00273647635192313,0.0395146380652301,0.321672403837407,4.30784044920886e-05,7.61087678115738e-07,8.07968501673067e-06,-1.38805832881036e-05,-1.37979309380717e-15,-4.24865010797515e-05,-7.72080917699366e-09,-0.000277527832194879,-0.0829794748464501,8.39205378703891e-06,7.40045165338542e-05,2.39659680719859e-05,5.48130178287659e-07,-0.00011264612218617,-1.24193544477633e-05,-1.5117715028391e-15,4.74588792791472e-05,-3.4219416201288e-06,2.82794169103307e-05,2.80167698028677e-05,-0.000183065043227556,0.828404342026875,-2.63516896219304e-05,0.00181673437885294,-0.000117440994089188,0.000101133137897244,7.57041966277416e-05,2.09585174752996e-07,5.00252184135649e-05,-2.37986733273575e-15,-0.000165653385099244,-0.000341754723962677,0.000152881166270689,-4.98792849554324e-05,3.5772713709126e-06,4.143836430979e-05,-1.50625039643706e-15,0.00751937861852623,-3.40090795442835e-06,4.23468622551545e-07,-5.90717279212655e-06,3.67051474902379e-05,-3.16435684897889e-05,-7.03555035571932e-07,-3.86811233536726e-07,-1.33245105455939e-06,0.0028173495981015,-8.55021893313377e-05,-3.07862394886843e-16,4.33781324830133e-15,-2.88777009104869e-07,5.97317225319793e-06,2.49154600818875e-15,0.000212059800238321,2.62418502669744e-05,0.000173453586686503,2.22243419418614e-14,0.158498871368062,6.57321251046405e-15,2.01781025575799e-08,-9.79673148895664e-07,-3.43919339275305e-07,-3.92267808061653e-05,-1.22771027351421e-08,-3.64186420400728e-09,3.22331139054845e-05,5.26624469362783e-16,-4.31497834162006e-15,-1.19140651521228e-08,9.30523083206542e-16,4.90875612156291e-08,-3.03420243978025e-06,-4.11947988652906e-16,7.25650419638177e-16,-3.05333330451253e-15,-6.72572689939984e-09,-8.28345328300845e-09,1.40711239921035e-15,-1.60088051453923e-07,-6.57383076753202e-09,3.43943962219268e-15,3.26835897059522e-09,2.18878472736826e-15,-4.3641089006452e-14,1.23685868633494e-09,4.31147379828237e-16,9.44612554615152e-16,-1.75671703560812e-15,1.95300107426717e-15,-1.59929332718922e-15,3.01637440005048e-15,1.54900536123075e-16,1.78291394752796e-15,-3.52643716707336e-15,2.1785320638612e-14,-5.0433580529021e-14
"t24",0.036774012517246,0.0285256286172243,-0.239871565601137,-0.119899346815431,-0.0520468534205425,0.073112297107901,-0.0116650229441911,-0.00721220535021191,-0.0371270237771575,-0.00183702900485905,0.000245254404531595,-0.00194489183909245,0.0349098715074709,0.00107817061693916,0.136653077626313,-8.82325134395379e-05,8.79623107087676e-05,-0.00232265206398941,-0.000877454421219151,0.0148623264682498,0.0014397061721244,-0.000367426603594174,-0.00064963513679794,0.121608243147691,0.126664923720046,0.0123087229868359,0.00396808758169772,-0.0338807619093593,0.76260988306204,-0.00840533381980718,-7.36706138694042e-07,-8.08806212746172e-05,2.72090932633375e-07,1.31948631513258e-05,1.22355212478177e-05,6.2436425121396e-06,1.74992441745264e-06,0.000401729119526661,-1.11417810271664e-05,1.68497782495224e-07,-0.00305247454293344,-2.27295953820991e-05,1.2793398943826e-05,-3.63245274789734e-06,8.98041693489076e-05,-0.000156449844300794,-0.028137568518816,3.50122626979077e-08,5.44512100440687e-05,-5.16450468023764e-05,-6.14242191736458e-15,-0.213563201284194,-0.00585961390415346,0.00305155992887674,-0.00163051911800304,-0.00484032258638474,-0.0671201613339164,-0.437522127231846,-5.09858691062626e-05,-7.52785676661607e-07,-6.43610477009348e-06,1.04520990175548e-05,1.17860945097568e-15,2.92798565920227e-05,5.17668626384723e-09,0.000181099150961659,0.0487732776056613,-4.8342772593689e-06,-3.79544110217998e-05,-1.13342893678304e-05,-2.35337786277245e-07,4.61565438295465e-05,4.83713398509287e-06,-1.65704726614673e-16,-1.40530823141879e-05,9.64989846444632e-07,-6.74106346655582e-06,-6.5206896611977e-06,4.18260103958822e-05,-0.176024752197298,4.26707710351789e-06,-0.000281418369644454,1.72437335423968e-05,-1.44401940588043e-05,-1.03836391569466e-05,-2.6934879741248e-08,-3.5121205110718e-06,5.18824311586423e-16,8.81065655135703e-06,1.27835865890113e-05,-4.91424799109403e-06,1.44319138329831e-06,-1.03069727347449e-07,-1.13481345933567e-06,2.5168433505479e-16,-0.000165992046362171,5.85905539145976e-08,-1.90450839720098e-09,-6.29613983536339e-09,7.50160746501619e-08,-2.2281283935999e-07,-5.20498171752157e-09,-8.31421806098496e-09,-3.15640815951673e-08,7.54903015209323e-05,-2.51058026843181e-06,-2.00992998642639e-16,-2.79385763005226e-17,-1.26377435671714e-08,3.29543137286541e-07,-1.44021030646035e-16,1.35999550591881e-05,1.76205059676979e-06,1.2043391130701e-05,1.23038348600891e-15,0.0122326266361982,4.93403877089195e-16,1.82808141091562e-09,-9.25182033003734e-08,-3.52151058895861e-08,-4.20529897401964e-06,-1.3202401705688e-09,-4.02129638785851e-10,3.80801989216881e-06,3.10011102135983e-16,-5.22100238676449e-16,-1.60523699694756e-09,-5.03960357375211e-16,6.85982757996439e-09,-4.25332275491844e-07,-9.925775200249e-16,5.45766737684649e-16,-5.97443695600649e-17,-9.84508860525038e-10,-1.23646319275443e-09,-1.78105353534291e-15,-2.46693680921466e-08,-1.02461144692964e-09,-9.03636250200228e-16,5.32772821247758e-10,5.21258563164119e-17,-8.06733152503014e-15,2.0365982654999e-10,1.18491574123569e-16,7.97486622243969e-16,-9.9420713485073e-16,-7.21688097637482e-17,2.05907130775361e-17,1.65469597883619e-15,-2.95892473903979e-15,1.13197594551413e-15,-1.16726214400014e-15,2.07864483585213e-14,-5.41227445522772e-14
"t106",0.0374450232462555,0.0295563545113585,-0.253961133733323,-0.127845646563766,-0.0622416317433846,0.091415045429561,-0.0151085849943356,-0.00950055838429234,-0.0511482949533541,-0.00304436236204583,0.000433661874011385,-0.00571604155280243,0.13694420737743,0.0100727949038221,-0.432829497581266,-0.000109350409898419,0.000252180435075408,0.00787863847658301,0.00230252368510651,-0.0356515156105043,-0.00206553327660883,0.000422435003781978,0.000694486400872676,-0.0762345456745389,-0.0678048627286507,-0.0044719696467539,-0.00121703873881781,0.00664427760731319,-0.0871442419752254,0.000575445646270442,1.1025897132934e-08,6.4599684534232e-07,4.70881816862485e-09,2.38358889456117e-07,3.63647326864664e-07,3.3558837938577e-07,1.13017403203699e-07,2.84988632753795e-05,-9.38889940875158e-07,1.64377617936947e-08,-0.000310059714164108,-2.37836797525644e-06,1.34597448707283e-06,-4.86032777671134e-07,1.21644978717553e-05,-2.14376937568611e-05,-0.00423103813416037,5.47857146454343e-09,8.68232724092995e-06,-8.32738211745983e-06,-7.19259990121068e-16,-0.0362439845975832,-0.000995253449754246,0.00051905606857765,-0.000281451076742127,-0.00083978335727002,-0.011666542480363,-0.0757572095117428,-8.65528625061804e-06,-1.20005965456427e-07,-8.04307823726019e-07,1.09402056385184e-06,1.55934910792265e-16,1.02226364526167e-06,-7.613354546245e-11,-1.96596202074537e-05,0.0261130868895868,-2.05306563024897e-06,-9.64601647060473e-06,-2.46148198348953e-06,-4.42044696490308e-08,8.11358726478612e-06,7.89986767153617e-07,5.87446321019562e-16,-1.31901187042519e-06,7.70010234838364e-08,-1.66882431142379e-07,-1.03960213578364e-07,3.735812552545e-07,0.00357190953054789,-6.83233822629067e-07,5.30832544598441e-05,-3.89132211582685e-06,3.55550972137134e-06,2.88026462141911e-06,8.94827355934753e-09,4.5065888070453e-06,4.63468628454662e-15,-2.03992224015166e-05,-7.08518665178291e-05,4.43163489849271e-05,-1.99846573540976e-05,1.4555227888968e-06,2.07627850407421e-05,8.79240530038382e-14,0.394494519745664,1.48665603456996e-06,-3.04721672159188e-08,2.19690250812666e-07,-1.19819217157188e-06,4.37115276878987e-07,8.92862943792923e-09,-7.20301943448129e-09,-2.93632259481508e-08,7.45601106930848e-05,-2.54964866972248e-06,6.18744929306081e-15,5.83403870744165e-15,-1.30048699659045e-08,3.24001805740763e-07,2.92791338622287e-15,1.27841852044151e-05,1.62982223999655e-06,1.10000580771261e-05,-6.33706466655715e-15,0.0106728353618315,-4.66808945396156e-15,1.42935728281484e-09,-6.84565105624762e-08,-1.76818432164294e-08,-0.711316873918614,-7.68702339628893e-09,-5.39909294517053e-10,3.65228782052575e-06,4.94564817490034e-16,7.15451987702023e-16,-1.337858011556e-09,3.05676031204452e-15,5.59110921533884e-09,-3.46059207794256e-07,6.50960103334193e-16,3.52012537051461e-15,2.07812589349482e-14,-7.82847349821883e-10,-9.73846634061776e-10,5.98455175662005e-14,-1.91461345516681e-08,-7.91224022985869e-10,-2.46422572002505e-14,4.03707971572682e-10,-4.6418344369737e-15,1.99926880606327e-14,1.53701069326659e-10,-2.04560859499721e-15,-6.54051057444681e-15,-9.3390081322085e-16,-4.845768996062e-15,-6.99337775081052e-16,-5.70657259037427e-16,-1.07850536888892e-14,8.63161272076453e-16,-8.2510924790503e-16,2.10394102270719e-14,-5.66104967599293e-14
