,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t9,11.860175,0.06755081,5.238039,7.9220386,4.836812,1.7281264,3.1256316,4.001224,5.0690436,4.0481453,6.4088807,7.8563957,3.5782835,6.320165,1.9675616
t11,12.325094,0.19673352,5.3013396,8.080712,5.019888,1.504918,3.223854,4.155666,5.136084,4.18421,6.310249,7.6466084,3.480221,6.3668127,2.0437365
t130,11.643828,0.07513847,5.187334,7.820758,4.7087426,1.8017833,3.108109,3.9126887,5.0323753,3.992712,6.433107,7.9004707,3.62202,6.3267765,1.913191
t131,11.729217,0.13930821,5.139611,7.816577,4.7103806,1.8154746,3.134671,3.9006162,4.9426064,3.9925368,6.437859,7.9067364,3.5509448,6.39103,1.859518
t42,11.735653,0.045613684,5.251203,7.8204713,4.671125,1.7663105,3.0859513,3.9306328,4.9052258,4.031147,6.3997984,7.877099,3.6716943,6.336604,1.9595245
t23,12.02128,0.13499771,5.2342906,7.9224105,4.8542113,1.6602184,3.1643722,4.018776,5.0003533,4.080385,6.3843307,7.800596,3.528417,6.3715568,1.9578992
t24,11.661549,0.099213235,5.162183,7.7678,4.6839957,1.8410853,3.0827324,3.8539536,4.981057,3.9314547,6.4948096,7.962335,3.6109617,6.3695965,1.8772589
t106,11.464786,0.04348127,5.211078,7.729955,4.595829,1.8184761,3.074567,3.8730178,5.002043,4.0201597,6.378547,7.86058,3.6788359,6.260014,1.9652704
t107,11.558346,0.04957684,5.139478,7.775813,4.655704,1.8279166,3.0448081,3.877207,4.984921,3.9945772,6.4196463,7.896445,3.6309109,6.370848,1.8686569
t87,11.561937,-0.0005761649,5.213291,7.7468557,4.6340246,1.7966714,2.999389,3.8637211,4.9482846,3.9699874,6.442319,7.922903,3.712659,6.3443766,1.9201266
t14,12.106299,0.13227007,5.224342,7.9521494,4.932643,1.5933533,3.1957664,4.054689,5.062067,4.1310534,6.335125,7.728739,3.498665,6.396932,1.9579699
t7,12.5730715,0.24572396,5.2908826,8.12483,5.118718,1.3798227,3.2973282,4.213493,5.1701307,4.288185,6.2164264,7.486033,3.4148338,6.4360285,2.0428658
t8,11.679605,0.051472284,5.2023444,7.842218,4.7492366,1.8113809,3.094155,3.9076376,5.0552864,3.9637551,6.468013,7.9330816,3.615819,6.3502812,1.9252993
t5,12.788603,0.27573004,5.4343944,8.291314,5.2617188,1.2515247,3.3387613,4.352492,5.2366414,4.360277,6.1766977,7.424519,3.3811882,6.3435607,2.18687
t15,12.523873,-0.018472476,5.5878563,8.304428,5.3661885,1.5224023,3.345031,4.3088446,5.1268406,4.2038317,6.31612,7.8183084,3.3204448,6.109603,2.2951639
t16,12.580061,0.105612114,5.4122186,8.183809,5.3200903,1.4464713,3.3415816,4.2381716,5.1152954,4.2905254,6.23928,7.6414557,3.298749,6.24364,2.1300817
t17,12.564486,0.06414281,5.53167,8.289271,5.296021,1.4548033,3.3372529,4.324122,5.165041,4.224864,6.2745724,7.7211094,3.3624794,6.190585,2.2557075
t6,12.704578,0.2692687,5.429243,8.264627,5.196265,1.2825458,3.3025424,4.325664,5.2406263,4.296942,6.2226996,7.4821577,3.4151323,6.335689,2.1800225
t12,13.063247,0.1419869,5.562436,8.412907,5.3841376,1.2319771,3.4753354,4.466951,5.2604127,4.453881,6.0711923,7.4573517,3.20187,6.254067,2.2989845
t13,13.130182,0.1627432,5.4689054,8.334052,5.3873105,1.32358,3.4766233,4.3642898,5.362441,4.3946753,6.119325,7.36126,3.269902,6.3137774,2.1851695
t10,13.101903,0.20810151,5.47747,8.368619,5.4066,1.2676865,3.487413,4.4006066,5.3279424,4.4434743,6.071571,7.3548293,3.2364888,6.325431,2.2109637
t123,13.657636,-1.6278747,7.3887153,9.36441,7.0460668,2.1172483,4.1544504,4.9481597,4.7923684,4.022734,6.9163804,9.211835,2.469648,4.486386,3.326687
t124,13.561098,-1.5051789,7.2605104,9.269265,6.9793177,2.0948894,4.141154,4.9766574,4.8210144,3.9683435,6.9368935,9.149012,2.5879214,4.6114593,3.2976606
t119,13.58471,-1.5342764,7.285893,9.260093,7.0161,2.1022272,4.1442595,4.9571147,4.8317947,4.0179157,6.900099,9.191559,2.577558,4.585922,3.3632624
t120,13.433339,-1.4413087,7.18981,9.235635,6.9498863,2.027396,4.07507,4.930005,4.8801813,3.9068148,6.9153748,9.179851,2.6331458,4.6715784,3.3031194
t125,13.632066,-1.4576554,7.2353563,9.299219,6.93205,2.0312722,4.0786185,4.901606,4.9072533,4.0464716,6.874697,9.187081,2.5395486,4.6552744,3.3866403
t126,13.702338,-1.4776144,7.2163067,9.148798,7.0188794,2.1468177,4.2071543,4.994532,4.826475,4.138341,6.870182,9.12575,2.655635,4.665421,3.4329393
t55,13.530934,-1.5375766,7.289754,9.261647,7.020912,2.100416,4.136635,4.9579916,4.8316226,3.9583242,6.940002,9.192122,2.5821974,4.578119,3.3153963
t52,13.529405,-1.420035,7.174361,9.193918,6.9270105,2.1028738,4.1616383,5.032101,4.8052897,3.8963814,7.0018544,9.052867,2.6800148,4.7014194,3.2394657
t21,13.593441,-1.538195,7.286426,9.319866,6.9940233,2.0707233,4.1220856,4.9286227,4.8277206,4.039112,6.8557453,9.171869,2.524078,4.5782404,3.298916
t37,15.210309,-0.32594335,5.6909766,8.842816,5.7432113,0.6286505,3.9179032,4.9542108,5.43297,5.5532026,5.446572,6.934823,2.3592846,5.9172916,2.4361973
t51,15.565731,-0.52470094,5.8711443,8.764838,5.9256916,0.4800999,4.1524334,4.900615,5.5229917,5.8594093,5.211314,6.9316797,2.3380158,5.8617992,2.4426296
t146,15.491956,-0.5348746,5.885713,8.745503,5.9445996,0.5641035,4.1670012,4.9036365,5.5486016,5.81653,5.303811,7.006813,2.3520486,5.8993516,2.520813
t147,15.498259,-0.54238415,5.8716197,8.759171,5.9546566,0.5244085,4.170414,4.9046216,5.5224833,5.817975,5.257279,6.9898815,2.3675072,5.876484,2.4894419
t39,15.190292,-0.30625027,5.682465,8.850696,5.7105722,0.6540499,3.9028552,4.958044,5.434547,5.5336785,5.4878545,6.91717,2.3415132,5.9252005,2.4359076
t100,15.56169,-0.4527614,5.634538,8.942882,5.8058476,0.50218993,4.01678,4.930081,5.3045897,5.6273217,5.2415195,6.7775297,2.2827272,5.849288,2.346296
t134,15.725925,-0.51962185,5.691906,8.9115925,5.84275,0.45903844,4.076969,4.9212003,5.3687305,5.7156725,5.1955295,6.7879243,2.2144094,5.8166666,2.389963
t135,15.71074,-0.5141834,5.721964,8.864291,5.835099,0.46233007,4.1023326,4.9137254,5.4285836,5.7684917,5.2254434,6.78031,2.2111983,5.8469734,2.4114563
t35,15.462297,-0.3390852,5.63475,8.933097,5.642634,0.5924348,3.9230826,4.973111,5.4028463,5.638126,5.427315,6.738323,2.2078495,5.924175,2.3818073
t71,15.609077,-0.34328467,5.6568093,8.907634,5.632069,0.5408902,3.9362879,5.0535417,5.5280905,5.7806907,5.3998585,6.7398977,2.1234581,5.941915,2.4570866
t72,15.761451,-0.40557843,5.783653,8.725536,5.770245,0.515068,4.0315275,4.9722347,5.6277084,5.9369435,5.318544,6.8257627,2.1633093,5.963677,2.4979062
t90,15.786187,-0.4010467,5.66703,8.826416,5.707146,0.5451798,3.9764705,5.0198298,5.5672135,5.7855115,5.380338,6.7402763,2.0642905,5.913284,2.512558
t91,15.73608,-0.5535915,5.704952,8.81283,5.7585278,0.36933762,4.204413,5.0016837,5.6101694,6.0103655,5.2538047,6.6861277,2.188901,5.968536,2.4622428
t80,15.698959,-0.36856872,5.676562,8.778673,5.824411,0.6035344,3.9283254,4.9103513,5.4793606,5.717483,5.33209,6.8072686,2.1802764,5.935684,2.446851
t81,15.806398,-0.37022942,5.666123,8.792201,5.765298,0.5658061,3.9407246,4.9833326,5.5503426,5.775087,5.337399,6.777523,2.0977411,5.9309397,2.499241
t63,15.929335,-0.3045889,5.5590096,8.731396,5.8294854,0.5107029,3.8434453,5.0876837,5.564578,5.7793574,5.2366424,6.792868,2.1110444,5.9451165,2.520837
t53,15.846416,-0.40958866,5.6915,8.666396,5.8577924,0.4786879,4.000374,4.9615293,5.5867367,5.874577,5.2061467,6.8019843,2.1565948,5.9123063,2.4626498
t56,15.785569,-0.48088524,5.7410836,8.851746,5.7174945,0.4250226,4.061102,4.9971366,5.5447903,5.8927264,5.2866774,6.7338967,2.1462114,5.856312,2.42997
t57,15.247584,-0.26212028,5.6371117,8.93265,5.5975447,0.66161484,3.860461,4.970328,5.4056726,5.5603337,5.527744,6.79536,2.268041,5.953323,2.3777177
t115,15.953648,-0.58202493,5.709799,8.822979,5.802857,0.49262208,4.1688547,5.029502,5.5858808,5.773598,5.324761,6.7433825,2.0389767,5.8113456,2.5547686
t116,15.882767,-0.5107091,5.657886,8.713061,5.951119,0.51759624,4.090991,4.845687,5.539256,5.856189,5.239138,6.7382345,2.1810262,5.967907,2.4396274
t77,13.393392,-1.1984259,6.889431,9.034682,6.6842103,1.8339057,4.0094333,4.8349338,4.89313,4.052559,6.7262907,8.810119,2.8183348,4.935192,3.0601745
t78,13.432082,-1.1360701,6.859349,9.107366,6.6198764,1.8031794,3.9435916,4.9132957,4.8818192,4.1367836,6.6660223,8.753871,2.7374907,4.99565,3.138366
t150,13.433636,-1.1794621,6.8926296,9.120429,6.6663027,1.8472829,3.9621165,4.91982,4.8823547,4.141069,6.6766424,8.792511,2.72475,4.956631,3.1576095
t151,13.416236,-1.100157,6.808448,9.068882,6.59194,1.8738787,4.0079083,4.868024,4.981239,4.0959606,6.734264,8.711459,2.7661695,5.0384984,3.1219914
t99,13.435107,-1.1200246,6.8925233,9.1615715,6.6057997,1.7730522,3.9055402,4.9602385,4.8571863,4.181848,6.6261044,8.730086,2.6842918,5.0150223,3.1980588
t4,12.95076,0.19672395,5.482087,8.334948,5.3282022,1.2884269,3.4299252,4.38246,5.274768,4.384429,6.1254034,7.4466224,3.2800534,6.3128586,2.218255
t3,12.712059,0.31802058,5.403819,8.254163,5.1832204,1.2492536,3.2968318,4.322032,5.243742,4.3297067,6.213546,7.4370465,3.4060948,6.3697944,2.1568415
t47,-0.5155889,4.4907103,0.7850642,1.7997459,2.2962463,1.3051887,2.7136269,-0.7640524,1.3459387,9.386396,2.8478327,5.1321993,9.435624,7.45989,3.3017898
t48,-0.48416138,4.5616508,0.8018497,1.849206,2.2726169,1.2779424,2.6945698,-0.7078977,1.4127154,9.439793,2.8466322,5.1629567,9.37951,7.41002,3.3653603
t83,-2.978767,5.4507394,8.300007,9.103247,3.7256942,5.509769,-1.1579196,2.707864,5.717298,5.2983627,8.808096,7.1209826,4.233308,7.723556,3.162334
t84,-2.934675,5.5482774,8.314794,9.077758,3.6536067,5.5694957,-1.093211,2.7091515,5.673302,5.261401,8.910483,7.1511173,4.174993,7.795904,3.247567
t75,-2.9232016,5.5047865,8.311433,9.080647,3.658325,5.5657406,-1.1018027,2.7351668,5.7137136,5.24039,8.899259,7.1541743,4.170095,7.80626,3.2355237
t76,-0.43906498,4.47035,0.68673134,1.7555846,2.272371,1.2124219,2.6318147,-0.6505273,1.3525664,9.404634,2.7783892,5.1026616,9.47197,7.516684,3.4335809
t128,-2.9369054,5.333945,8.434579,9.118874,3.7149594,5.6596217,-1.0358454,2.7449923,6.0903325,5.18399,8.940038,7.2338104,4.166803,8.074116,3.1676297
t129,-2.953131,5.3388753,8.466558,9.057594,3.7538352,5.63812,-1.0367054,2.7241936,6.1261683,5.1938972,8.967377,7.267756,4.1394477,8.080271,3.1831522
t88,-2.9273381,5.3373857,8.478642,9.135081,3.726381,5.687664,-0.9910554,2.7372303,6.135301,5.1292396,8.997491,7.2915854,4.1163554,8.1117325,3.1793582
t89,-2.8299534,5.436193,8.394807,9.074932,3.6541324,5.64362,-0.965572,2.7298281,6.078882,5.1535044,9.050113,7.2496977,4.1138997,8.246982,3.2772222
t144,-3.003377,5.2547536,8.430093,9.048003,3.6721308,5.6996055,-1.0993791,2.7215536,6.163192,5.321621,8.928933,7.201519,4.170381,8.111341,2.9372075
t145,-3.0265286,5.118554,8.479191,9.170184,3.7510448,5.7177596,-1.0490229,2.7479374,6.30149,5.250097,8.901309,7.2115746,4.187826,8.11739,2.9549313
t121,-2.9966505,5.148043,8.475028,9.183254,3.75313,5.688316,-1.0449675,2.744151,6.2755494,5.220454,8.9041,7.215426,4.2050157,8.131802,3.0102565
t108,-3.005346,5.1245594,8.438576,9.151692,3.752754,5.6926126,-1.0772817,2.7742465,6.267979,5.276109,8.874267,7.1746054,4.2250886,8.080088,2.979369
t142,-3.0812337,5.1248403,8.549206,9.123037,3.7987707,5.797124,-0.9846292,2.7517738,6.292025,5.25506,8.942089,7.2883124,4.067834,8.026802,2.9623992
t143,-3.0509436,5.07679,8.534518,9.216128,3.7972329,5.7726097,-0.9934527,2.7154992,6.3372188,5.202995,8.93658,7.2627316,4.1272583,8.092033,2.9448855
t73,-0.47872278,4.5731525,0.76386195,1.9541298,2.3686583,1.1248152,2.5787857,-0.60579944,1.3147348,9.511537,3.0047705,5.14094,9.467463,7.712345,3.4694777
t62,-0.45083997,4.6431327,0.7702246,1.9449755,2.41891,1.1297777,2.5755327,-0.5997045,1.3971827,9.448571,2.9581358,5.2157946,9.499716,7.6237497,3.5550973
t54,-2.855972,5.596147,8.387645,9.002466,3.632773,5.758552,-0.99932915,2.764505,5.9620786,5.173567,9.058073,7.2718472,4.078988,8.189346,3.3227353
t46,-0.4977369,4.633947,0.8042672,1.9568999,2.3741927,1.230834,2.6682796,-0.668991,1.424185,9.438565,2.935754,5.2225523,9.446655,7.496902,3.4522114
t64,-2.83354,5.4670157,8.341648,9.064008,3.559995,5.636912,-1.0362048,2.8564425,5.79773,5.0762725,9.001546,7.181045,4.0673156,7.890316,3.2795148
t65,-2.8511176,5.518078,8.359259,9.091952,3.6352625,5.635608,-1.0231948,2.791655,5.826657,5.1308284,8.975891,7.1912994,4.111792,7.9605637,3.3056266
t32,-0.3934788,4.562784,0.78396726,1.8233993,2.3077183,1.156667,2.5524774,-0.563541,1.384463,9.468247,2.6869137,5.1254086,9.328876,7.5918283,3.4931867
t140,-2.380044,6.559862,7.844142,9.171196,3.1663816,5.6748223,-0.63080466,3.0190914,4.743014,4.8586493,9.10507,6.337827,3.9142046,8.074828,4.0964785
t141,-2.4210303,6.5757947,7.884312,9.097756,3.1934042,5.599883,-0.6511383,2.9480186,4.6697884,4.9275723,9.084474,6.323741,3.9840229,8.140624,4.1082125
t101,-2.417269,6.696243,7.878741,9.107314,3.2445667,5.6096287,-0.5559964,2.9612324,4.584027,4.913467,9.114253,6.204151,3.9717073,8.200271,4.234121
