"accepted_species","traits"
"sp94",0
"sp97",1
"sp102",1
"sp110",0
"sp113",0
"sp117",1
"sp118",1
"sp122",0
"sp123",0
"sp130",1
"sp131",1
"sp134",0
"sp136",1
"sp138",0
"sp140",0
"sp141",0
"sp144",0
"sp145",0
"sp146",1
"sp148",1
"sp149",1
"sp150",0
"sp154",1
"sp155",0
"sp156",1
"sp157",1
"sp159",0
"sp166",0
"sp168",0
"sp169",1
"sp170",0
"sp171",0
"sp172",0
"sp174",1
"sp175",0
"sp177",1
"sp178",0
"sp179",0
"sp180",1
"sp181",0
"sp183",0
"sp184",1
"sp186",1
"sp187",0
"sp188",1
"sp189",1
"sp191",0
"sp192",0
"sp193",1
"sp195",1
"sp196",0
"sp197",1
"sp198",1
"sp199",1
"sp200",1
"sp201",1
"sp202",1
"sp203",1
"sp204",1
"sp205",0
"sp206",0
"sp207",0
"sp209",0
"sp210",1
"sp211",1
"sp212",0
"sp213",0
"sp214",1
"sp215",0
"sp217",1
"sp218",1
"sp219",0
"sp220",0
"sp221",1
"sp222",1
"sp223",0
"sp224",0
"sp226",0
"sp227",0
"sp228",0
"sp229",0
"sp230",0
"sp231",0
"sp232",0
"sp233",0
"sp234",1
"sp235",1
"sp236",0
"sp237",0
"sp238",0
"sp239",0
"sp240",1
"sp241",0
"sp242",0
"sp243",1
"sp244",1
"sp245",1
"sp246",1
"sp247",0
"sp248",0
