,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
t1,3.7371995,5.9146886,9.833425,6.835955,3.5199451,6.3460736,3.0817187,7.6888356,6.8181953,3.4318507,5.7974925,8.718063,5.8573694,3.848845,7.134123,4.642753,4.5000324
t58,1.8156877,12.20018,10.296626,2.112093,6.1698093,2.7119844,0.87257785,9.384545,5.106382,1.2513944,7.709341,8.681736,7.305389,1.5154295,4.396172,5.230738,4.118762
t59,1.8076171,12.1564045,10.343298,2.086654,6.105381,2.717315,0.9282563,9.358224,5.020893,1.2768941,7.6892385,8.7217245,7.331379,1.4398115,4.4506927,5.301277,4.126414
t135,1.8526417,12.191451,10.371852,2.10225,6.1502075,2.7775836,0.89587843,9.346682,5.000536,1.240637,7.6550446,8.769465,7.2665105,1.4836494,4.4145727,5.2935424,4.0680213
t136,1.8725231,12.274142,10.333036,2.1222653,6.236029,2.7417634,0.81875354,9.345242,5.0714064,1.166219,7.6325793,8.714048,7.2205625,1.5354381,4.313232,5.2047896,4.0621862
t36,1.9141703,11.955541,10.019804,2.1154034,5.8289094,2.9317973,1.02761,9.226734,5.1965623,1.5794784,7.6319213,8.557512,7.3232975,1.5839761,4.6908565,5.146879,4.007408
t48,1.8330283,12.222102,10.377603,2.025559,6.239838,2.7510774,0.869344,9.395927,5.0240064,1.1761494,7.7146626,8.693696,7.1957946,1.5554149,4.369577,5.203147,4.0013833
t49,1.8402195,12.059029,10.21667,2.0476043,6.0054703,2.7774208,0.94396913,9.340714,5.1238766,1.3880026,7.7280154,8.631119,7.277411,1.5393542,4.519835,5.2020025,4.0505886
t39,1.8428738,12.00249,10.117073,2.0288494,5.9293427,2.8167765,0.9650157,9.322869,5.161371,1.4719548,7.728207,8.566133,7.2667723,1.5555991,4.5869493,5.1590953,4.009969
t34,1.8096834,12.008476,10.187253,1.9158088,5.9376826,2.8526971,0.914133,9.359903,5.0629253,1.4440769,7.793935,8.4594555,7.193461,1.4884772,4.5914245,5.2088904,3.9555197
t33,1.8546164,11.953045,10.055297,2.0353622,5.862317,2.923961,0.95654804,9.300357,5.144172,1.5390316,7.7094975,8.50757,7.2612886,1.5179268,4.675546,5.1869893,3.9762504
t65,1.857406,12.21527,10.440117,2.1358552,6.1636424,2.8367677,0.83436894,9.362432,4.941462,1.2234735,7.6401763,8.84628,7.223504,1.428496,4.395574,5.412427,4.063512
t66,1.8267778,12.159427,10.461798,2.0153918,6.141545,2.8322937,0.89099723,9.376814,4.9105487,1.2054436,7.7130165,8.830394,7.233044,1.4459499,4.4496007,5.3707314,4.042741
t37,1.9108748,12.004578,10.142025,2.1169028,5.8851957,2.9110277,1.0082483,9.249702,5.1182337,1.5028882,7.642486,8.656355,7.339806,1.5361204,4.6316805,5.2262087,4.0581965
t26,1.8171126,12.205615,10.484658,2.0273151,6.193461,2.8257306,0.8354918,9.411337,4.9080005,1.1749532,7.7255645,8.806208,7.1875677,1.4466462,4.404841,5.3911705,4.023014
t83,1.7930074,12.142321,10.41658,2.13122,6.0753756,2.766023,0.8993524,9.387833,4.9630733,1.2884845,7.691745,8.795289,7.3112683,1.3806583,4.4644427,5.4278135,4.1610904
t84,1.8073095,12.181194,10.481027,2.1230116,6.116611,2.7533073,0.9181153,9.370536,4.90494,1.2439988,7.658411,8.845043,7.314884,1.3837076,4.4362574,5.440057,4.1436653
t6,2.1197722,10.574806,9.239859,3.2439911,4.775403,3.8178227,2.0532672,8.265267,6.000336,2.6986778,6.4836416,9.29891,8.04093,1.894226,5.9788117,5.1330204,4.8346214
t19,1.9467083,10.651765,8.963341,3.1160347,4.6003275,3.822571,2.1593351,8.025487,6.012982,2.9742692,6.320947,9.563675,8.429954,1.8287556,6.304452,5.224072,4.989892
t20,2.0026863,10.728519,9.003409,3.1057496,4.6925693,3.7465036,2.1775472,8.103765,5.976913,2.8823647,6.3280487,9.49498,8.358465,1.7817544,6.195293,5.1562676,5.02021
t41,1.875002,10.624703,8.874402,3.1834188,4.500792,3.8522608,2.2158275,7.879188,6.0171237,3.1416755,6.2518463,9.646322,8.528919,1.8888204,6.541509,5.290738,5.0304413
t42,1.9183246,10.709241,8.926085,3.1388445,4.640672,3.7620425,2.2235105,8.033162,5.961482,2.9717212,6.275317,9.525241,8.461693,1.8805345,6.3515544,5.2083774,5.052618
t24,1.753095,10.59923,8.779686,3.2757432,4.415482,3.8509278,2.297553,7.832084,5.9329214,3.1652102,6.1497054,9.7624855,8.619508,1.9774493,6.5884523,5.4127297,5.1100316
t25,2.0115087,10.679143,9.100774,3.1429887,4.7284503,3.772844,2.0922453,8.176523,5.9850717,2.8042183,6.4178033,9.407778,8.25799,1.8643728,6.1157837,5.1789837,4.915566
t76,1.7182198,10.499476,8.891046,3.3938262,4.452484,3.8779714,2.164028,7.9179697,6.043741,3.1253726,6.321831,9.596628,8.588754,2.0633216,6.5677876,5.46707,4.9188123
t150,1.7960213,10.519803,8.930603,3.3404527,4.4532213,3.8862617,2.1299446,7.849073,6.051835,3.175984,6.277363,9.676129,8.443076,1.9305041,6.5595264,5.4064116,4.931886
t151,1.7997103,10.558232,8.904959,3.280278,4.4628725,3.848219,2.1628592,7.8624535,6.0696945,3.1411886,6.325378,9.597945,8.603434,1.9829044,6.497368,5.383718,4.954778
t73,1.7742001,10.483932,8.86876,3.3270497,4.4358215,3.906733,2.2021973,7.9082065,6.0057673,3.1297073,6.302461,9.604226,8.574319,2.031834,6.5849705,5.409785,4.973886
t86,1.8334068,10.450729,8.883191,3.2448614,4.365014,3.9740913,2.18229,7.8899555,6.049198,3.1782389,6.418025,9.486976,8.597918,2.1005135,6.7063413,5.378067,4.9404254
t87,1.8047076,10.4176855,8.9116335,3.3137696,4.458588,3.9530017,2.1579602,7.863115,6.0308704,3.1924694,6.3217854,9.613808,8.526229,2.035032,6.6213284,5.3683143,4.9175615
t77,1.847038,10.4965725,8.99441,3.2761168,4.433802,3.920543,2.0697067,7.8432307,6.1168213,3.2011383,6.378264,9.579472,8.4451475,1.9905082,6.643508,5.389786,4.8676314
t46,1.832683,10.471136,8.988969,3.277736,4.463266,3.9221833,2.0878925,7.9352536,6.0822463,3.1309426,6.388558,9.519531,8.474626,2.0877335,6.6412916,5.3794136,4.8846426
t67,1.8756468,10.59388,8.875096,3.189511,4.483264,3.8827987,2.2114391,7.882083,6.0119243,3.1529574,6.2437553,9.66295,8.500515,1.9023788,6.5840044,5.2995253,5.0236077
t68,1.9108083,10.660896,8.89784,3.156782,4.576959,3.816111,2.2221737,7.967854,5.9916897,3.0440147,6.257547,9.582958,8.474739,1.8745382,6.424948,5.2286716,5.043564
t17,2.0707657,10.669663,9.182168,3.1563613,4.787876,3.7580626,2.0490084,8.25137,5.9808326,2.7177057,6.47115,9.337977,8.145649,1.8322065,6.004952,5.142661,4.8732095
t2,3.6948197,5.9563613,9.794373,6.797078,3.4780893,6.380892,3.1223712,7.687151,6.782361,3.4308841,5.760162,8.686474,5.8711247,3.8054512,7.129074,4.681456,4.4629726
t10,3.3918686,6.018355,9.753962,6.8207407,3.3439279,6.319092,3.0870602,7.642314,6.810674,3.3530955,5.827802,8.797402,5.896696,3.6646159,7.142879,4.80627,4.5170245
t11,3.5314775,5.996976,9.759483,6.7975283,3.4020646,6.3582845,3.1170635,7.6793804,6.7790675,3.3858166,5.7872944,8.740205,5.8593106,3.7260494,7.116252,4.7477183,4.4992533
t8,3.4900625,5.974703,9.798971,6.8254514,3.4327765,6.3837075,3.103261,7.704824,6.755851,3.4199638,5.7646403,8.71717,5.8292084,3.752643,7.087925,4.7172675,4.5077357
t9,3.4684677,6.0265403,9.744035,6.7835016,3.3795538,6.36486,3.1304579,7.682946,6.7669263,3.3811584,5.781001,8.742033,5.8614182,3.6954072,7.114209,4.7707195,4.5024805
t3,3.8115082,5.843478,9.893307,6.8710184,3.5506406,6.331593,3.0589697,7.6608233,6.865772,3.465373,5.8058004,8.696277,5.9031167,3.8934863,7.182958,4.6122975,4.452293
t7,2.1171117,5.473961,10.204677,7.5956874,2.967196,6.073466,2.4342446,7.3507624,7.105068,3.321788,6.199204,9.377134,6.1538167,3.4836304,7.4950647,5.02505,4.4798365
t22,1.8563159,5.295857,10.312418,7.7715626,2.8169472,5.973574,2.2652028,7.232407,7.2035875,3.2380261,6.2259355,9.528966,6.2475185,3.425558,7.6041193,5.143113,4.466566
t43,1.4233038,5.0047374,10.339398,8.032527,2.6989229,5.934395,2.0726786,7.188548,7.310398,3.262868,6.3602233,9.722983,6.268967,3.368385,7.6687775,5.143299,4.5297747
t71,0.9047164,4.66853,10.480442,8.3671,2.4973392,5.8040657,1.8443488,7.0360584,7.491746,3.2762465,6.5284934,9.888336,6.4111433,3.177624,7.858179,5.3062606,4.544434
t90,0.97940445,4.7196155,10.495036,8.285212,2.5204134,5.848326,1.9190522,7.053126,7.393849,3.1853487,6.4436874,9.907839,6.401624,3.300649,7.8509226,5.302378,4.505409
t91,0.92814475,4.6200123,10.475759,8.353072,2.4628336,5.841309,1.8255132,6.976173,7.440586,3.2327664,6.4813113,9.905012,6.481761,3.2178266,7.9240174,5.3563447,4.543398
t96,0.9938846,4.7285614,10.422194,8.292205,2.5276866,5.8401413,1.8652431,7.050952,7.461177,3.292906,6.4896584,9.826997,6.404192,3.1880453,7.83728,5.276325,4.5547953
t97,0.90504664,4.6681304,10.486325,8.36009,2.4978645,5.8099236,1.8533928,7.0374713,7.4779468,3.262487,6.5151997,9.893373,6.413173,3.1968613,7.8626075,5.3130646,4.538862
t45,1.4341317,5.0329466,10.413309,7.9950643,2.6886282,5.9493566,2.1090012,7.1622405,7.255132,3.1830003,6.2935796,9.704308,6.3222723,3.434348,7.709829,5.214211,4.47174
t47,1.040545,4.762932,10.49714,8.235028,2.5428,5.872417,1.9543521,7.067584,7.3542213,3.1564891,6.4041805,9.890716,6.395598,3.3520365,7.8343105,5.2917604,4.4944334
t152,0.77504474,4.580228,10.626195,8.440217,2.4054277,5.849144,1.7992338,6.9899087,7.4041233,3.1201513,6.4607954,10.004312,6.4655995,3.3159366,7.935325,5.372951,4.489663
t153,0.7760411,4.562284,10.650836,8.446691,2.3716385,5.8725457,1.7504066,6.995375,7.406805,3.1199172,6.4311357,9.979448,6.4683437,3.330152,7.9482574,5.3770356,4.4920473
t116,0.82018954,4.625827,10.5978155,8.407185,2.4693842,5.8315787,1.9105659,6.9883375,7.371639,3.0926864,6.487707,10.035046,6.4517255,3.338784,7.8959537,5.3621635,4.481106
t117,0.64293516,4.587605,10.597893,8.493061,2.4066353,5.7708974,1.8813336,6.8897057,7.397876,3.066297,6.5988393,10.168018,6.505982,3.2157798,7.9946165,5.3847976,4.420954
