,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
t1,48.041016,-3.996992,8.489629,-2.3767154,41.5312,16.182905,4.3025193,22.584993,-1.5556908,-0.4515489,-5.176691,-1.7794558,-1.7886965,-1.3534789,8.273095,-1.191938,-0.18103589
t58,77.8302,-10.132533,1.9057981,-3.54543,76.78108,18.727339,20.591572,41.73421,-2.3415487,-0.16472867,-10.959863,-3.1356003,-2.2474291,-3.175073,10.489322,-3.259245,3.728498
t59,77.096405,-10.119131,1.6871482,-3.4698162,76.51845,18.82149,20.499598,41.405163,-2.3293803,-0.19425061,-10.934864,-3.1945827,-2.2232287,-3.1742492,9.928315,-3.294809,3.7109199
t135,80.541145,-10.316302,2.1038163,-3.6051624,79.52929,19.84891,21.402004,43.232254,-2.4616694,-0.2880483,-11.26327,-3.3095334,-2.3583114,-3.2033303,10.696525,-3.251625,3.9950538
t136,80.50403,-10.3199835,2.0510352,-3.5965497,79.46157,19.768303,21.385288,43.15257,-2.4426289,-0.28333905,-11.255099,-3.3091466,-2.3393266,-3.2086601,10.659566,-3.246257,4.026544
t36,65.067345,-9.321693,-0.1543331,-3.2783153,66.019035,13.736845,19.514914,35.309425,-1.7545401,0.5126289,-9.877813,-2.510262,-1.8005968,-3.0178459,8.400767,-3.1930654,3.7799087
t48,79.86052,-10.660629,2.66488,-3.8984058,80.08323,20.071545,19.78609,42.682667,-2.348259,-0.13644174,-11.501826,-3.1620164,-2.4049063,-3.4497025,10.706737,-3.4507508,3.7277217
t49,71.964645,-9.977439,0.73838294,-3.524635,72.6573,16.528881,19.83248,38.82021,-1.9987195,-0.04940465,-10.675136,-2.829642,-2.093623,-3.2089677,9.561943,-3.309454,3.9828753
t39,67.00881,-9.505078,-0.06447818,-3.3549829,67.82146,14.55835,19.664875,36.260284,-1.823604,0.34083304,-10.096344,-2.5886083,-1.8819433,-3.0700855,8.741292,-3.2345376,3.747745
t34,69.33645,-9.716204,0.3140918,-3.445006,70.049034,15.482224,19.708681,37.378975,-1.9233999,0.14069876,-10.343562,-2.7276142,-1.9493933,-3.150636,8.973353,-3.2840958,3.6885905
