"","t4","t5","t11","t112","t129","t130","t105","t106","t91","t17","t84","t85","t125","t126","t36","t37","t13","t41","t42","t12","t135","t136","t68","t69","t58","t59","t45","t101","t102","t24","t79","t80","t38","t48","t49","t43","t100","t113","t114","t61","t62","t73","t74","t19","t21","t83","t119","t120","t109","t33","t86","t152","t153","t77","t78","t92","t93","t89","t90","t7","t10","t107","t108","t50","t51","t95","t133","t134","t75","t123","t140","t141","t99","t57","t22","t6","t3","t15","t23","t55","t124","t142","t158","t159","t148","t149","t87","t88","t110","t111","t40","t9","t20","t28","t29","t2","t144","t145","t115","t81","t82","t35","t34","t16","t160","t161","t53","t103","t154","t155","t32","t131","t132","t116","t94","t146","t147","t139","t72","t121","t122","t56","t30","t14","t8","t127","t128","t104","t137","t138","t31","t25","t117","t118","t54","t63","t64","t46","t47","t162","t163","t96","t18","t156","t157","t44","t52","t97","t98","t143","t150","t151","t76","t66","t67","t60","t26","t27","t65","t70","t71","t39","t1"
"t4",0,1.9276062865,3.6085202311,6.2620463622,6.26204636215,6.26204636215,6.2620463622,6.106136605,6.2620463622,6.2620463625,6.2620463623,6.2620463623,6.2620463623,6.2620463623,6.1627676603,5.035367007,4.7169516421,5.5655543522,5.54827769372,3.97491401229,7.04549843869,7.04549843869,7.0454984385,6.232666467,6.62543766752,6.00642940702,7.04549843892,7.04549843809,7.04549843809,7.04549843849,7.04549843849,7.04549843849,7.04549843869,6.02688541699,5.94675883369,5.90912828489,7.04549843849,7.04549843849,7.04549843849,6.71948288589,6.34872627609,7.04549843849,7.04549843849,5.51626505479,4.580405979,6.40125728396,7.04549843888,7.04549843888,7.0454984389,5.1986584424,6.44640465072,7.04549843859,7.034308968298,6.61624893432,6.59961679212,7.04549843857,7.04549843857,7.04549843887,6.55496732087,3.8557622316,3.72564143659,6.9657353159,7.0454984389,5.7662403308,5.7819923655,7.0454984386,7.0454984385,7.0454984385,7.0454984385,7.0454984385,7.0454984385,7.0454984385,7.0454984385,7.045498438,4.8571121646,3.2599981326,5.1235106722,4.7129422091,5.4435852974,7.3349242223,7.3349242223,7.3349242222,7.33492422227,7.33492422227,7.33492422229,7.33492422229,7.3349242216,7.3349242216,7.06029293437,7.3349242217,6.8502404618,4.9630445038,7.3349242219,5.2109761325,5.8738707945,5.0813355109,7.70258576831,7.70258576831,7.70258576837,7.70258576837,7.70258576837,6.92425607977,6.02739797427,7.70258576827,7.702585768647,7.702585768647,7.7025857689,7.7025857679,7.7025857679,7.7025857679,7.70258576883,7.70258576803,7.70258576803,7.70258576803,7.70258576803,7.70258576813,7.70258576813,7.70258576813,7.70258576813,7.70258576813,7.70258576813,6.52550986967,7.1767514628,4.66822178932,4.8562924321,7.7025857683,7.7025857683,7.5308307419,7.7025857684,7.63640738199,7.7025857681,5.6146606139,7.70258576806,7.70258576806,7.70258576847,7.48647814607,7.70258576767,6.53307049376,7.70258576846,7.702585768605,7.702585768605,7.70258576856,5.37337701256,7.70258576885,7.70258576885,6.39887779309,6.55578183062,7.70258576862,7.70258576862,7.70258576869,7.70258576869,7.70258576869,7.70258576862,6.7714187988,7.7025857684,7.3340113648,7.11091871792,5.65500414832,7.7025857682,6.74785408782,7.70258576819,7.7025857686,4.7907412262
"t5",1.9276062865,0,2.2627225876,4.9162487187,4.91624871865,4.91624871865,4.9162487187,4.7603389615,4.9162487187,4.916248719,4.9162487188,4.9162487188,4.9162487188,4.9162487188,4.8169700168,3.6895693635,3.3711539986,4.2197567087,4.20248005022,2.62911636879,5.69970079519,5.69970079519,5.699700795,4.8868688235,5.27964002402,4.66063176352,5.69970079542,5.69970079459,5.69970079459,5.69970079499,5.69970079499,5.69970079499,5.69970079519,4.68108777349,4.60096119019,4.56333064139,5.69970079499,5.69970079499,5.69970079499,5.37368524239,5.00292863259,5.69970079499,5.69970079499,4.17046741129,3.2346083355,5.05545964046,5.69970079538,5.69970079538,5.6997007954,3.8528607989,5.10060700722,5.69970079509,5.688511324798,5.27045129082,5.25381914862,5.69970079507,5.69970079507,5.69970079537,5.20916967737,2.5099645881,2.37984379309,5.6199376724,5.6997007954,4.4204426873,4.436194722,5.6997007951,5.699700795,5.699700795,5.699700795,5.699700795,5.699700795,5.699700795,5.699700795,5.6997007945,3.5113145211,1.9142004891,3.7777130287,3.3671445656,4.0977876539,5.9891265788,5.9891265788,5.9891265787,5.98912657877,5.98912657877,5.98912657879,5.98912657879,5.9891265781,5.9891265781,5.71449529087,5.9891265782,5.5044428183,3.6172468603,5.9891265784,3.865178489,4.528073151,3.7355378674,6.35678812481,6.35678812481,6.35678812487,6.35678812487,6.35678812487,5.57845843627,4.68160033077,6.35678812477,6.356788125147,6.356788125147,6.3567881254,6.3567881244,6.3567881244,6.3567881244,6.35678812533,6.35678812453,6.35678812453,6.35678812453,6.35678812453,6.35678812463,6.35678812463,6.35678812463,6.35678812463,6.35678812463,6.35678812463,5.17971222617,5.8309538193,3.32242414582,3.5104947886,6.3567881248,6.3567881248,6.1850330984,6.3567881249,6.29060973849,6.3567881246,4.2688629704,6.35678812456,6.35678812456,6.35678812497,6.14068050257,6.35678812417,5.18727285026,6.35678812496,6.356788125105,6.356788125105,6.35678812506,4.02757936906,6.35678812535,6.35678812535,5.05308014959,5.20998418712,6.35678812512,6.35678812512,6.35678812519,6.35678812519,6.35678812519,6.35678812512,5.4256211553,6.3567881249,5.9882137213,5.76512107442,4.30920650482,6.3567881247,5.40205644432,6.35678812469,6.3567881251,3.4449435827
"t11",3.6085202311,2.2627225876,0,3.9256563267,3.92565632665,3.92565632665,3.9256563267,3.7697465695,3.9256563267,3.925656327,3.9256563268,3.9256563268,3.9256563268,3.9256563268,3.8263776248,2.6989769715,4.4189162306,5.2675189407,5.25024228222,3.67687860079,6.74746302719,6.74746302719,6.747463027,5.9346310555,6.32740225602,5.70839399552,6.74746302742,6.74746302659,6.74746302659,6.74746302699,6.74746302699,6.74746302699,6.74746302719,5.72885000549,5.64872342219,5.61109287339,6.74746302699,6.74746302699,6.74746302699,6.42144747439,6.05069086459,6.74746302699,6.74746302699,5.21822964329,4.2823705675,6.10322187246,6.74746302738,6.74746302738,6.7474630274,4.9006230309,6.14836923922,6.74746302709,6.736273556798,6.31821352282,6.30158138062,6.74746302707,6.74746302707,6.74746302737,6.25693190937,3.5577268201,3.42760602509,6.6676999044,6.7474630274,5.4682049193,5.483956954,6.7474630271,6.747463027,6.747463027,6.747463027,6.747463027,6.747463027,6.747463027,6.747463027,6.7474630265,4.5590767531,2.9619627211,4.8254752607,4.4149067976,5.1455498859,7.0368888108,7.0368888108,7.0368888107,7.03688881077,7.03688881077,7.03688881079,7.03688881079,7.0368888101,7.0368888101,6.76225752287,7.0368888102,6.5522050503,4.6650090923,7.0368888104,4.912940721,5.575835383,4.7833000994,7.40455035681,7.40455035681,7.40455035687,7.40455035687,7.40455035687,6.62622066827,5.72936256277,7.40455035677,7.404550357147,7.404550357147,7.4045503574,7.4045503564,7.4045503564,7.4045503564,7.40455035733,7.40455035653,7.40455035653,7.40455035653,7.40455035653,7.40455035663,7.40455035663,7.40455035663,7.40455035663,7.40455035663,7.40455035663,6.22747445817,6.8787160513,4.37018637782,4.5582570206,7.4045503568,7.4045503568,7.2327953304,7.4045503569,7.33837197049,7.4045503566,5.3166252024,7.40455035656,7.40455035656,7.40455035697,7.18844273457,7.40455035617,6.23503508226,7.40455035696,7.404550357105,7.404550357105,7.40455035706,5.07534160106,7.40455035735,7.40455035735,6.10084238159,6.25774641912,7.40455035712,7.40455035712,7.40455035719,7.40455035719,7.40455035719,7.40455035712,6.4733833873,7.4045503569,7.0359759533,6.81288330642,5.35696873682,7.4045503567,6.44981867632,7.40455035669,7.4045503571,4.4927058147
"t112",6.2620463622,4.9162487187,3.9256563267,0,0.62562606415,0.62562606415,1.6009723774,1.4450626202,1.6009723774,6.2308492217,6.2308492215,6.2308492215,6.2308492215,6.2308492215,6.1315705195,5.0041698662,7.0724423617,7.9210450718,7.90376841332,6.33040473189,9.40098915829,9.40098915829,9.4009891581,8.5881571866,8.98092838712,8.36192012662,9.40098915852,9.40098915769,9.40098915769,9.40098915809,9.40098915809,9.40098915809,9.40098915829,8.38237613659,8.30224955329,8.26461900449,9.40098915809,9.40098915809,9.40098915809,9.07497360549,8.70421699569,9.40098915809,9.40098915809,7.87175577439,6.9358966986,8.75674800356,9.40098915848,9.40098915848,9.4009891585,7.554149162,8.80189537032,9.40098915819,9.389799687898,8.97173965392,8.95510751172,9.40098915817,9.40098915817,9.40098915847,8.91045804047,6.2112529512,6.08113215619,9.3212260355,9.4009891585,8.1217310504,8.1374830851,9.4009891582,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891576,7.2126028842,5.6154888522,7.4790013918,7.0684329287,7.799076017,9.6904149419,9.6904149419,9.6904149418,9.69041494187,9.69041494187,9.69041494189,9.69041494189,9.6904149412,9.6904149412,9.41578365397,9.6904149413,9.2057311814,7.3185352234,9.6904149415,7.5664668521,8.2293615141,7.4368262305,10.05807648791,10.05807648791,10.05807648797,10.05807648797,10.05807648797,9.27974679937,8.38288869387,10.05807648787,10.058076488247,10.058076488247,10.0580764885,10.0580764875,10.0580764875,10.0580764875,10.05807648843,10.05807648763,10.05807648763,10.05807648763,10.05807648763,10.05807648773,10.05807648773,10.05807648773,10.05807648773,10.05807648773,10.05807648773,8.88100058927,9.5322421824,7.02371250892,7.2117831517,10.0580764879,10.0580764879,9.8863214615,10.058076488,9.99189810159,10.0580764877,7.9701513335,10.05807648766,10.05807648766,10.05807648807,9.84196886567,10.05807648727,8.88856121336,10.05807648806,10.058076488205,10.058076488205,10.05807648816,7.72886773216,10.05807648845,10.05807648845,8.75436851269,8.91127255022,10.05807648822,10.05807648822,10.05807648829,10.05807648829,10.05807648829,10.05807648822,9.1269095184,10.058076488,9.6895020844,9.46640943752,8.01049486792,10.0580764878,9.10334480742,10.05807648779,10.0580764882,7.1462319458
"t129",6.26204636215,4.91624871865,3.92565632665,0.62562606415,0,0.4272465846,1.60097237735,1.44506262015,1.60097237735,6.23084922165,6.23084922145,6.23084922145,6.23084922145,6.23084922145,6.13157051945,5.00416986615,7.07244236165,7.92104507175,7.90376841327,6.33040473184,9.40098915824,9.40098915824,9.40098915805,8.58815718655,8.98092838707,8.36192012657,9.40098915847,9.40098915764,9.40098915764,9.40098915804,9.40098915804,9.40098915804,9.40098915824,8.38237613654,8.30224955324,8.26461900444,9.40098915804,9.40098915804,9.40098915804,9.07497360544,8.70421699564,9.40098915804,9.40098915804,7.87175577434,6.93589669855,8.75674800351,9.40098915843,9.40098915843,9.40098915845,7.55414916195,8.80189537027,9.40098915814,9.389799687848,8.97173965387,8.95510751167,9.40098915812,9.40098915812,9.40098915842,8.91045804042,6.21125295115,6.08113215614,9.32122603545,9.40098915845,8.12173105035,8.13748308505,9.40098915815,9.40098915805,9.40098915805,9.40098915805,9.40098915805,9.40098915805,9.40098915805,9.40098915805,9.40098915755,7.21260288415,5.61548885215,7.47900139175,7.06843292865,7.79907601695,9.69041494185,9.69041494185,9.69041494175,9.69041494182,9.69041494182,9.69041494184,9.69041494184,9.69041494115,9.69041494115,9.41578365392,9.69041494125,9.20573118135,7.31853522335,9.69041494145,7.56646685205,8.22936151405,7.43682623045,10.05807648786,10.05807648786,10.05807648792,10.05807648792,10.05807648792,9.27974679932,8.38288869382,10.05807648782,10.058076488197,10.058076488197,10.05807648845,10.05807648745,10.05807648745,10.05807648745,10.05807648838,10.05807648758,10.05807648758,10.05807648758,10.05807648758,10.05807648768,10.05807648768,10.05807648768,10.05807648768,10.05807648768,10.05807648768,8.88100058922,9.53224218235,7.02371250887,7.21178315165,10.05807648785,10.05807648785,9.88632146145,10.05807648795,9.99189810154,10.05807648765,7.97015133345,10.05807648761,10.05807648761,10.05807648802,9.84196886562,10.05807648722,8.88856121331,10.05807648801,10.058076488155,10.058076488155,10.05807648811,7.72886773211,10.0580764884,10.0580764884,8.75436851264,8.91127255017,10.05807648817,10.05807648817,10.05807648824,10.05807648824,10.05807648824,10.05807648817,9.12690951835,10.05807648795,9.68950208435,9.46640943747,8.01049486787,10.05807648775,9.10334480737,10.05807648774,10.05807648815,7.14623194575
"t130",6.26204636215,4.91624871865,3.92565632665,0.62562606415,0.4272465846,0,1.60097237735,1.44506262015,1.60097237735,6.23084922165,6.23084922145,6.23084922145,6.23084922145,6.23084922145,6.13157051945,5.00416986615,7.07244236165,7.92104507175,7.90376841327,6.33040473184,9.40098915824,9.40098915824,9.40098915805,8.58815718655,8.98092838707,8.36192012657,9.40098915847,9.40098915764,9.40098915764,9.40098915804,9.40098915804,9.40098915804,9.40098915824,8.38237613654,8.30224955324,8.26461900444,9.40098915804,9.40098915804,9.40098915804,9.07497360544,8.70421699564,9.40098915804,9.40098915804,7.87175577434,6.93589669855,8.75674800351,9.40098915843,9.40098915843,9.40098915845,7.55414916195,8.80189537027,9.40098915814,9.389799687848,8.97173965387,8.95510751167,9.40098915812,9.40098915812,9.40098915842,8.91045804042,6.21125295115,6.08113215614,9.32122603545,9.40098915845,8.12173105035,8.13748308505,9.40098915815,9.40098915805,9.40098915805,9.40098915805,9.40098915805,9.40098915805,9.40098915805,9.40098915805,9.40098915755,7.21260288415,5.61548885215,7.47900139175,7.06843292865,7.79907601695,9.69041494185,9.69041494185,9.69041494175,9.69041494182,9.69041494182,9.69041494184,9.69041494184,9.69041494115,9.69041494115,9.41578365392,9.69041494125,9.20573118135,7.31853522335,9.69041494145,7.56646685205,8.22936151405,7.43682623045,10.05807648786,10.05807648786,10.05807648792,10.05807648792,10.05807648792,9.27974679932,8.38288869382,10.05807648782,10.058076488197,10.058076488197,10.05807648845,10.05807648745,10.05807648745,10.05807648745,10.05807648838,10.05807648758,10.05807648758,10.05807648758,10.05807648758,10.05807648768,10.05807648768,10.05807648768,10.05807648768,10.05807648768,10.05807648768,8.88100058922,9.53224218235,7.02371250887,7.21178315165,10.05807648785,10.05807648785,9.88632146145,10.05807648795,9.99189810154,10.05807648765,7.97015133345,10.05807648761,10.05807648761,10.05807648802,9.84196886562,10.05807648722,8.88856121331,10.05807648801,10.058076488155,10.058076488155,10.05807648811,7.72886773211,10.0580764884,10.0580764884,8.75436851264,8.91127255017,10.05807648817,10.05807648817,10.05807648824,10.05807648824,10.05807648824,10.05807648817,9.12690951835,10.05807648795,9.68950208435,9.46640943747,8.01049486787,10.05807648775,9.10334480737,10.05807648774,10.05807648815,7.14623194575
"t105",6.2620463622,4.9162487187,3.9256563267,1.6009723774,1.60097237735,1.60097237735,0,0.569531125,1.0657543638,6.2308492217,6.2308492215,6.2308492215,6.2308492215,6.2308492215,6.1315705195,5.0041698662,7.0724423617,7.9210450718,7.90376841332,6.33040473189,9.40098915829,9.40098915829,9.4009891581,8.5881571866,8.98092838712,8.36192012662,9.40098915852,9.40098915769,9.40098915769,9.40098915809,9.40098915809,9.40098915809,9.40098915829,8.38237613659,8.30224955329,8.26461900449,9.40098915809,9.40098915809,9.40098915809,9.07497360549,8.70421699569,9.40098915809,9.40098915809,7.87175577439,6.9358966986,8.75674800356,9.40098915848,9.40098915848,9.4009891585,7.554149162,8.80189537032,9.40098915819,9.389799687898,8.97173965392,8.95510751172,9.40098915817,9.40098915817,9.40098915847,8.91045804047,6.2112529512,6.08113215619,9.3212260355,9.4009891585,8.1217310504,8.1374830851,9.4009891582,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891576,7.2126028842,5.6154888522,7.4790013918,7.0684329287,7.799076017,9.6904149419,9.6904149419,9.6904149418,9.69041494187,9.69041494187,9.69041494189,9.69041494189,9.6904149412,9.6904149412,9.41578365397,9.6904149413,9.2057311814,7.3185352234,9.6904149415,7.5664668521,8.2293615141,7.4368262305,10.05807648791,10.05807648791,10.05807648797,10.05807648797,10.05807648797,9.27974679937,8.38288869387,10.05807648787,10.058076488247,10.058076488247,10.0580764885,10.0580764875,10.0580764875,10.0580764875,10.05807648843,10.05807648763,10.05807648763,10.05807648763,10.05807648763,10.05807648773,10.05807648773,10.05807648773,10.05807648773,10.05807648773,10.05807648773,8.88100058927,9.5322421824,7.02371250892,7.2117831517,10.0580764879,10.0580764879,9.8863214615,10.058076488,9.99189810159,10.0580764877,7.9701513335,10.05807648766,10.05807648766,10.05807648807,9.84196886567,10.05807648727,8.88856121336,10.05807648806,10.058076488205,10.058076488205,10.05807648816,7.72886773216,10.05807648845,10.05807648845,8.75436851269,8.91127255022,10.05807648822,10.05807648822,10.05807648829,10.05807648829,10.05807648829,10.05807648822,9.1269095184,10.058076488,9.6895020844,9.46640943752,8.01049486792,10.0580764878,9.10334480742,10.05807648779,10.0580764882,7.1462319458
"t106",6.106136605,4.7603389615,3.7697465695,1.4450626202,1.44506262015,1.44506262015,0.569531125,0,0.9098446066,6.0749394645,6.0749394643,6.0749394643,6.0749394643,6.0749394643,5.9756607623,4.848260109,6.9165326045,7.7651353146,7.74785865612,6.17449497469,9.24507940109,9.24507940109,9.2450794009,8.4322474294,8.82501862992,8.20601036942,9.24507940132,9.24507940049,9.24507940049,9.24507940089,9.24507940089,9.24507940089,9.24507940109,8.22646637939,8.14633979609,8.10870924729,9.24507940089,9.24507940089,9.24507940089,8.91906384829,8.54830723849,9.24507940089,9.24507940089,7.71584601719,6.7799869414,8.60083824636,9.24507940128,9.24507940128,9.2450794013,7.3982394048,8.64598561312,9.24507940099,9.233889930698,8.81582989672,8.79919775452,9.24507940097,9.24507940097,9.24507940127,8.75454828327,6.055343194,5.92522239899,9.1653162783,9.2450794013,7.9658212932,7.9815733279,9.245079401,9.2450794009,9.2450794009,9.2450794009,9.2450794009,9.2450794009,9.2450794009,9.2450794009,9.2450794004,7.056693127,5.459579095,7.3230916346,6.9125231715,7.6431662598,9.5345051847,9.5345051847,9.5345051846,9.53450518467,9.53450518467,9.53450518469,9.53450518469,9.534505184,9.534505184,9.25987389677,9.5345051841,9.0498214242,7.1626254662,9.5345051843,7.4105570949,8.0734517569,7.2809164733,9.90216673071,9.90216673071,9.90216673077,9.90216673077,9.90216673077,9.12383704217,8.22697893667,9.90216673067,9.902166731047,9.902166731047,9.9021667313,9.9021667303,9.9021667303,9.9021667303,9.90216673123,9.90216673043,9.90216673043,9.90216673043,9.90216673043,9.90216673053,9.90216673053,9.90216673053,9.90216673053,9.90216673053,9.90216673053,8.72509083207,9.3763324252,6.86780275172,7.0558733945,9.9021667307,9.9021667307,9.7304117043,9.9021667308,9.83598834439,9.9021667305,7.8142415763,9.90216673046,9.90216673046,9.90216673087,9.68605910847,9.90216673007,8.73265145616,9.90216673086,9.902166731005,9.902166731005,9.90216673096,7.57295797496,9.90216673125,9.90216673125,8.59845875549,8.75536279302,9.90216673102,9.90216673102,9.90216673109,9.90216673109,9.90216673109,9.90216673102,8.9709997612,9.9021667308,9.5335923272,9.31049968032,7.85458511072,9.9021667306,8.94743505022,9.90216673059,9.902166731,6.9903221886
"t91",6.2620463622,4.9162487187,3.9256563267,1.6009723774,1.60097237735,1.60097237735,1.0657543638,0.9098446066,0,6.2308492217,6.2308492215,6.2308492215,6.2308492215,6.2308492215,6.1315705195,5.0041698662,7.0724423617,7.9210450718,7.90376841332,6.33040473189,9.40098915829,9.40098915829,9.4009891581,8.5881571866,8.98092838712,8.36192012662,9.40098915852,9.40098915769,9.40098915769,9.40098915809,9.40098915809,9.40098915809,9.40098915829,8.38237613659,8.30224955329,8.26461900449,9.40098915809,9.40098915809,9.40098915809,9.07497360549,8.70421699569,9.40098915809,9.40098915809,7.87175577439,6.9358966986,8.75674800356,9.40098915848,9.40098915848,9.4009891585,7.554149162,8.80189537032,9.40098915819,9.389799687898,8.97173965392,8.95510751172,9.40098915817,9.40098915817,9.40098915847,8.91045804047,6.2112529512,6.08113215619,9.3212260355,9.4009891585,8.1217310504,8.1374830851,9.4009891582,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891581,9.4009891576,7.2126028842,5.6154888522,7.4790013918,7.0684329287,7.799076017,9.6904149419,9.6904149419,9.6904149418,9.69041494187,9.69041494187,9.69041494189,9.69041494189,9.6904149412,9.6904149412,9.41578365397,9.6904149413,9.2057311814,7.3185352234,9.6904149415,7.5664668521,8.2293615141,7.4368262305,10.05807648791,10.05807648791,10.05807648797,10.05807648797,10.05807648797,9.27974679937,8.38288869387,10.05807648787,10.058076488247,10.058076488247,10.0580764885,10.0580764875,10.0580764875,10.0580764875,10.05807648843,10.05807648763,10.05807648763,10.05807648763,10.05807648763,10.05807648773,10.05807648773,10.05807648773,10.05807648773,10.05807648773,10.05807648773,8.88100058927,9.5322421824,7.02371250892,7.2117831517,10.0580764879,10.0580764879,9.8863214615,10.058076488,9.99189810159,10.0580764877,7.9701513335,10.05807648766,10.05807648766,10.05807648807,9.84196886567,10.05807648727,8.88856121336,10.05807648806,10.058076488205,10.058076488205,10.05807648816,7.72886773216,10.05807648845,10.05807648845,8.75436851269,8.91127255022,10.05807648822,10.05807648822,10.05807648829,10.05807648829,10.05807648829,10.05807648822,9.1269095184,10.058076488,9.6895020844,9.46640943752,8.01049486792,10.0580764878,9.10334480742,10.05807648779,10.0580764882,7.1462319458
"t17",6.2620463625,4.916248719,3.925656327,6.2308492217,6.23084922165,6.23084922165,6.2308492217,6.0749394645,6.2308492217,0,5.6408482818,5.6408482818,5.6408482818,5.6408482818,5.5415695798,4.4141689265,7.072442362,7.9210450721,7.90376841362,6.33040473219,9.40098915859,9.40098915859,9.4009891584,8.5881571869,8.98092838742,8.36192012692,9.40098915882,9.40098915799,9.40098915799,9.40098915839,9.40098915839,9.40098915839,9.40098915859,8.38237613689,8.30224955359,8.26461900479,9.40098915839,9.40098915839,9.40098915839,9.07497360579,8.70421699599,9.40098915839,9.40098915839,7.87175577469,6.9358966989,8.75674800386,9.40098915878,9.40098915878,9.4009891588,7.5541491623,8.80189537062,9.40098915849,9.389799688198,8.97173965422,8.95510751202,9.40098915847,9.40098915847,9.40098915877,8.91045804077,6.2112529515,6.08113215649,9.3212260358,9.4009891588,8.1217310507,8.1374830854,9.4009891585,9.4009891584,9.4009891584,9.4009891584,9.4009891584,9.4009891584,9.4009891584,9.4009891584,9.4009891579,7.2126028845,5.6154888525,7.4790013921,7.068432929,7.7990760173,9.6904149422,9.6904149422,9.6904149421,9.69041494217,9.69041494217,9.69041494219,9.69041494219,9.6904149415,9.6904149415,9.41578365427,9.6904149416,9.2057311817,7.3185352237,9.6904149418,7.5664668524,8.2293615144,7.4368262308,10.05807648821,10.05807648821,10.05807648827,10.05807648827,10.05807648827,9.27974679967,8.38288869417,10.05807648817,10.058076488547,10.058076488547,10.0580764888,10.0580764878,10.0580764878,10.0580764878,10.05807648873,10.05807648793,10.05807648793,10.05807648793,10.05807648793,10.05807648803,10.05807648803,10.05807648803,10.05807648803,10.05807648803,10.05807648803,8.88100058957,9.5322421827,7.02371250922,7.211783152,10.0580764882,10.0580764882,9.8863214618,10.0580764883,9.99189810189,10.058076488,7.9701513338,10.05807648796,10.05807648796,10.05807648837,9.84196886597,10.05807648757,8.88856121366,10.05807648836,10.058076488505,10.058076488505,10.05807648846,7.72886773246,10.05807648875,10.05807648875,8.75436851299,8.91127255052,10.05807648852,10.05807648852,10.05807648859,10.05807648859,10.05807648859,10.05807648852,9.1269095187,10.0580764883,9.6895020847,9.46640943782,8.01049486822,10.0580764881,9.10334480772,10.05807648809,10.0580764885,7.1462319461
