"","t111","t112","t69","t14","t49","t50","t8","t106","t107","t52","t10","t19","t128","t129","t110","t122","t123","t102","t103","t29","t18","t20","t47","t133","t136","t137","t48","t91","t120","t121","t142","t143","t140","t141","t88","t90","t98","t99","t109","t126","t127","t89","t118","t119","t56","t134","t135","t73","t74","t124","t125","t114","t115","t21","t100","t101","t68","t113","t144","t145","t28","t45","t46","t44","t80","t138","t139","t132","t57","t43","t62","t85","t86","t92","t93","t71","t23","t30","t35","t36","t16","t63","t70","t116","t117","t37","t24","t9","t53","t87","t108","t130","t131","t58","t75","t76","t38","t39","t11","t2","t3","t7","t104","t105","t60","t61","t59","t96","t97","t78","t79","t83","t84","t72","t4","t12","t13","t15","t33","t34","t17","t31","t32","t54","t55","t40","t94","t95","t77","t26","t27","t64","t65","t22","t41","t42","t25","t66","t67","t81","t82","t51","t5","t6","t1"
"t111",0,0.3213076821,0.8369013817,2.7856626866,3.62261159164,3.9137612164,5.2467562121,7.1207938005,7.1207938005,7.1207938005,4.9170234359,5.71390533756,7.12079380076,7.12079380076,6.99392811395,7.12079380029,7.12079380029,7.12079380026,7.12079380026,7.12079380066,5.32934086245,5.98628308866,7.12079380048,7.12079380048,7.120793800472,7.120793800472,6.21354803454,7.12079380044,7.12079380036,7.12079380036,7.120793800384,7.120793800384,7.120793800481,7.120793800481,7.12079380049,7.12079380043,7.12079380042,7.12079380042,7.12079380049,7.12079380047,7.12079380047,7.12079380049,7.12079380049,7.12079380049,7.12079380039,7.12079380043,7.12079380043,6.73678466245,7.12079380045,7.12079380048,7.12079380048,7.12079380049,7.12079380049,6.31928211277,7.12079380035,7.12079380035,7.12079380039,7.12079380039,7.120793800422,7.120793800422,6.40895075215,7.12079380035,7.01108572765,6.50902474815,7.12079380035,7.12079380032,7.12079380032,7.12079380032,7.12079380035,7.12079379995,7.12079380035,6.81270689795,7.07489917145,7.12079380075,7.12079380075,6.47395237661,7.12079380055,7.4186335586,7.41863355908,7.41863355908,5.934158401,7.4186335591,7.41863355912,7.41863355912,7.41863355912,7.4186335591,5.94907374256,7.4186335591,7.41863355879,7.41863355878,7.41863355878,7.41863355882,7.41863355882,6.90433472818,7.41863355871,7.41863355871,7.41863355899,7.41863355899,5.13939640937,6.66202765333,8.2231503804,8.0015706001,10.4467174686,10.4467174686,10.4467174686,10.4467174686,9.7378152628,10.4467174687,10.4298180425,10.4467174689,10.4467174689,10.4467174689,10.3259538148,10.4467174689,7.8136405472,8.63633202968,8.71058939788,8.78069106158,10.44671746928,10.44671746928,9.42592143508,10.44671746888,10.44671746888,10.44671746881,9.66198560131,10.44671746851,10.44671746891,10.44671746891,10.44671746891,10.44671746841,9.06804063211,10.44671746891,9.67581080613,10.44671746901,10.44671746931,10.44671746931,8.9778785034,9.86950711796,9.83910531596,10.44671746876,10.44671746876,9.71850480461,7.49870504503,7.28985327063,8.4431207151
"t112",0.3213076821,0,0.8898857182,2.8386470231,3.67559592814,3.9667455529,5.2997405486,7.173778137,7.173778137,7.173778137,4.9700077724,5.76688967406,7.17377813726,7.17377813726,7.04691245045,7.17377813679,7.17377813679,7.17377813676,7.17377813676,7.17377813716,5.38232519895,6.03926742516,7.17377813698,7.17377813698,7.173778136972,7.173778136972,6.26653237104,7.17377813694,7.17377813686,7.17377813686,7.173778136884,7.173778136884,7.173778136981,7.173778136981,7.17377813699,7.17377813693,7.17377813692,7.17377813692,7.17377813699,7.17377813697,7.17377813697,7.17377813699,7.17377813699,7.17377813699,7.17377813689,7.17377813693,7.17377813693,6.78976899895,7.17377813695,7.17377813698,7.17377813698,7.17377813699,7.17377813699,6.37226644927,7.17377813685,7.17377813685,7.17377813689,7.17377813689,7.173778136922,7.173778136922,6.46193508865,7.17377813685,7.06407006415,6.56200908465,7.17377813685,7.17377813682,7.17377813682,7.17377813682,7.17377813685,7.17377813645,7.17377813685,6.86569123445,7.12788350795,7.17377813725,7.17377813725,6.52693671311,7.17377813705,7.4716178951,7.47161789558,7.47161789558,5.9871427375,7.4716178956,7.47161789562,7.47161789562,7.47161789562,7.4716178956,6.00205807906,7.4716178956,7.47161789529,7.47161789528,7.47161789528,7.47161789532,7.47161789532,6.95731906468,7.47161789521,7.47161789521,7.47161789549,7.47161789549,5.19238074587,6.71501198983,8.2761347169,8.0545549366,10.4997018051,10.4997018051,10.4997018051,10.4997018051,9.7907995993,10.4997018052,10.482802379,10.4997018054,10.4997018054,10.4997018054,10.3789381513,10.4997018054,7.8666248837,8.68931636618,8.76357373438,8.83367539808,10.49970180578,10.49970180578,9.47890577158,10.49970180538,10.49970180538,10.49970180531,9.71496993781,10.49970180501,10.49970180541,10.49970180541,10.49970180541,10.49970180491,9.12102496861,10.49970180541,9.72879514263,10.49970180551,10.49970180581,10.49970180581,9.0308628399,9.92249145446,9.89208965246,10.49970180526,10.49970180526,9.77148914111,7.55168938153,7.34283760713,8.4961050516
"t69",0.8369013817,0.8898857182,0,2.2765389315,3.11348783654,3.4046374613,4.737632457,6.6116700454,6.6116700454,6.6116700454,4.4078996808,5.20478158246,6.61167004566,6.61167004566,6.48480435885,6.61167004519,6.61167004519,6.61167004516,6.61167004516,6.61167004556,4.82021710735,5.47715933356,6.61167004538,6.61167004538,6.611670045372,6.611670045372,5.70442427944,6.61167004534,6.61167004526,6.61167004526,6.611670045284,6.611670045284,6.611670045381,6.611670045381,6.61167004539,6.61167004533,6.61167004532,6.61167004532,6.61167004539,6.61167004537,6.61167004537,6.61167004539,6.61167004539,6.61167004539,6.61167004529,6.61167004533,6.61167004533,6.22766090735,6.61167004535,6.61167004538,6.61167004538,6.61167004539,6.61167004539,5.81015835767,6.61167004525,6.61167004525,6.61167004529,6.61167004529,6.611670045322,6.611670045322,5.89982699705,6.61167004525,6.50196197255,5.99990099305,6.61167004525,6.61167004522,6.61167004522,6.61167004522,6.61167004525,6.61167004485,6.61167004525,6.30358314285,6.56577541635,6.61167004565,6.61167004565,5.96482862151,6.61167004545,6.9095098035,6.90950980398,6.90950980398,5.4250346459,6.909509804,6.90950980402,6.90950980402,6.90950980402,6.909509804,5.43994998746,6.909509804,6.90950980369,6.90950980368,6.90950980368,6.90950980372,6.90950980372,6.39521097308,6.90950980361,6.90950980361,6.90950980389,6.90950980389,4.63027265427,6.15290389823,7.7140266253,7.492446845,9.9375937135,9.9375937135,9.9375937135,9.9375937135,9.2286915077,9.9375937136,9.9206942874,9.9375937138,9.9375937138,9.9375937138,9.8168300597,9.9375937138,7.3045167921,8.12720827458,8.20146564278,8.27156730648,9.93759371418,9.93759371418,8.91679767998,9.93759371378,9.93759371378,9.93759371371,9.15286184621,9.93759371341,9.93759371381,9.93759371381,9.93759371381,9.93759371331,8.55891687701,9.93759371381,9.16668705103,9.93759371391,9.93759371421,9.93759371421,8.4687547483,9.36038336286,9.32998156086,9.93759371366,9.93759371366,9.20938104951,6.98958128993,6.78072951553,7.93399696
"t14",2.7856626866,2.8386470231,2.2765389315,0,1.48083324564,1.7719828704,3.5239706599,5.3980082483,5.3980082483,5.3980082483,3.1942378837,3.99111978536,5.39800824856,5.39800824856,5.27114256175,5.39800824809,5.39800824809,5.39800824806,5.39800824806,5.39800824846,3.60655531025,4.26349753646,5.39800824828,5.39800824828,5.398008248272,5.398008248272,4.49076248234,5.39800824824,5.39800824816,5.39800824816,5.398008248184,5.398008248184,5.398008248281,5.398008248281,5.39800824829,5.39800824823,5.39800824822,5.39800824822,5.39800824829,5.39800824827,5.39800824827,5.39800824829,5.39800824829,5.39800824829,5.39800824819,5.39800824823,5.39800824823,5.01399911025,5.39800824825,5.39800824828,5.39800824828,5.39800824829,5.39800824829,4.59649656057,5.39800824815,5.39800824815,5.39800824819,5.39800824819,5.398008248222,5.398008248222,4.68616519995,5.39800824815,5.28830017545,4.78623919595,5.39800824815,5.39800824812,5.39800824812,5.39800824812,5.39800824815,5.39800824775,5.39800824815,5.08992134575,5.35211361925,5.39800824855,5.39800824855,4.75116682441,5.39800824835,5.6958480064,5.69584800688,5.69584800688,4.2113728488,5.6958480069,5.69584800692,5.69584800692,5.69584800692,5.6958480069,4.22628819036,5.6958480069,5.69584800659,5.69584800658,5.69584800658,5.69584800662,5.69584800662,5.18154917598,5.69584800651,5.69584800651,5.69584800679,5.69584800679,3.41661085717,4.93924210113,6.5003648282,6.2787850479,8.7239319164,8.7239319164,8.7239319164,8.7239319164,8.0150297106,8.7239319165,8.7070324903,8.7239319167,8.7239319167,8.7239319167,8.6031682626,8.7239319167,6.090854995,6.91354647748,6.98780384568,7.05790550938,8.72393191708,8.72393191708,7.70313588288,8.72393191668,8.72393191668,8.72393191661,7.93920004911,8.72393191631,8.72393191671,8.72393191671,8.72393191671,8.72393191621,7.34525507991,8.72393191671,7.95302525393,8.72393191681,8.72393191711,8.72393191711,7.2550929512,8.14672156576,8.11631976376,8.72393191656,8.72393191656,7.99571925241,5.77591949283,5.56706771843,6.7203351629
"t49",3.62261159164,3.67559592814,3.11348783654,1.48083324564,0,0.35021189744,4.36091956494,6.23495715334,6.23495715334,6.23495715334,4.03118678874,4.8280686904,6.2349571536,6.2349571536,6.10809146679,6.23495715313,6.23495715313,6.2349571531,6.2349571531,6.2349571535,4.44350421529,5.1004464415,6.23495715332,6.23495715332,6.234957153312,6.234957153312,5.32771138738,6.23495715328,6.2349571532,6.2349571532,6.234957153224,6.234957153224,6.234957153321,6.234957153321,6.23495715333,6.23495715327,6.23495715326,6.23495715326,6.23495715333,6.23495715331,6.23495715331,6.23495715333,6.23495715333,6.23495715333,6.23495715323,6.23495715327,6.23495715327,5.85094801529,6.23495715329,6.23495715332,6.23495715332,6.23495715333,6.23495715333,5.43344546561,6.23495715319,6.23495715319,6.23495715323,6.23495715323,6.234957153262,6.234957153262,5.52311410499,6.23495715319,6.12524908049,5.62318810099,6.23495715319,6.23495715316,6.23495715316,6.23495715316,6.23495715319,6.23495715279,6.23495715319,5.92687025079,6.18906252429,6.23495715359,6.23495715359,5.58811572945,6.23495715339,6.53279691144,6.53279691192,6.53279691192,5.04832175384,6.53279691194,6.53279691196,6.53279691196,6.53279691196,6.53279691194,5.0632370954,6.53279691194,6.53279691163,6.53279691162,6.53279691162,6.53279691166,6.53279691166,6.01849808102,6.53279691155,6.53279691155,6.53279691183,6.53279691183,4.25355976221,5.77619100617,7.33731373324,7.11573395294,9.56088082144,9.56088082144,9.56088082144,9.56088082144,8.85197861564,9.56088082154,9.54398139534,9.56088082174,9.56088082174,9.56088082174,9.44011716764,9.56088082174,6.92780390004,7.75049538252,7.82475275072,7.89485441442,9.56088082212,9.56088082212,8.54008478792,9.56088082172,9.56088082172,9.56088082165,8.77614895415,9.56088082135,9.56088082175,9.56088082175,9.56088082175,9.56088082125,8.18220398495,9.56088082175,8.78997415897,9.56088082185,9.56088082215,9.56088082215,8.09204185624,8.9836704708,8.9532686688,9.5608808216,9.5608808216,8.83266815745,6.61286839787,6.40401662347,7.55728406794
"t50",3.9137612164,3.9667455529,3.4046374613,1.7719828704,0.35021189744,0,4.6520691897,6.5261067781,6.5261067781,6.5261067781,4.3223364135,5.11921831516,6.52610677836,6.52610677836,6.39924109155,6.52610677789,6.52610677789,6.52610677786,6.52610677786,6.52610677826,4.73465384005,5.39159606626,6.52610677808,6.52610677808,6.526106778072,6.526106778072,5.61886101214,6.52610677804,6.52610677796,6.52610677796,6.526106777984,6.526106777984,6.526106778081,6.526106778081,6.52610677809,6.52610677803,6.52610677802,6.52610677802,6.52610677809,6.52610677807,6.52610677807,6.52610677809,6.52610677809,6.52610677809,6.52610677799,6.52610677803,6.52610677803,6.14209764005,6.52610677805,6.52610677808,6.52610677808,6.52610677809,6.52610677809,5.72459509037,6.52610677795,6.52610677795,6.52610677799,6.52610677799,6.526106778022,6.526106778022,5.81426372975,6.52610677795,6.41639870525,5.91433772575,6.52610677795,6.52610677792,6.52610677792,6.52610677792,6.52610677795,6.52610677755,6.52610677795,6.21801987555,6.48021214905,6.52610677835,6.52610677835,5.87926535421,6.52610677815,6.8239465362,6.82394653668,6.82394653668,5.3394713786,6.8239465367,6.82394653672,6.82394653672,6.82394653672,6.8239465367,5.35438672016,6.8239465367,6.82394653639,6.82394653638,6.82394653638,6.82394653642,6.82394653642,6.30964770578,6.82394653631,6.82394653631,6.82394653659,6.82394653659,4.54470938697,6.06734063093,7.628463358,7.4068835777,9.8520304462,9.8520304462,9.8520304462,9.8520304462,9.1431282404,9.8520304463,9.8351310201,9.8520304465,9.8520304465,9.8520304465,9.7312667924,9.8520304465,7.2189535248,8.04164500728,8.11590237548,8.18600403918,9.85203044688,9.85203044688,8.83123441268,9.85203044648,9.85203044648,9.85203044641,9.06729857891,9.85203044611,9.85203044651,9.85203044651,9.85203044651,9.85203044601,8.47335360971,9.85203044651,9.08112378373,9.85203044661,9.85203044691,9.85203044691,8.383191481,9.27482009556,9.24441829356,9.85203044636,9.85203044636,9.12381778221,6.90401802263,6.69516624823,7.8484336927
"t8",5.2467562121,5.2997405486,4.737632457,3.5239706599,4.36091956494,4.6520691897,0,3.6896472804,3.6896472804,3.6896472804,1.4858769158,3.13168809086,4.53857655406,4.53857655406,4.41171086725,4.53857655359,4.53857655359,4.53857655356,4.53857655356,4.53857655396,2.74712361575,3.40406584196,4.53857655378,4.53857655378,4.538576553772,4.538576553772,3.63133078784,4.53857655374,4.53857655366,4.53857655366,4.538576553684,4.538576553684,4.538576553781,4.538576553781,4.53857655379,4.53857655373,4.53857655372,4.53857655372,4.53857655379,4.53857655377,4.53857655377,4.53857655379,4.53857655379,4.53857655379,4.53857655369,4.53857655373,4.53857655373,4.15456741575,4.53857655375,4.53857655378,4.53857655378,4.53857655379,4.53857655379,3.73706486607,4.53857655365,4.53857655365,4.53857655369,4.53857655369,4.538576553722,4.538576553722,3.82673350545,4.53857655365,4.42886848095,3.92680750145,4.53857655365,4.53857655362,4.53857655362,4.53857655362,4.53857655365,4.53857655325,4.53857655365,4.23048965125,4.49268192475,4.53857655405,4.53857655405,3.89173512991,4.53857655385,5.5975803059,5.59758030638,5.59758030638,4.1131051483,5.5975803064,5.59758030642,5.59758030642,5.59758030642,5.5975803064,4.12802048986,5.5975803064,5.59758030609,5.59758030608,5.59758030608,5.59758030612,5.59758030612,5.08328147548,5.59758030601,5.59758030601,5.59758030629,5.59758030629,3.31834315667,4.84097440063,6.4020971277,6.1805173474,8.6256642159,8.6256642159,8.6256642159,8.6256642159,7.9167620101,8.625664216,8.6087647898,8.6256642162,8.6256642162,8.6256642162,8.5049005621,8.6256642162,5.9925872945,6.81527877698,6.88953614518,6.95963780888,8.62566421658,8.62566421658,7.60486818238,8.62566421618,8.62566421618,8.62566421611,7.84093234861,8.62566421581,8.62566421621,8.62566421621,8.62566421621,8.62566421571,7.24698737941,8.62566421621,7.85475755343,8.62566421631,8.62566421661,8.62566421661,7.1568252507,8.04845386526,8.01805206326,8.62566421606,8.62566421606,7.89745155191,5.67765179233,5.46880001793,6.6220674624
"t106",7.1207938005,7.173778137,6.6116700454,5.3980082483,6.23495715334,6.5261067781,3.6896472804,0,0.4416925702,1.8504855034,2.8331231068,5.00572567926,6.41261414246,6.41261414246,6.28574845565,6.41261414199,6.41261414199,6.41261414196,6.41261414196,6.41261414236,4.62116120415,5.27810343036,6.41261414218,6.41261414218,6.412614142172,6.412614142172,5.50536837624,6.41261414214,6.41261414206,6.41261414206,6.412614142084,6.412614142084,6.412614142181,6.412614142181,6.41261414219,6.41261414213,6.41261414212,6.41261414212,6.41261414219,6.41261414217,6.41261414217,6.41261414219,6.41261414219,6.41261414219,6.41261414209,6.41261414213,6.41261414213,6.02860500415,6.41261414215,6.41261414218,6.41261414218,6.41261414219,6.41261414219,5.61110245447,6.41261414205,6.41261414205,6.41261414209,6.41261414209,6.412614142122,6.412614142122,5.70077109385,6.41261414205,6.30290606935,5.80084508985,6.41261414205,6.41261414202,6.41261414202,6.41261414202,6.41261414205,6.41261414165,6.41261414205,6.10452723965,6.36671951315,6.41261414245,6.41261414245,5.76577271831,6.41261414225,7.4716178943,7.47161789478,7.47161789478,5.9871427367,7.4716178948,7.47161789482,7.47161789482,7.47161789482,7.4716178948,6.00205807826,7.4716178948,7.47161789449,7.47161789448,7.47161789448,7.47161789452,7.47161789452,6.95731906388,7.47161789441,7.47161789441,7.47161789469,7.47161789469,5.19238074507,6.71501198903,8.2761347161,8.0545549358,10.4997018043,10.4997018043,10.4997018043,10.4997018043,9.7907995985,10.4997018044,10.4828023782,10.4997018046,10.4997018046,10.4997018046,10.3789381505,10.4997018046,7.8666248829,8.68931636538,8.76357373358,8.83367539728,10.49970180498,10.49970180498,9.47890577078,10.49970180458,10.49970180458,10.49970180451,9.71496993701,10.49970180421,10.49970180461,10.49970180461,10.49970180461,10.49970180411,9.12102496781,10.49970180461,9.72879514183,10.49970180471,10.49970180501,10.49970180501,9.0308628391,9.92249145366,9.89208965166,10.49970180446,10.49970180446,9.77148914031,7.55168938073,7.34283760633,8.4961050508
"t107",7.1207938005,7.173778137,6.6116700454,5.3980082483,6.23495715334,6.5261067781,3.6896472804,0.4416925702,0,1.8504855034,2.8331231068,5.00572567926,6.41261414246,6.41261414246,6.28574845565,6.41261414199,6.41261414199,6.41261414196,6.41261414196,6.41261414236,4.62116120415,5.27810343036,6.41261414218,6.41261414218,6.412614142172,6.412614142172,5.50536837624,6.41261414214,6.41261414206,6.41261414206,6.412614142084,6.412614142084,6.412614142181,6.412614142181,6.41261414219,6.41261414213,6.41261414212,6.41261414212,6.41261414219,6.41261414217,6.41261414217,6.41261414219,6.41261414219,6.41261414219,6.41261414209,6.41261414213,6.41261414213,6.02860500415,6.41261414215,6.41261414218,6.41261414218,6.41261414219,6.41261414219,5.61110245447,6.41261414205,6.41261414205,6.41261414209,6.41261414209,6.412614142122,6.412614142122,5.70077109385,6.41261414205,6.30290606935,5.80084508985,6.41261414205,6.41261414202,6.41261414202,6.41261414202,6.41261414205,6.41261414165,6.41261414205,6.10452723965,6.36671951315,6.41261414245,6.41261414245,5.76577271831,6.41261414225,7.4716178943,7.47161789478,7.47161789478,5.9871427367,7.4716178948,7.47161789482,7.47161789482,7.47161789482,7.4716178948,6.00205807826,7.4716178948,7.47161789449,7.47161789448,7.47161789448,7.47161789452,7.47161789452,6.95731906388,7.47161789441,7.47161789441,7.47161789469,7.47161789469,5.19238074507,6.71501198903,8.2761347161,8.0545549358,10.4997018043,10.4997018043,10.4997018043,10.4997018043,9.7907995985,10.4997018044,10.4828023782,10.4997018046,10.4997018046,10.4997018046,10.3789381505,10.4997018046,7.8666248829,8.68931636538,8.76357373358,8.83367539728,10.49970180498,10.49970180498,9.47890577078,10.49970180458,10.49970180458,10.49970180451,9.71496993701,10.49970180421,10.49970180461,10.49970180461,10.49970180461,10.49970180411,9.12102496781,10.49970180461,9.72879514183,10.49970180471,10.49970180501,10.49970180501,9.0308628391,9.92249145366,9.89208965166,10.49970180446,10.49970180446,9.77148914031,7.55168938073,7.34283760633,8.4961050508
"t52",7.1207938005,7.173778137,6.6116700454,5.3980082483,6.23495715334,6.5261067781,3.6896472804,1.8504855034,1.8504855034,0,2.8331231068,5.00572567926,6.41261414246,6.41261414246,6.28574845565,6.41261414199,6.41261414199,6.41261414196,6.41261414196,6.41261414236,4.62116120415,5.27810343036,6.41261414218,6.41261414218,6.412614142172,6.412614142172,5.50536837624,6.41261414214,6.41261414206,6.41261414206,6.412614142084,6.412614142084,6.412614142181,6.412614142181,6.41261414219,6.41261414213,6.41261414212,6.41261414212,6.41261414219,6.41261414217,6.41261414217,6.41261414219,6.41261414219,6.41261414219,6.41261414209,6.41261414213,6.41261414213,6.02860500415,6.41261414215,6.41261414218,6.41261414218,6.41261414219,6.41261414219,5.61110245447,6.41261414205,6.41261414205,6.41261414209,6.41261414209,6.412614142122,6.412614142122,5.70077109385,6.41261414205,6.30290606935,5.80084508985,6.41261414205,6.41261414202,6.41261414202,6.41261414202,6.41261414205,6.41261414165,6.41261414205,6.10452723965,6.36671951315,6.41261414245,6.41261414245,5.76577271831,6.41261414225,7.4716178943,7.47161789478,7.47161789478,5.9871427367,7.4716178948,7.47161789482,7.47161789482,7.47161789482,7.4716178948,6.00205807826,7.4716178948,7.47161789449,7.47161789448,7.47161789448,7.47161789452,7.47161789452,6.95731906388,7.47161789441,7.47161789441,7.47161789469,7.47161789469,5.19238074507,6.71501198903,8.2761347161,8.0545549358,10.4997018043,10.4997018043,10.4997018043,10.4997018043,9.7907995985,10.4997018044,10.4828023782,10.4997018046,10.4997018046,10.4997018046,10.3789381505,10.4997018046,7.8666248829,8.68931636538,8.76357373358,8.83367539728,10.49970180498,10.49970180498,9.47890577078,10.49970180458,10.49970180458,10.49970180451,9.71496993701,10.49970180421,10.49970180461,10.49970180461,10.49970180461,10.49970180411,9.12102496781,10.49970180461,9.72879514183,10.49970180471,10.49970180501,10.49970180501,9.0308628391,9.92249145366,9.89208965166,10.49970180446,10.49970180446,9.77148914031,7.55168938073,7.34283760633,8.4961050508
