"accepted_species","traits"
"sp46",0
"sp50",NA
"sp57",0
"sp58",0
"sp60",1
"sp62",1
"sp63",0
"sp64",0
"sp68",1
"sp69",0
"sp70",0
"sp71",0
"sp72",1
"sp77",1
"sp78",1
"sp79",NA
"sp81",0
"sp83",0
"sp84",0
"sp85",1
"sp87",0
"sp88",0
"sp89",0
"sp91",0
"sp95",NA
"sp96",0
"sp98",0
"sp99",1
"sp100",1
"sp101",1
"sp102",0
"sp104",0
"sp106",1
"sp107",1
"sp108",0
"sp109",0
"sp111",1
"sp112",0
"sp114",NA
"sp115",1
"sp116",1
"sp118",0
"sp119",0
"sp120",0
"sp121",1
"sp122",0
"sp123",0
"sp124",0
"sp125",0
"sp126",0
"sp127",1
"sp128",0
"sp129",0
"sp130",1
"sp131",0
"sp132",0
"sp133",NA
"sp134",0
"sp135",NA
"sp136",0
"sp137",1
"sp138",1
"sp139",0
"sp140",0
"sp141",1
"sp142",NA
"sp143",0
"sp144",NA
"sp145",0
"sp146",0
"sp147",1
"sp148",0
"sp149",0
"sp150",0
"sp151",0
"sp152",0
"sp153",1
"sp154",NA
"sp155",1
"sp156",0
"sp157",1
"sp158",1
"sp159",0
"sp160",0
"sp161",1
"sp162",1
"sp163",0
"sp164",0
"sp165",0
"sp166",0
"sp167",0
"sp168",NA
"sp169",0
"sp170",0
"sp171",0
"sp172",0
"sp173",0
"sp174",0
"sp175",0
"sp176",0
