"accepted_species","I1.1/1"
"t24","1"
"t34","1"
"t35","0"
"t13","0"
"t41","0"
"t42","0"
"t71","1"
"t72","1"
"t3","1"
"t22","1"
"t85","0"
"t86","1"
"t45","1"
"t53","1"
"t54","1"
"t23","1"
"t59","1"
"t60","1"
"t57","1"
"t58","1"
"t1","1"
"t4","0"
"t55","1"
"t56","1"
"t65","1"
"t66","0"
"t17",NA
"t18","1"
"t25",NA
"t12","0"
"t6","1"
"t43","1"
"t44","1"
"t63","1"
"t64","1"
"t20","1"
"t7","1"
"t5","1"
"t10","1"
"t36",NA
"t38","1"
"t39","1"
"t46","1"
"t47","1"
"t37","1"
"t28","1"
"t29","1"
"t8","1"
"t11","1"
"t97","1"
"t98","1"
"t74","1"
"t2","1"
"t9","0"
"t21","1"
"t99","1"
"t100",NA
"t80","0"
"t81","0"
"t14",NA
"t67","1"
"t68","0"
"t19","0"
"t15",NA
"t16","1"
"t32","1"
"t33","1"
"t76","1"
"t77","1"
"t91","1"
"t92","1"
"t82","1"
"t51","1"
"t52",NA
"t75","1"
"t87","1"
"t88","1"
"t48","0"
"t78","0"
"t79","1"
"t69","1"
"t73","0"
"t89","0"
"t90","0"
"t83",NA
"t84","1"
"t40","1"
"t30","0"
"t31","0"
"t27","0"
"t26","0"
"t49",NA
"t50","1"
"t70","1"
"t93","1"
"t94","1"
"t95","1"
"t96","1"
"t61","1"
"t62",NA
