"accepted_species","F1.1/1"
"t15",-0.0535568804975228
"t43",-1.01308866935263
"t44",0.190294553905642
"t40",-0.538413545748388
"t22",-1.95863236129135
"t71",-2.21432086243226
"t72",-0.982575825665288
"t95",-1.96044690233724
"t96",-1.73127791433477
"t83",1.26451600641842
"t84",1.49770803289945
"t61",0.401758785863061
"t62",0.442933642380987
"t39",-1.1857911731917
"t54",-0.665203104569792
"t55",NA
"t73",-2.25789898889953
"t74",NA
"t9",-0.518424120647399
"t6",0.19689714016095
"t17",-1.04233381830235
"t21",-1.07430688191335
"t42",-1.59763443779218
"t93",-1.74919915517388
"t94",-0.468401639617687
"t59",-1.73301318064479
"t60",-1.27193887695689
"t2",0.187522897040826
"t3",0.845871205832983
"t1",1.33666464689603
"t7",-0.218679024784412
"t23",1.35729420731953
"t79",1.18529866791686
"t80",2.59913602861429
"t13",2.46450981129673
"t56",1.56879455612731
"t75",0.767674207932254
"t76",-0.0128477210267658
"t67",0.259135528189449
"t68",0.991162796977817
"t33",1.07175624765478
"t34",1.2371019230117
"t10",0.300915008059734
"t11",0.249720996456532
"t65",0.482777848666034
"t66",0.196324147060577
"t51",0.549011869082787
"t31",NA
"t32",1.14965978314572
"t97",-0.0674636992431787
"t98",-0.495232405597642
"t50",NA
"t37",0.308150272450223
"t48",-0.138338356082125
"t49",0.131185659291087
"t24",-0.148707573735153
"t57",NA
"t58",-0.433882470460694
"t38",-1.1624446950964
"t99",-0.0437240584951543
"t100",-0.845776075512391
"t87",-0.263110655656242
"t28",NA
"t45",0.719143153201016
"t46",-0.286496645337617
"t27",0.107686622763143
"t69",0.149274535505261
"t70",0.841032177027377
"t12",NA
"t77",0.138687805549381
"t78",0.8114384577398
"t35",-0.348016722188029
"t36",NA
"t8",1.26500278748114
"t85",NA
"t86",-0.714764368348344
"t30",-0.0728063831663205
"t90",-0.33758060968311
"t91",0.458950953859816
"t92",-0.3341099749341
"t47",-0.128850331999132
"t81",-0.385067974994438
"t82",-0.555888850664606
"t25",0.780265177519059
"t88",1.67397204439538
"t89",NA
"t20",0.539507623355794
"t16",-0.147615384461282
"t14",-0.221180875498555
"t41",0.530230156095661
"t52",-0.385307058912455
"t53",0.0443630337809444
"t29",-0.242974624173036
"t18",0.924681741436856
"t19",0.471063269024262
"t63",1.22960319082993
"t64",1.07809066260959
"t26",0.641318088545401
"t4",-0.511473201710907
"t5",-0.0394173933260567
