"accepted_species","I1.1/1"
"t33","0"
"t34","0"
"t7",NA
"t11","1"
"t12","0"
"t68","0"
"t97","1"
"t98","1"
"t16","0"
"t99","0"
"t100","0"
"t95","0"
"t96","1"
"t27","0"
"t28","0"
"t6","0"
"t21","0"
"t83",NA
"t84","0"
"t60","1"
"t61","1"
"t48","1"
"t45","1"
"t73","0"
"t74","0"
"t13","0"
"t79","1"
"t80","0"
"t91","1"
"t92","0"
"t77","0"
"t78","0"
"t8","0"
"t9",NA
"t4","0"
"t35",NA
"t36","0"
"t64","0"
"t65","0"
"t41","0"
"t42","0"
"t18","1"
"t31","1"
"t32","1"
"t2","1"
"t19","1"
"t89","1"
"t90","1"
"t29","0"
"t30","0"
"t10","0"
"t38","0"
"t39","0"
"t3","0"
"t71","0"
"t72","0"
"t20","0"
"t23","0"
"t50","0"
"t51","0"
"t1","0"
"t46",NA
"t47","1"
"t43","1"
"t87",NA
"t88","1"
"t40","0"
"t49","0"
"t5","1"
"t81","1"
"t82","1"
"t93","0"
"t94","0"
"t44","0"
"t22","1"
"t75","1"
"t76","1"
"t15","1"
"t17","0"
"t52",NA
"t53","1"
"t54","0"
"t69","1"
"t70","1"
"t37","1"
"t25","1"
"t26","1"
"t85","0"
"t86","1"
"t24","1"
"t55",NA
"t58","1"
"t59","1"
"t66",NA
"t67","1"
"t14","0"
"t56","0"
"t57","1"
"t62","1"
"t63",NA
