"accepted_species","trait_BM_trend_scaled"
"t12",0.0565315869158826
"t21",0.484751468922496
"t60",0.73985555927167
"t61",0.427342639840031
"t49",0.577578089999456
"t50",0.80539266740302
"t9",0.685258572662688
"t74",NA
"t75",-0.401367763333394
"t27",-0.893667454938022
"t10",-0.432404058909452
"t28",1.18210234647149
"t95",1.44060725419522
"t96",NA
"t70",1.84715453592301
"t88",1.41725381671011
"t89",1.23179820433453
"t6",1.5784326793964
"t32",0.452988703385815
"t41",0.782137507027428
"t44",0.981038188613808
"t45",-0.110510118443144
"t57",NA
"t58",0.0505856157274017
"t15",-0.392590445132975
"t16",1.03741272626464
"t11",1.82141391472536
"t91",0.684031411130367
"t92",0.777435083771306
"t26",1.82307949116445
"t22",1.51635154576719
"t72",-0.662223311941093
"t73",-0.619994070532236
"t48",-0.318226242313577
"t19",-0.882983183341418
"t86",-0.484635943829404
"t87",-0.548939887579629
"t40",0.85749782340589
"t80",0.832857993665601
"t81",0.922500273162162
"t79",0.588559152205453
"t43",0.930458698297265
"t37",2.05846535672427
"t38",1.86529731991154
"t7",-0.729121773875598
"t62",0.449952047519946
"t63",0.520368216030623
"t3",NA
"t4",-0.066305778920663
"t5",-3.27507812748271
"t25",-0.783319023025043
"t30",NA
"t31",-0.384388092169277
"t99",-0.870435666694072
"t100",-0.816131833771893
"t68",-1.51140704326409
"t53",NA
"t46",-1.20229433196093
"t1",-0.10014301003178
"t17",-0.901324849129489
"t18",NA
"t69",-0.581198422660167
"t82",-0.602201511841063
"t83",-0.345387875860936
"t42",-0.119042531811324
"t23",0.905085710853609
"t24",0.653964761458753
"t66",0.516001091734847
"t67",0.374185794841329
"t54",-0.693518724473073
"t20",0.288406794780027
"t29",NA
"t35",-0.773209741786144
"t36",-1.84700924074933
"t14",0.746708711530227
"t51",0.263049805463727
"t52",-0.0354808545008551
"t39",0.905933780747775
"t97",0.372139447820211
"t98",0.484555050010708
"t59",0.708548333832636
"t33",NA
"t55",-1.75723327102806
"t56",-1.69492474390479
"t34",-1.37873315685762
"t13",-1.21430692030772
"t2",0.727550941738561
"t8",0.406021184484414
"t84",-0.537984034675319
"t85",-0.244191179651453
"t71",-0.462920092556097
"t64",NA
"t65",-1.36904241166759
"t90",-0.123177964579062
"t93",-0.0102449285730765
"t94",0.0796480834235583
"t47",-0.872534088623657
"t76",-0.597633702111214
"t77",-0.996943475737656
"t78",-0.445321476227123
